"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","30","490-4781-1-ND","GCM188R72A103KA37D","CAP CER 10000PF 100V X7R 0603","10NF","0","0.06800","$2.04"
"2","30","490-9654-1-ND","GRM188R61E104KA01D","CAP CER 0.1UF 25V X5R 0603","0.1 UF","0","0.13600","$4.08"
"3","30","490-3298-1-ND","GRM188R60G106ME47D","CAP CER 10UF 4V X5R 0603","10UF","0","0.17300","$5.19"
"4","30","478-1215-1-ND","06035C102KAT2A","CAP CER 1000PF 50V X7R 0603","1NF","0","0.07800","$2.34"
"5","30","455-1819-ND","B04B-PASK(LF)(SN)","CONN HEADER PA 4POS TOP 2MM TIN","PWR AND I2C CONN 180 TH","0","0.44400","$13.32"
"6","30","455-1488-ND","PAP-04V-S","CONN HOUSING PA 4POS 2MM WHITE","HOUSINGS PWR AND I2C","0","0.16640","$4.99"
"7","60","455-1325-1-ND","SPHD-001T-P0.5","CONN TERM PHD CRIMP 22-26AWG TIN","CRIMPS PWR AND I2C","0","0.04980","$2.99"
"8","10","MCP6001T-I/OTCT-ND","MCP6001T-I/OT","IC OPAMP GP 1MHZ RRO SOT23-5","OP AMP","0","0.37000","$3.70"
"9","30","RNCF0805DTE10K0CT-ND","RNCF0805DTE10K0","RES 10K OHM 0.5% 1/8W 0805","RES SMD 10K OHM 0.5% 1/8W 0805","0","0.20800","$6.24"
"10","30","P18KDACT-ND","ERA-6AEB183V","RES SMD 18K OHM 0.1% 1/8W 0805","RES SMD 18K OHM 0.1% 1/8W 0805","0","0.44800","$13.44"
"11","30","P22KDACT-ND","ERA-6AEB223V","RES SMD 22K OHM 0.1% 1/8W 0805","RES SMD 22K OHM 0.1% 1/8W 0805","0","0.44800","$13.44"
"12","10","620-1191-1-ND","ACS712ELCTR-30A-T","SENSOR CURRENT HALL 30A AC/DC","30A SENSOR","0","5.85300","$58.53"
"13","10","ADC081C021CIMM/NOPBCT-ND","ADC081C021CIMM/NOPB","IC ADC 8BIT I2C 188KSPS 8VSSOP","IC ADC 8BIT I2C 188KSPS 8VSSOP","0","2.20900","$22.09"
"14","10","ED2677-ND","OSTT7022150","TERMINAL BLOCK 9.52MM 2POS PCB","SCREW TERMS","0","1.48000","$14.80"
"15","20","445-8018-1-ND","C1005X5R1E334K050BB","CAP CER 0.33UF 25V X5R 0402","0.33UF","0","0.18500","$3.70"
"16","20","490-3298-1-ND","GRM188R60G106ME47D","CAP CER 10UF 4V X5R 0603","10UF","0","0.17300","$3.46"
"17","40","490-3117-1-ND","GJM1555C1H150JB01D","CAP CER 15PF 50V C0G/NP0 0402","15 PF","0","0.22000","$8.80"
"18","20","311-1372-1-ND","CC0603ZRY5V7BB105","CAP CER 1UF 16V Y5V 0603","1UF","0","0.08600","$1.72"
"19","30","455-1578-1-ND","BM02B-GHS-TBT(LF)(SN)(N)","CONN HEADER GH TOP 2POS 1.25MM","GH 2","0","0.56400","$16.92"
"20","20","455-1579-1-ND","BM03B-GHS-TBT(LF)(SN)(N)","CONN HEADER GH TOP 3POS 1.25MM","GH 3","0","0.62800","$12.56"
"21","30","455-1580-1-ND","BM04B-GHS-TBT(LF)(SN)(N)","CONN HEADER GH TOP 4POS 1.25MM","GH4","0","0.57500","$17.25"
"22","30","455-1581-1-ND","BM05B-GHS-TBT(LF)(SN)(N)","CONN HEADER GH TOP 5POS 1.25MM","GH 5","0","0.60100","$18.03"
"23","10","1253-1730-1-ND","CX2520DB32000D0GPSC1","CRYSTAL 32.0000MHZ 8PF SMD","CRYSTAL","0","0.88100","$8.81"
"24","10","MC33269DT-3.3GOS-ND","MC33269DT-3.3G","IC REG LINEAR 3.3V 800MA DPAK-3","LDO","0","0.95200","$9.52"
"25","7","LTC2875HS8#PBF-ND","LTC2875HS8#PBF","IC TXRX CAN 4MBPS 8SO","TRANCEIVER","7","6.39000","$44.73"
"26","20","1642-1324-1-ND","LS75C4D-T","SWITCH TACT SPST-NO 0.02A 12V","BUTTON PWR","0","0.55700","$11.14"
"27","20","CKN10777CT-ND","KXT 311 LHS","SWITCH TACTILE SPST-NO 0.02A 15V","BUTTON SIGNAL","0","0.35400","$7.08"
"28","20","311-120GRCT-ND","RC0603JR-07120RL","RES SMD 120 OHM 5% 1/10W 0603","120 R","0","0.01600","$0.32"
"29","10","497-15167-ND","STM32F091RCT6","IC MCU 32BIT 256KB FLASH 64LQFP","STM32F091RC","0","5.94900","$59.49"
"30","10","1727-1306-1-ND","PESD1CAN-UX","TVS DIODE 24V 50V SOT323-3","CAN DIODE","0","0.43200","$4.32"
"31","15","PCE4549CT-ND","EEE-FPV100UAR","CAP ALUM 10UF 20% 35V SMD","10 UF POLARIZED","0","0.50400","$7.56"
"32","2","VEML7700CT-ND","VEML7700-TR","IC AMBIENT LIGHT SENSOR I2C SMT","LIGHT SENSOR","0","2.88000","$5.76"
"33","10","455-1833-ND","B03B-PASK-1(LF)(SN)","CONN HEADER PA 3POS TOP W/BOSS","PA 3","0","0.37200","$3.72"
"34","5","DMP2035U-7DICT-ND","DMP2035U-7","MOSFET P-CH 20V 3.6A SOT-23","(BMS) P CHAN MOSFET","0","0.78000","$3.90"
"35","10","SDM2U40CSP-7BDICT-ND","SDM2U40CSP-7B","DIODE SCHOTTKY 40V 2A X3-WLB1608","(BMS) DIODES","0","0.48200","$4.82"
"36","10","P8.2KDBCT-ND","ERA-3AEB822V","RES SMD 8.2K OHM 0.1% 1/10W 0603","8.2K RESISTORS","0","0.44500","$4.45"
"37","10","RR08P2.7KDCT-ND","RR0816P-272-D","RES SMD 2.7K OHM 0.5% 1/16W 0603","2.7K RESISTORS","0","0.14500","$1.45"
"38","4","WM17469-ND","0878311420","CONN HEADER 14POS 2MM VERT GOLD","RIBBON","0","1.91000","$7.64"
"39","1","455-1602-ND","GHR-12V-S","CONN GH HOUSING 12POS 1.25MM","12 GH HOUSE","0","0.28000","$0.28"
"40","30","455-1594-ND","GHR-04V-S","CONN GH HOUSING 4POS 1.25MM","4 GH HOUSE","0","0.12920","$3.88"
"41","10","455-1486-ND","PAP-02V-S","CONN HOUSING PA 2POS 2MM WHITE","2 PA HOUSE","0","0.19600","$1.96"
"42","30","455-1595-ND","GHR-05V-S","CONN GH HOUSING 5POS 1.25MM","5 GH HOUSE","0","0.19040","$5.71"
"43","50","455-1313-1-ND","SPHD-002T-P0.5","CONN TERM PHD CRIMP 24-28AWG TIN","PA CRIMP","0","0.04980","$2.49"
"44","40","1276-1045-1-ND","CL10A475KQ8NNNC","CAP CER 4.7UF 6.3V X5R 0603","4.7 UF","0","0.09600","$3.84"
"45","20","475-1410-1-ND","LG R971-KN-1","LED GREEN DIFFUSED 0805 SMD","GRN","0","0.33400","$6.68"
"46","20","475-1278-1-ND","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","RED","0","0.35200","$7.04"
"47","20","475-2560-1-ND","LY R976-PS-36","LED YELLOW DIFFUSED 0805 SMD","YELLOW","0","0.35200","$7.04"
"48","40","MCT0603-0.0-ZZCT-ND","MCT06030Z0000ZP500","RES SMD 0 OHM JUMPER 1/8W 0603","0R","0","0.25840","$10.34"
"49","50","RNCF0805DTE10K0CT-ND","RNCF0805DTE10K0","RES 10K OHM 0.5% 1/8W 0805","RES SMD 10K OHM 0.5% 1/8W 0805","0","0.20800","$10.40"
"50","40","311-4.7KGRCT-ND","RC0603JR-074K7L","RES SMD 4.7K OHM 5% 1/10W 0603","4.7 K","0","0.01600","$0.64"
"51","20","455-1593-ND","GHR-03V-S","CONN GH HOUSING 3POS 1.25MM","3 GH HOUSE","0","0.16600","$3.32"
"52","20","455-1487-ND","PAP-03V-S","CONN HOUSING PA 3POS 2MM WHITE","3 PA HOUSE","0","0.20500","$4.10"
"","","","","","","","Subtotal","$502.06"
