Change Component Footprint: Designator=C14 Old Footprint=CAPC0603(1608)55_N New Footprint=AVX-CAPC3528_V
Change Component Footprint: Designator=U1 Old Footprint=LTC2875 New Footprint=LT-S8_N
Change Component Comment : Designator=PWR Old Comment=CON_2M_PH_TOP_SMT New Comment=+5V0
Change Component Comment : Designator=I1 Old Comment=CON_2M_PH_TOP_SMT New Comment=I2C
Change Component Comment : Designator=L2 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_1A
Change Component Comment : Designator=L4 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_1B
Change Component Comment : Designator=L1 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_2A
Change Component Comment : Designator=L3 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_2B
Change Component Comment : Designator=L5 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_3A
Change Component Comment : Designator=L6 Old Comment=CON_2M_PH_TOP_SMT New Comment=LIM_3B
Change Component Comment : Designator=CAN1 Old Comment=CON_3M_PH_TOP_SMT New Comment=CAN
Change Component Comment : Designator=CAN2 Old Comment=CON_3M_PH_TOP_SMT New Comment=CAN
Change Component Comment : Designator=E3 Old Comment=CON_3M_PH_TOP_SMT New Comment=ENC_EL
Change Component Comment : Designator=E2 Old Comment=CON_3M_PH_TOP_SMT New Comment=ENC_SH
Change Component Comment : Designator=E1 Old Comment=CON_3M_PH_TOP_SMT New Comment=ENC_TT
Change Component Comment : Designator=M1 Old Comment=CON_3M_PH_TOP_SMT New Comment=PWM
Change Component Comment : Designator=M2 Old Comment=CON_3M_PH_TOP_SMT New Comment=PWM
Change Component Comment : Designator=M3 Old Comment=CON_3M_PH_TOP_SMT New Comment=PWM
Change Component Comment : Designator=ER1 Old Comment=CON_5M_PH_TOP_SMT New Comment=ENCR
Change Component Comment : Designator=ER2 Old Comment=CON_5M_PH_TOP_SMT New Comment=ENCR
