#,Quantity,MPN,Name,Value
17,1,GRM188R71C334KA01D,CAP_0.33uF_0603,0.33uF
7,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
8,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
9,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
10,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
15,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
16,1,CC0603KRX7R7BB104,CAP_100nF_0603,100nF
5,1,CC0402KRX7R6BB103,CAP_10nF_0603,10nF
12,1,,CAP_10uF_POL,10uF
13,1,GRM1555C1H150JA01D,CAP_15pF_0402,15pF
14,1,GRM1555C1H150JA01D,CAP_15pF_0402,15pF
6,1,CC0603ZRY5V7BB105,CAP_1uF_0603,1uF
11,1,CC0603KRX5R5BB475,CAP_4.7uF_0603,4.7uF
18,1,CC0603KRX5R5BB475,CAP_4.7uF_0603,4.7uF
29,1,,CON _12M_SM_180,
44,1,,CON_2M_SM_180,
43,1,,CON_2M_TH_180,
31,1,,CON_3M_SM_180,
32,1,,CON_3M_SM_180,
33,1,,CON_3M_SM_180,
39,1,,CON_3M_SM_180,
41,1,,CON_3M_SM_180,
45,1,,CON_3M_SM_180,
30,1,,CON_4M_SM_180,
36,1,,CON_4M_SM_180,
37,1,,CON_4M_SM_180,
38,1,,CON_4M_SM_180,
34,1,,CON_5M_SM_180,
35,1,,CON_5M_SM_180,
40,1,,CON_5M_SM_180,
42,1,,CON_5M_SM_180,
73,1,,CRYSTAL,8MHz
22,1,LG R971-KN-1,DIO_LED_G,GREEN
23,1,LG R971-KN-1,DIO_LED_G,GREEN
24,1,LG R971-KN-1,DIO_LED_G,GREEN
26,1,LS R976-NR-1,DIO_LED_R,RED
25,1,LY R976-PS-36,DIO_LED_Y,YELLOW
69,1,MC33269DT-3.3,LDO_3V3_DPAK,
68,1,,LTC2875,IC TXRX CAN
64,1,FSM2JSMAA,PUSHBUTTON_PWR,
3,1,KXT 311 LHS,PUSHBUTTON_SIGNAL,
4,1,KXT 311 LHS,PUSHBUTTON_SIGNAL,
59,1,RC0603JR-070RL,RES_0R_0603,0R
61,1,RC0603JR-070RL,RES_0R_0603,0R
55,1,RC0603FR-07100RL,RES_100R_0603,100R
56,1,RC0603FR-07100RL,RES_100R_0603,100R
57,1,RC0603FR-07100RL,RES_100R_0603,100R
58,1,RC0603FR-07100RL,RES_100R_0603,100R
62,1,RC0603FR-07100RL,RES_100R_0603,100R
46,1,RC0603JR-0710KL,RES_10K_0603,10K
47,1,RC0603JR-0710KL,RES_10K_0603,10K
48,1,RC0603JR-0710KL,RES_10K_0603,10K
49,1,RC0603JR-0710KL,RES_10K_0603,10K
50,1,RC0603JR-0710KL,RES_10K_0603,10K
51,1,RC0603JR-0710KL,RES_10K_0603,10K
52,1,RC0603JR-0710KL,RES_10K_0603,10K
63,1,RC0603JR-0710KL,RES_10K_0603,10K
60,1,RC0603JR-07120RL,RES_120R_0603,120R
53,1,RC0603JR-074K7L,RES_4.7K_0603,4.7K
54,1,RC0603JR-074K7L,RES_4.7K_0603,4.7K
67,1,,STM32F091RC ,
1,1,,TESTPOINT,
2,1,,TESTPOINT,
19,1,,TESTPOINT,
20,1,,TESTPOINT,
27,1,,TESTPOINT,
28,1,,TESTPOINT,
65,1,,TESTPOINT,
66,1,,TESTPOINT,
70,1,,TESTPOINT,
71,1,,TESTPOINT,
72,1,,TESTPOINT,
21,1,PESD1CAN-UX,TVS_DIODE_CAN,
,73,,,
