Change Physical Footprint: Designator=1 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=C1 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C2 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C3 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C4 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C5 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C6 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C7 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C8 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C9 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C10 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C11 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C12 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C13 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C14 Old Footprint=AVX-CAPC3528_V New Footprint=AVX-CAPC3528_V
Change Physical Footprint: Designator=C15 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C16 Old Footprint=AVX-CAPC3528_V New Footprint=AVX-CAPC3528_V
Change Physical Footprint: Designator=C17 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C18 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C19 Old Footprint=AVX-CAPC3528_V New Footprint=AVX-CAPC3528_V
Change Physical Footprint: Designator=C20 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C21 Old Footprint=AVX-CAPC3528_V New Footprint=AVX-CAPC3528_V
Change Physical Footprint: Designator=C22 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C23 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C24 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C25 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C26 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=C27 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Physical Footprint: Designator=CAN1 Old Footprint=JST-B3B-SM4-TB New Footprint=JST-B3B-SM4-TB
Change Physical Footprint: Designator=D1 Old Footprint=TVS_DIODE_CAN New Footprint=TVS_DIODE_CAN
Change Physical Footprint: Designator=D2 Old Footprint=LED_0805 New Footprint=LED_0805
Change Physical Footprint: Designator=D3 Old Footprint=LED_0805 New Footprint=LED_0805
Change Physical Footprint: Designator=D4 Old Footprint=LED_0805 New Footprint=LED_0805
Change Physical Footprint: Designator=D5 Old Footprint=LED_0805 New Footprint=LED_0805
Change Physical Footprint: Designator=D6 Old Footprint=LED_0805 New Footprint=LED_0805
Change Physical Footprint: Designator=E-C Old Footprint=JST-B5B-SM4-TB New Footprint=JST-B5B-SM4-TB
Change Physical Footprint: Designator=E-E Old Footprint=JST-B5B-SM4-TB New Footprint=JST-B5B-SM4-TB
Change Physical Footprint: Designator=J1 Old Footprint=JST-B2B-PHSK New Footprint=JST-B2B-PHSK
Change Physical Footprint: Designator=J2 Old Footprint=1-1337543-0 New Footprint=1-1337543-0
Change Physical Footprint: Designator=LS-C Old Footprint=JST-B2B-SM4-TB New Footprint=JST-B2B-SM4-TB
Change Physical Footprint: Designator=LS-E-B Old Footprint=JST-B2B-SM4-TB New Footprint=JST-B2B-SM4-TB
Change Physical Footprint: Designator=LS-E-T Old Footprint=JST-B2B-SM4-TB New Footprint=JST-B2B-SM4-TB
Change Physical Footprint: Designator=M-A Old Footprint=JST-B3B-SM4-TB New Footprint=JST-B3B-SM4-TB
