"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","BANDWIDTH","CASE/PACKAGE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","CURRENT OUTPUT","DIGIKEY PART NUMBER","DIMENSIONS","FORWARD VOLTAGE DROP","HIGH LEVEL OUTPUT CURRENT","INTERFACE","LEAD FREE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","MPN","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","ON-STATE RESISTANCE","OPERATING SUPPLY CURRENT","OUTPUT CURRENT","PACKAGE","PACKAGE QUANTITY","PACKAGING","PART NUMBER","PART NUMBER (MPN)","POWER DISSIPATION","PRICING 1","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","REACH SVHC","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SUPPLY TYPE","TEMPERATURE COEFFICIENT","TERMINATION","TOLERANCE","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","VALUE","VOLTAGE RATING","WEIGHT","SHEETPART","DESIGNATOR","DESCRIPTION"
"*","TESTPOINT","TESTPOINT_LOOP","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","*","TP?","TESTPOINT_SMD"
"5V0_3V3_LDO","VOLTAGE_REGULATOR","D2PAK_L","D2PAK_M","","","","","","","","","","","","","","","","1A","NCP1117DT33T5GOSCT-ND","","","","","","","","ON Semiconductor","","","","","","","","","NCP1117DT33T5G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VR?","IC REG LINEAR 3.3V 1A DPAK"
"CA3140AMZ","CA3140AMZ","","","","","","","*","","","","","","","","","","","","CA3140AMZ-ND","","","","","","","","Renesas Electronics America Inc.","","","","","","","","","CA3140AMZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","4.5MHz, BiMOS Operational Amplifier with MOSFET Input/Bipolar Output"
"CAP_0.1uF_16V_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","311-1088-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","CC0603KRX7R7BB104","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","X7R","","","","","0.1uF","16V","","","C?","CAP CER 0.1UF 16V X7R 0603"
"CAP_0.1uF_50V_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","311-1344-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","CC0603KRX7R9BB104","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","X7R","","","","","0.1uF","50V","","","C?","CAP CER 0.1UF 50V X7R 0603"
"CAP_0.33uF_16V_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","490-6050-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Murata Electronics North America","","","","","","","","","GCM188R71C334KA37D","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","X7R","","","","","0.33uF","16V","","","C?","CAP CER 0.33UF 16V X7R 0603"
"CAP_10nF_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","311-3369-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","CC0603KRX7R7BB103","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","X7R","","","","","10nF","16V","","","C?","CAP CER 10000PF 16V X7R 0603"
"CAP_10uF_0603","CAPC0603(1608)55_N","","","","","","","10uF","","","","","","","","","","","","311-1817-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","CC0603MRX5R6BB106","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","","","","10uF","10V","","","C?","CAP CER 10UF 10V X5R 0603"
"CAP_10uF_1411_POL","AVX-CAPC3528_V","","","","","","","","","","","","","","","","","","","478-12047-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","AVX Corporation","","","","","","","","","F971A106MBAHT3","","","","","","","","","","","","","","1411 (3528 Metric)","","","","","","","","","","","","","","","","","","","","10uF","10V","","","C?","CAP TANT 10UF 20% 10V 1411"
"CAP_15pF_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","311-3282-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","AC0603JRNPOYBN150","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","NP0","","","","","15pF","250v","","","C?","CAP CER 15PF 250V NPO 0603"
