x,y,layer1,layer2,voltage1,voltage2,current
-3375.93,-3356.36,TOP_LAYER,MID_LAYER_1,0.00771007,0.00770793,0.0389122
-3375.93,-3356.36,MID_LAYER_1,MID_LAYER_2,0.00770793,0.00768014,0.0389122
-3375.93,-3356.36,MID_LAYER_2,BOTTOM_LAYER,0.00768014,0.007678,0.0389122
-3375.93,-2962.66,TOP_LAYER,MID_LAYER_1,0.00748758,0.00748232,0.0957337
-3375.93,-2962.66,MID_LAYER_1,MID_LAYER_2,0.00748232,0.00741396,0.0957337
-3375.93,-2962.66,MID_LAYER_2,BOTTOM_LAYER,0.00741396,0.0074087,0.0957337
-3375.93,-2568.95,TOP_LAYER,MID_LAYER_1,0.00725592,0.0072449,0.200631
-3375.93,-2568.95,MID_LAYER_1,MID_LAYER_2,0.0072449,0.00710163,0.200631
-3375.93,-2568.95,MID_LAYER_2,BOTTOM_LAYER,0.00710163,0.0070906,0.200631
-3375.93,-2175.25,TOP_LAYER,MID_LAYER_1,0.00721851,0.00720407,0.262851
-3375.93,-2175.25,MID_LAYER_1,MID_LAYER_2,0.00720407,0.00701637,0.262851
-3375.93,-2175.25,MID_LAYER_2,BOTTOM_LAYER,0.00701637,0.00700193,0.262851
-3375.93,-1781.55,TOP_LAYER,MID_LAYER_1,0.00759054,0.00758127,0.16885
-3375.93,-1781.55,MID_LAYER_1,MID_LAYER_2,0.00758127,0.00746069,0.16885
-3375.93,-1781.55,MID_LAYER_2,BOTTOM_LAYER,0.00746069,0.00745142,0.16885
-3375.93,-1387.85,TOP_LAYER,MID_LAYER_1,0.00817541,0.00817249,0.053218
-3375.93,-1387.85,MID_LAYER_1,MID_LAYER_2,0.00817249,0.00813449,0.053218
-3375.93,-1387.85,MID_LAYER_2,BOTTOM_LAYER,0.00813449,0.00813156,0.053218
-3375.93,-994.151,TOP_LAYER,MID_LAYER_1,0.00874306,0.00874293,0.00226148
-3375.93,-994.151,MID_LAYER_1,MID_LAYER_2,0.00874293,0.00874132,0.00226148
-3375.93,-994.151,MID_LAYER_2,BOTTOM_LAYER,0.00874132,0.00874119,0.00226148
-3375.93,-600.451,TOP_LAYER,MID_LAYER_1,0.00910463,0.00910507,-0.00794916
-3375.93,-600.451,MID_LAYER_1,MID_LAYER_2,0.00910507,0.00911075,-0.00794916
-3375.93,-600.451,MID_LAYER_2,BOTTOM_LAYER,0.00911075,0.00911119,-0.00794916
-3170.8,-1282.2,TOP_LAYER,MID_LAYER_1,0,0,-0
-3170.8,-1282.2,MID_LAYER_1,MID_LAYER_2,0,0,-0
-3170.8,-1282.2,MID_LAYER_2,BOTTOM_LAYER,0,0,-0
-3170.8,-968.198,TOP_LAYER,MID_LAYER_1,0.00884689,0.00884731,-0.0110868
-3170.8,-968.198,MID_LAYER_1,MID_LAYER_2,0.00884731,0.00885279,-0.0110868
-3170.8,-968.198,MID_LAYER_2,BOTTOM_LAYER,0.00885279,0.00885321,-0.0110868
-2982.42,-1783.4,TOP_LAYER,MID_LAYER_1,0.00748799,0.00746957,0.335325
-2982.42,-1783.4,MID_LAYER_1,MID_LAYER_2,0.00746957,0.00723011,0.335325
-2982.42,-1783.4,MID_LAYER_2,BOTTOM_LAYER,0.00723011,0.00721169,0.335325
-2982.42,-1389.7,TOP_LAYER,MID_LAYER_1,0.00830123,0.00829955,0.0304328
-2982.42,-1389.7,MID_LAYER_1,MID_LAYER_2,0.00829955,0.00827782,0.0304328
-2982.42,-1389.7,MID_LAYER_2,BOTTOM_LAYER,0.00827782,0.00827615,0.0304328
-2982.23,-3750.06,TOP_LAYER,MID_LAYER_1,0.00797213,0.00797168,0.00816974
-2982.23,-3750.06,MID_LAYER_1,MID_LAYER_2,0.00797168,0.00796584,0.00816974
-2982.23,-3750.06,MID_LAYER_2,BOTTOM_LAYER,0.00796584,0.0079654,0.00816974
-2982.23,-3356.36,TOP_LAYER,MID_LAYER_1,0.00782726,0.00782528,0.0360505
-2982.23,-3356.36,MID_LAYER_1,MID_LAYER_2,0.00782528,0.00779954,0.0360505
-2982.23,-3356.36,MID_LAYER_2,BOTTOM_LAYER,0.00779954,0.00779756,0.0360505
-2982.23,-2962.66,TOP_LAYER,MID_LAYER_1,0.00754292,0.0075361,0.124135
-2982.23,-2962.66,MID_LAYER_1,MID_LAYER_2,0.0075361,0.00744745,0.124135
-2982.23,-2962.66,MID_LAYER_2,BOTTOM_LAYER,0.00744745,0.00744063,0.124135
-2982.23,-2568.95,TOP_LAYER,MID_LAYER_1,0.0072082,0.00718557,0.412027
-2982.23,-2568.95,MID_LAYER_1,MID_LAYER_2,0.00718557,0.00689134,0.412027
-2982.23,-2568.95,MID_LAYER_2,BOTTOM_LAYER,0.00689134,0.0068687,0.412027
-2982.23,-600.451,TOP_LAYER,MID_LAYER_1,0.00928657,0.00928744,-0.0156959
-2982.23,-600.451,MID_LAYER_1,MID_LAYER_2,0.00928744,0.00929864,-0.0156959
-2982.23,-600.451,MID_LAYER_2,BOTTOM_LAYER,0.00929864,0.00929951,-0.0156959
-2982.23,-206.75,TOP_LAYER,MID_LAYER_1,0.00945217,0.00945357,-0.0254578
-2982.23,-206.75,MID_LAYER_1,MID_LAYER_2,0.00945357,0.00947175,-0.0254578
-2982.23,-206.75,MID_LAYER_2,BOTTOM_LAYER,0.00947175,0.00947315,-0.0254578
-2981.37,-2174.77,TOP_LAYER,MID_LAYER_1,0.00686746,0.00681507,0.95372
-2981.37,-2174.77,MID_LAYER_1,MID_LAYER_2,0.00681507,0.00613401,0.95372
-2981.37,-2174.77,MID_LAYER_2,BOTTOM_LAYER,0.00613401,0.00608162,0.95372
-2903.49,-2293.36,TOP_LAYER,MID_LAYER_1,47.9758,47.9758,-1.2935e-10
-2903.49,-2293.36,MID_LAYER_1,MID_LAYER_2,47.9758,47.9758,-3.88051e-10
-2903.49,-2293.36,MID_LAYER_2,BOTTOM_LAYER,47.9758,47.9758,-3.8805e-10
-2903.49,-2057.14,TOP_LAYER,MID_LAYER_1,47.9784,47.9784,-2.587e-10
-2903.49,-2057.14,MID_LAYER_1,MID_LAYER_2,47.9784,47.9784,-3.18401e-10
-2903.49,-2057.14,MID_LAYER_2,BOTTOM_LAYER,47.9784,47.9784,-2.587e-10
-2903.49,-1663.44,TOP_LAYER,MID_LAYER_1,47.9807,47.9807,-3.8805e-10
-2903.49,-1663.44,MID_LAYER_1,MID_LAYER_2,47.9807,47.9807,-2.98501e-10
