refdes,pin,voltage,current
J3,1,25.0,200.0
J3,2,0.0,-200.0
J2,pdna_pin_2_1,24.8443,-50.9786
J2,pdna_pin_2_2,24.8452,-51.3957
J2,pdna_pin_2_3,24.8396,-48.6222
J2,pdna_pin_2_4,24.8404,-49.0036
J2,pdna_pin_1_1,0.238254,48.8859
J2,pdna_pin_1_2,0.235327,50.3492
J2,pdna_pin_1_3,0.233364,51.3306
J2,pdna_pin_1_4,0.237157,49.4343
Q3,pdna_pin_2_1,24.9329,-45.9268
Q3,pdna_pin_2_2,24.9329,-30.2394
Q3,pdna_pin_2_3,24.9329,-27.0753
Q3,pdna_pin_2_4,24.9329,-19.7945
Q3,pdna_pin_2_5,24.9329,-20.6939
Q3,pdna_pin_2_6,24.9329,-32.098
Q3,pdna_pin_2_7,24.9329,-24.1725
Q3,pdna_pin_3_1,24.9326,20.2393
Q3,pdna_pin_3_2,24.9326,27.911
Q3,pdna_pin_3_3,24.9325,46.0538
Q3,pdna_pin_3_4,24.9324,105.796
Q6,pdna_pin_3_1,24.8963,-20.2386
Q6,pdna_pin_3_2,24.8963,-27.9106
Q6,pdna_pin_3_3,24.8964,-46.0541
Q6,pdna_pin_3_4,24.8965,-105.797
Q6,pdna_pin_2_1,24.896,43.7361
Q6,pdna_pin_2_2,24.896,23.117
Q6,pdna_pin_2_3,24.896,29.8033
Q6,pdna_pin_2_4,24.896,29.0592
Q6,pdna_pin_2_5,24.896,20.7369
Q6,pdna_pin_2_6,24.896,21.5639
Q6,pdna_pin_2_7,24.896,31.9841
R44,1,0.137349,200.0
R44,2,0.137749,-200.0
