vrefdes,vpin,refdes,pin
VCOMP0,0,J2,pdna_pin_2_1
VCOMP0,1,J2,pdna_pin_2_2
VCOMP0,2,J2,pdna_pin_2_3
VCOMP0,3,J2,pdna_pin_2_4
VCOMP0,4,J2,pdna_pin_1_1
VCOMP0,5,J2,pdna_pin_1_2
VCOMP0,6,J2,pdna_pin_1_3
VCOMP0,7,J2,pdna_pin_1_4
VCOMP1,0,J3,1
VCOMP1,1,J3,2
VCOMP2,0,Q3,pdna_pin_2_1
VCOMP2,1,Q3,pdna_pin_2_2
VCOMP2,2,Q3,pdna_pin_2_3
VCOMP2,3,Q3,pdna_pin_2_4
VCOMP2,4,Q3,pdna_pin_2_5
VCOMP2,5,Q3,pdna_pin_2_6
VCOMP2,6,Q3,pdna_pin_2_7
VCOMP2,7,Q3,pdna_pin_3_1
VCOMP2,8,Q3,pdna_pin_3_2
VCOMP2,9,Q3,pdna_pin_3_3
VCOMP2,10,Q3,pdna_pin_3_4
VCOMP3,0,Q6,pdna_pin_3_1
VCOMP3,1,Q6,pdna_pin_3_2
VCOMP3,2,Q6,pdna_pin_3_3
VCOMP3,3,Q6,pdna_pin_3_4
VCOMP3,4,Q6,pdna_pin_2_1
VCOMP3,5,Q6,pdna_pin_2_2
VCOMP3,6,Q6,pdna_pin_2_3
VCOMP3,7,Q6,pdna_pin_2_4
VCOMP3,8,Q6,pdna_pin_2_5
VCOMP3,9,Q6,pdna_pin_2_6
VCOMP3,10,Q6,pdna_pin_2_7
VCOMP4,0,R44,1
VCOMP4,1,R44,2
