refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,25,200,0
VCOMP1,VCOMP1-1,0,-200,0
VCOMP0,VCOMP0-0,24.8443,-50.9786,0.002
VCOMP0,VCOMP0-1,24.8452,-51.3957,0.002
VCOMP0,VCOMP0-2,24.8396,-48.6222,0.002
VCOMP0,VCOMP0-3,24.8404,-49.0036,0.002
VCOMP0,VCOMP0-4,0.238254,48.8859,0.002
VCOMP0,VCOMP0-5,0.235327,50.3492,0.002
VCOMP0,VCOMP0-6,0.233364,51.3306,0.002
VCOMP0,VCOMP0-7,0.237157,49.4343,0.002
VCOMP2,VCOMP2-0,24.9329,-45.9268,2.54545e-06
VCOMP2,VCOMP2-1,24.9329,-30.2394,2.54545e-06
VCOMP2,VCOMP2-2,24.9329,-27.0753,2.54545e-06
VCOMP2,VCOMP2-3,24.9329,-19.7945,2.54545e-06
VCOMP2,VCOMP2-4,24.9329,-20.6939,2.54545e-06
VCOMP2,VCOMP2-5,24.9329,-32.098,2.54545e-06
VCOMP2,VCOMP2-6,24.9329,-24.1725,2.54545e-06
VCOMP2,VCOMP2-7,24.9326,20.2393,2.54545e-06
VCOMP2,VCOMP2-8,24.9326,27.911,2.54545e-06
VCOMP2,VCOMP2-9,24.9325,46.0538,2.54545e-06
VCOMP2,VCOMP2-10,24.9324,105.796,2.54545e-06
VCOMP3,VCOMP3-0,24.8963,-20.2386,2.54545e-06
VCOMP3,VCOMP3-1,24.8963,-27.9106,2.54545e-06
VCOMP3,VCOMP3-2,24.8964,-46.0541,2.54545e-06
VCOMP3,VCOMP3-3,24.8965,-105.797,2.54545e-06
VCOMP3,VCOMP3-4,24.896,43.7361,2.54545e-06
VCOMP3,VCOMP3-5,24.896,23.117,2.54545e-06
VCOMP3,VCOMP3-6,24.896,29.8033,2.54545e-06
VCOMP3,VCOMP3-7,24.896,29.0592,2.54545e-06
VCOMP3,VCOMP3-8,24.896,20.7369,2.54545e-06
VCOMP3,VCOMP3-9,24.896,21.5639,2.54545e-06
VCOMP3,VCOMP3-10,24.896,31.9841,2.54545e-06
VCOMP4,VCOMP4-0,0.137349,200,5e-07
VCOMP4,VCOMP4-1,0.137749,-200,5e-07
