refdes,pin,voltage,current
J3,1,25.0,200.0
J3,2,0.0,-200.0
J2,pdna_pin_2_1,24.7439,-51.5323
J2,pdna_pin_2_2,24.7449,-52.0334
J2,pdna_pin_2_3,24.7368,-47.9742
J2,pdna_pin_2_4,24.7378,-48.4601
J2,pdna_pin_1_1,0.389454,48.4755
J2,pdna_pin_1_2,0.38535,50.5275
J2,pdna_pin_1_3,0.382752,51.8263
J2,pdna_pin_1_4,0.388063,49.1707
Q3,pdna_pin_2_1,24.8904,-45.6509
Q3,pdna_pin_2_2,24.8904,-29.9498
Q3,pdna_pin_2_3,24.8904,-27.0695
Q3,pdna_pin_2_4,24.8904,-19.8217
Q3,pdna_pin_2_5,24.8904,-20.8116
Q3,pdna_pin_2_6,24.8904,-32.4991
Q3,pdna_pin_2_7,24.8904,-24.1978
Q3,pdna_pin_3_1,24.8901,20.0971
Q3,pdna_pin_3_2,24.8901,27.7817
Q3,pdna_pin_3_3,24.89,45.8625
Q3,pdna_pin_3_4,24.8899,106.259
Q6,pdna_pin_3_1,24.8178,-20.0964
Q6,pdna_pin_3_2,24.8179,-27.7812
Q6,pdna_pin_3_3,24.8179,-45.8628
Q6,pdna_pin_3_4,24.8181,-106.26
Q6,pdna_pin_2_1,24.8174,64.4143
Q6,pdna_pin_2_2,24.8175,23.0204
Q6,pdna_pin_2_3,24.8175,27.5277
Q6,pdna_pin_2_4,24.8175,25.3824
Q6,pdna_pin_2_5,24.8175,17.1329
Q6,pdna_pin_2_6,24.8175,17.2899
Q6,pdna_pin_2_7,24.8175,25.2329
R44,1,0.223123,200.0
R44,2,0.223523,-200.0
