x,y,layer1,layer2,voltage1,voltage2,current
-144.957,-2952.45,TOP_LAYER,GROUND,0.0526363,0.0526363,-1.47035e-13
-144.957,-2952.45,GROUND,POWER,0.0526363,0.0528107,-0.336795
-144.957,-2952.45,POWER,BOTTOM_LAYER,0.0528107,0.0528424,-0.336795
-69.7574,-2233.25,TOP_LAYER,GROUND,0.0455965,0.0455965,-7.35174e-14
-69.7574,-2233.25,GROUND,POWER,0.0455965,0.0462765,-1.31351
-69.7574,-2233.25,POWER,BOTTOM_LAYER,0.0462765,0.0464004,-1.31351
-68.3431,-1934.66,TOP_LAYER,GROUND,0.0378675,0.0380351,-2.40415
-68.3431,-1934.66,GROUND,POWER,0.0380351,0.0371504,2.31396
-68.3431,-1934.66,POWER,BOTTOM_LAYER,0.0371504,0.0370912,0.849491
-68.3431,-1634.66,TOP_LAYER,GROUND,0.0338768,0.033856,0.29839
-68.3431,-1634.66,GROUND,POWER,0.033856,0.0337993,0.148417
-68.3431,-1634.66,POWER,BOTTOM_LAYER,0.0337993,0.033806,-0.0968093
-68.3431,-1334.66,TOP_LAYER,GROUND,0.0280212,0.0280284,-0.10355
-68.3431,-1334.66,GROUND,POWER,0.0280284,0.0279601,0.178825
-68.3431,-1334.66,POWER,BOTTOM_LAYER,0.0279601,0.0279564,0.0529993
-68.3431,-1034.66,TOP_LAYER,GROUND,0.0203363,0.0203634,-0.38774
-68.3431,-1034.66,GROUND,POWER,0.0203634,0.0205185,-0.405871
-68.3431,-1034.66,POWER,BOTTOM_LAYER,0.0205185,0.0205376,-0.272902
-68.3431,-734.665,TOP_LAYER,GROUND,0.0153528,0.0153895,-0.527179
-68.3431,-734.665,GROUND,POWER,0.0153895,0.0157393,-0.914794
-68.3431,-734.665,POWER,BOTTOM_LAYER,0.0157393,0.0157654,-0.374713
-68.3431,-284.665,TOP_LAYER,GROUND,24.9847,24.9847,0.386951
-68.3431,-284.665,GROUND,POWER,24.9847,24.9844,0.77319
-68.3431,-284.665,POWER,BOTTOM_LAYER,24.9844,24.9844,0.278361
5.24264,-2083.25,TOP_LAYER,GROUND,0.0435261,0.0435261,-7.35174e-14
5.24264,-2083.25,GROUND,POWER,0.0435261,0.045041,-2.92668
5.24264,-2083.25,POWER,BOTTOM_LAYER,0.045041,0.0453173,-2.92668
6.65685,-1784.66,TOP_LAYER,GROUND,0.0364947,0.0364964,-0.0252132
6.65685,-1784.66,GROUND,POWER,0.0364964,0.0361476,0.912356
6.65685,-1784.66,POWER,BOTTOM_LAYER,0.0361476,0.0360829,0.928016
6.65685,-1484.66,TOP_LAYER,GROUND,0.0315598,0.0315821,-0.319134
6.65685,-1484.66,GROUND,POWER,0.0315821,0.0313841,0.517901
6.65685,-1484.66,POWER,BOTTOM_LAYER,0.0313841,0.0313676,0.2366
6.65685,-1184.66,TOP_LAYER,GROUND,0.0244008,0.0244135,-0.182758
6.65685,-1184.66,GROUND,POWER,0.0244135,0.0244384,-0.0650773
6.65685,-1184.66,POWER,BOTTOM_LAYER,0.0244384,0.0244414,-0.0431112
6.65685,-134.665,TOP_LAYER,GROUND,24.9825,24.9825,0.372108
6.65685,-134.665,GROUND,POWER,24.9825,24.9823,0.43837
6.65685,-134.665,POWER,BOTTOM_LAYER,24.9823,24.9823,0.0150575
80.2426,-3733.25,TOP_LAYER,GROUND,0.0552047,0.0552047,-7.35174e-14
80.2426,-3733.25,GROUND,POWER,0.0552047,0.0551631,0.0803852
80.2426,-3733.25,POWER,BOTTOM_LAYER,0.0551631,0.0551555,0.0803852
80.2426,-3433.25,TOP_LAYER,GROUND,0.0546359,0.0546359,-7.35174e-14
80.2426,-3433.25,GROUND,POWER,0.0546359,0.0546551,-0.0371184
80.2426,-3433.25,POWER,BOTTOM_LAYER,0.0546551,0.0546586,-0.0371184
81.6569,-1934.66,TOP_LAYER,GROUND,0.0386149,0.0387785,-2.34766
81.6569,-1934.66,GROUND,POWER,0.0387785,0.0380367,1.94033
81.6569,-1934.66,POWER,BOTTOM_LAYER,0.0380367,0.0379498,1.24638
81.6569,-1634.66,TOP_LAYER,GROUND,0.034536,0.034523,0.186139
81.6569,-1634.66,GROUND,POWER,0.034523,0.0343706,0.398701
81.6569,-1634.66,POWER,BOTTOM_LAYER,0.0343706,0.0343461,0.352388
81.6569,-1334.66,TOP_LAYER,GROUND,0.0285825,0.0285935,-0.157463
81.6569,-1334.66,GROUND,POWER,0.0285935,0.0284116,0.475806
81.6569,-1334.66,POWER,BOTTOM_LAYER,0.0284116,0.0283735,0.546075
81.6569,-1034.66,TOP_LAYER,GROUND,0.0198171,0.019855,-0.543725
81.6569,-1034.66,GROUND,POWER,0.019855,0.0200951,-0.627914
81.6569,-1034.66,POWER,BOTTOM_LAYER,0.0200951,0.0201314,-0.521361
134.929,-3909.12,TOP_LAYER,GROUND,0.0554429,0.0554448,-0.020406
134.929,-3909.12,GROUND,POWER,0.0554448,0.0553975,0.0912945
134.929,-3909.12,POWER,BOTTOM_LAYER,0.0553975,0.0553889,0.0912945
155.243,-3883.25,TOP_LAYER,GROUND,0.055416,0.0554141,0.020406
155.243,-3883.25,GROUND,POWER,0.0554141,0.0553645,0.0958565
155.243,-3883.25,POWER,BOTTOM_LAYER,0.0553645,0.0553554,0.0958565
155.243,-2383.25,TOP_LAYER,GROUND,0.0483871,0.0483871,7.35174e-14
155.243,-2383.25,GROUND,POWER,0.0483871,0.0489553,-1.09778
155.243,-2383.25,POWER,BOTTOM_LAYER,0.0489553,0.0490589,-1.09778
155.243,-2083.25,TOP_LAYER,GROUND,0.0439488,0.0439488,-7.35174e-14
155.243,-2083.25,GROUND,POWER,0.0439488,0.0451692,-2.35761
155.243,-2083.25,POWER,BOTTOM_LAYER,0.0451692,0.0453917,-2.35761
156.657,-1784.66,TOP_LAYER,GROUND,0.0373699,0.0373438,0.373988
156.657,-1784.66,GROUND,POWER,0.0373438,0.0369331,1.07428
156.657,-1784.66,POWER,BOTTOM_LAYER,0.0369331,0.0368489,1.20828
156.657,-1484.66,TOP_LAYER,GROUND,0.0323546,0.0323536,0.0146314
156.657,-1484.66,GROUND,POWER,0.0323536,0.0319039,1.17643
156.657,-1484.66,POWER,BOTTOM_LAYER,0.0319039,0.0318472,0.813279
156.657,-1184.66,TOP_LAYER,GROUND,0.0249322,0.024915,0.24674
156.657,-1184.66,GROUND,POWER,0.024915,0.0248579,0.149255
156.657,-1184.66,POWER,BOTTOM_LAYER,0.0248579,0.0248524,0.0797575
156.657,-134.665,TOP_LAYER,GROUND,24.9807,24.9806,1.14528
156.657,-134.665,GROUND,POWER,24.9806,24.9803,0.752509
156.657,-134.665,POWER,BOTTOM_LAYER,24.9803,24.9803,0.49806
291.476,-928.554,TOP_LAYER,GROUND,0,0.000610612,-146.109
291.476,-928.554,GROUND,POWER,0.000610612,0.0027621,-93.8715
291.476,-928.554,POWER,BOTTOM_LAYER,0.0027621,0.00296006,-47.3684
291.476,-495.484,TOP_LAYER,GROUND,25,24.9994,145.545
291.476,-495.484,GROUND,POWER,24.9994,24.9972,93.9241
291.476,-495.484,POWER,BOTTOM_LAYER,24.9972,24.997,46.8847
231.657,-1934.66,TOP_LAYER,GROUND,0.0398644,0.0400014,-1.96531
231.657,-1934.66,GROUND,POWER,0.0400014,0.0395362,1.21698
231.657,-1934.66,POWER,BOTTOM_LAYER,0.0395362,0.0395154,0.298442
231.657,-1634.66,TOP_LAYER,GROUND,0.0355989,0.0355887,0.146422
