refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,25,200,0
VCOMP1,VCOMP1-1,0,-200,0
VCOMP0,VCOMP0-0,24.7439,-51.5323,0.002
VCOMP0,VCOMP0-1,24.7449,-52.0334,0.002
VCOMP0,VCOMP0-2,24.7368,-47.9742,0.002
VCOMP0,VCOMP0-3,24.7378,-48.4601,0.002
VCOMP0,VCOMP0-4,0.389454,48.4755,0.002
VCOMP0,VCOMP0-5,0.38535,50.5275,0.002
VCOMP0,VCOMP0-6,0.382752,51.8263,0.002
VCOMP0,VCOMP0-7,0.388063,49.1707,0.002
VCOMP2,VCOMP2-0,24.8904,-45.6509,2.54545e-06
VCOMP2,VCOMP2-1,24.8904,-29.9498,2.54545e-06
VCOMP2,VCOMP2-2,24.8904,-27.0695,2.54545e-06
VCOMP2,VCOMP2-3,24.8904,-19.8217,2.54545e-06
VCOMP2,VCOMP2-4,24.8904,-20.8116,2.54545e-06
VCOMP2,VCOMP2-5,24.8904,-32.4991,2.54545e-06
VCOMP2,VCOMP2-6,24.8904,-24.1978,2.54545e-06
VCOMP2,VCOMP2-7,24.8901,20.0971,2.54545e-06
VCOMP2,VCOMP2-8,24.8901,27.7817,2.54545e-06
VCOMP2,VCOMP2-9,24.89,45.8625,2.54545e-06
VCOMP2,VCOMP2-10,24.8899,106.259,2.54545e-06
VCOMP3,VCOMP3-0,24.8178,-20.0964,2.54545e-06
VCOMP3,VCOMP3-1,24.8179,-27.7812,2.54545e-06
VCOMP3,VCOMP3-2,24.8179,-45.8628,2.54545e-06
VCOMP3,VCOMP3-3,24.8181,-106.26,2.54545e-06
VCOMP3,VCOMP3-4,24.8174,64.4143,2.54545e-06
VCOMP3,VCOMP3-5,24.8175,23.0204,2.54545e-06
VCOMP3,VCOMP3-6,24.8175,27.5277,2.54545e-06
VCOMP3,VCOMP3-7,24.8175,25.3824,2.54545e-06
VCOMP3,VCOMP3-8,24.8175,17.1329,2.54545e-06
VCOMP3,VCOMP3-9,24.8175,17.2899,2.54545e-06
VCOMP3,VCOMP3-10,24.8175,25.2329,2.54545e-06
VCOMP4,VCOMP4-0,0.223123,200,5e-07
VCOMP4,VCOMP4-1,0.223523,-200,5e-07
