Altium Designer Pick and Place Locations
C:\Users\lance\Github\MarsRover2020-PCB\Projects\Gimbal\Rev2\Project Outputs for Gimbal\Pick Place\Pick Place for Gimbal.csv

========================================================================================================================
File Design Information:

Date:       07-12-20
Time:       07:03
Revision:   435c708c3bff37f61b7cf43314254f7195ba8198
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP7","20.4978","41.5036","90","TESTPOINT 1MM SQUARE"
"F4","22.4536","45.3390","270","FUSE SMD 250mA 32V"
"C30","24.2697","45.0920","90","CAP CER 0.1UF 50V X7R 0603"
"TP12","46.2407","31.4776","90","TESTPOINT 1MM SQUARE"
"TP11","13.0429","25.7372","90","TESTPOINT 1MM SQUARE"
"TP4","17.8943","9.3796","90","TESTPOINT 1MM SQUARE"
"R19","36.7793","10.3194","360","RES 3.3K OHM 5% 1/10W 0603"
"R18","37.8969","8.5668","360","RES 2.2K OHM 1% 1/10W 0603"
"J3","11.5443","2.8980","0","CONN RCPT 3POS 0.059 TIN SMD R/A"
"C29","13.8049","8.7446","270","CAP CER 0.1UF 50V X7R 0603"
"C28","22.4663","8.7446","270","CAP CER 0.1UF 50V X7R 0603"
"C27","33.3883","8.7446","270","CAP CER 0.1UF 50V X7R 0603"
"R15","23.7743","40.3422","180","RES 10K OHM 5% 1/10W 0603"
"C21","16.5989","27.2993","360","CAP CER 4.7UF 50V X7R 1206"
"R17","19.6469","18.6634","90","RES 0 OHM JUMPER 1/10W 0603"
"R16","14.6177","12.2118","270","RES 0 OHM JUMPER 1/10W 0603"
"C26","22.2257","38.3356","180","CAP CER 10UF 50V X5R 1206"
"TP2","37.9603","35.7956","90","TESTPOINT 1MM CIRCLE"
"TP1","37.9603","34.2970","90","TESTPOINT 1MM CIRCLE"
"D2","20.2565","44.2030","90","LED GREEN DIFFUSED 0805 SMD"
"U2","19.5548","23.1210","180","IC TXRX CAN 4MBPS 8SO"
"U1","19.7993","13.3166","180","IC TXRX CAN 4MBPS 8SO"
"TP6","45.7653","26.6770","270","PC TEST POINT SMD"
"TP5","5.0419","43.9744","180","PC TEST POINT SMD"
"R13","33.8583","30.2838","360","RES 27 OHM 5% 1/10W 0603"
"R10","45.9613","39.8470","270","RES 10K OHM 5% 1/10W 0603"
"R2","14.8463","23.1084","270","RES 120 OHM 5% 1/10W 0603"
"R1","17.0561","17.7490","270","RES 120 OHM 5% 1/10W 0603"
"J7","2.7844","32.1256","90","CONN HEADER SMD RIGHT ANGLE 1.5 MM PITCH"
"CMC2","10.3251","22.3590","180","CMC 51uH 300MA 2LN SMD"
"CMC1","11.9253","16.9234","180","CMC 51uH 300MA 2LN SMD"
"C25","21.3995","17.7108","90","CAP CER 0.1UF 50V X7R 0603"
"C24","24.3713","23.9892","90","CAP CER 0.1UF 50V X7R 0603"
"C23","7.8613","33.5604","90","CAP CER 33PF 50V C0G/NP0"
"C22","4.4069","40.0120","360","CAP CER 33PF 50V C0G/NP0"
"C20","45.9897","36.2528","90","CAP CER 1UF 16V X7R 0805"
"C5","45.3009","13.8754","180","CAP CER 1UF 16V X7R 0805"
"C2","7.6327","14.9422","90","CAP CER 33PF 50V C0G/NP0"
"C1","4.4069","21.7494","360","CAP CER 33PF 50V C0G/NP0"
"S1","44.6151","11.4624","180","Tactile Switch (Grey)"
"U4","31.7373","34.1700","180","IC BIDIRECTIONAL LEVEL SHIFTER 4 CHANNEL 14TSSOP"
"Y1","41.9646","21.1144","270","CRYSTAL 25.0000MHZ 12PF SMD"
"U7","32.7533","22.6520","180","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB Internal RAM, 50 I/Os, 64-Pin LQFP, -40 to 85 degC, Tray"
"U5","20.3073","32.7730","270","IC REG BUCK ADJUSTABLE 2A SOT563"
"TP15","37.9603","37.5736","90","TESTPOINT 1MM CIRCLE"
"TP10","17.9197","6.5856","90","TESTPOINT 1MM CIRCLE"
"TP9","31.8643","7.8048","0","TESTPOINT 1MM CIRCLE"
"TP8","7.4549","6.3062","0","TESTPOINT 1MM CIRCLE"
"S2","40.3733","43.0600","270","Tactile Switch (Grey)"
"R14","39.8273","39.7580","360","RES 10K OHM 5% 1/10W 0603"
"R12","40.3479","11.4623","270","RES 10K OHM 5% 1/10W 0603"
"R11","41.1353","31.4650","270","RES 20 OHM 5% 1/10W 0603"
"R9","44.6913","31.4650","90","RES 120 OHM 5% 1/10W 0603"
"R8","42.9133","31.4650","270","RES 20 OHM 5% 1/10W 0603"
"R7","23.5905","32.7096","90","RES 100K OHM 1% 1/10W 0603"
"R6","22.6569","43.0346","180","RES 120 OHM 5% 1/10W 0603"
"R5","22.1615","32.7096","270","RES 453K OHM 1% 1/10W 0603"
"R4","45.6565","21.7620","90","RES 120 OHM 5% 1/10W 0603"
"R3","34.8869","14.0406","270","RES 10K OHM 5% 1/10W 0603"
"MH4","0.0000","0.0000","0","MOUNTING_HOLE_M3 Gimbal Rev2"
"MH3","44.4500","0.0000","0","MOUNTING_HOLE_M3 Gimbal Rev2"
"MH2","44.4500","44.4500","0","MOUNTING_HOLE_M3 Gimbal Rev2"
"MH1","0.0000","44.4500","0","MOUNTING_HOLE_M3 Gimbal Rev2"
"L1","16.3957","31.5030","270","FIXED IND 1UH 3.8A 33 MOHM SMD"
"J8","22.4843","2.8980","0","CONN RCPT 3POS 0.059 TIN SMD R/A"
"J6","2.7844","13.6330","90","CONN HEADER SMD RIGHT ANGLE 1.5 MM PITCH"
"J5","33.3883","2.8980","0","CONN RCPT 3POS 0.059 TIN SMD R/A"
"J4","31.7637","41.1519","360","CONN HEADER SMD RIGHT ANGLE 1.5MM PITCH"
"J2","14.0843","42.2980","180","TERM BLK 2POS SIDE ENTRY 5MM"
"J1","27.6733","11.4370","360","Board Connector, 10 Contact(s), 2 Row(s), Male, Straight, 0.05 inch Pitch, Surface Mount Terminal, Locking"
"TP13","4.3942","3.1242","180","PC TEST POINT SMD"
"F7","43.3451","7.0428","90","FUSE SMD 1.5A 63V"
"F3","40.9575","7.0428","90","FUSE SMD 1.5A 63V"
"F2","45.6819","7.0428","90","FUSE SMD 1.5A 63V"
"F1","7.2771","40.3422","270","FUSE SMD 8A 24V"
"D9","9.6901","26.7786","360","TVS DIODE 24V 41V SOT323-3"
"D8","10.5437","10.8020","270","TVS DIODE 24V 41V SOT323-3"
"D4","41.2877","36.5830","90","LED RGB DIFFUSED 4PLCC SMD"
"D3","11.1125","33.7128","270","TVS DIODE 5V 9.2V DO214AA"
"D1","45.6565","18.2696","270","LED GREEN DIFFUSED 0805 SMD"
"C19","26.7843","35.3973","270","CAP CER 0.1UF 50V X7R 0603"
"C18","37.5793","32.2650","180","CAP CER 0.1UF 50V X7R 0603"
"C17","36.5633","14.2818","90","CAP CER 0.1UF 50V X7R 0603"
"C16","22.2257","35.9734","180","CAP CER 4.7UF 50V X7R 1206"
"C15","22.1107","28.8106","180","CAP CER 22UF 25V X7R 1210"
"C14","41.0083","26.2080","270","CAP CER 10000PF 16V X7R 0603"
"C13","41.0083","15.8448","90","CAP CER 0.1UF 50V X7R 0603"
"C12","38.4175","14.1040","90","CAP CER 4.7UF 16V X5R 0805"
"C11","29.2735","30.2838","180","CAP CER 0.1UF 50V X7R 0603"
"C10","25.0063","17.6600","90","CAP CER 0.1UF 50V X7R 0603"
"C9","37.6555","30.2838","180","CAP CER 0.1UF 50V X7R 0603"
"C8","42.6593","15.8448","90","CAP CER 0.1UF 50V X7R 0603"
"C7","42.6593","26.2080","270","CAP CER 1UF 16V Y5V 0603"
"C6","26.0223","31.2030","270","CAP CER 4.7UF 16V X5R 0805"
"C4","41.8211","18.2442","360","Cap Ceramic 14pF 50V C0G 5% SMD 0603 125C Cardboard T/R"
"C3","42.1005","23.6036","180","Cap Ceramic 14pF 50V C0G 5% SMD 0603 125C Cardboard T/R"
