refdes,pin,voltage,current
J2,pdna_pin_1_1,23.9735,6.625
J2,pdna_pin_1_2,23.9735,6.625
J2,pdna_pin_1_3,23.9735,6.625
J2,pdna_pin_1_4,23.9735,6.625
J2,pdna_pin_2_1,0.0,-6.625
J2,pdna_pin_2_2,0.0,-6.625
J2,pdna_pin_2_3,0.0,-6.625
J2,pdna_pin_2_4,0.0,-6.625
J3,pdna_pin_2_1,23.8332,-6.70561
J3,pdna_pin_2_2,23.833,-6.69293
J3,pdna_pin_2_3,23.8309,-6.55079
J3,pdna_pin_2_4,23.8309,-6.55075
J3,pdna_pin_1_1,0.114645,6.55695
J3,pdna_pin_1_2,0.112496,6.69937
J3,pdna_pin_1_3,0.112677,6.68735
J3,pdna_pin_1_4,0.114654,6.5564
Q4,3,23.9394,-26.5
Q4,pdna_pin_1_1,23.8555,8.42567
Q4,pdna_pin_1_2,23.8549,8.66039
Q4,pdna_pin_1_3,23.8531,9.41394
Q5,pdna_pin_1_1,0.0141222,8.86015
Q5,pdna_pin_1_2,0.0141537,8.84704
Q5,pdna_pin_1_3,0.0142838,8.79281
Q5,3,0.0990131,-26.5
