x,y,layer1,layer2,voltage1,voltage2,current
219.899,1485.1,TOP_LAYER,GROUND,0.00547706,0.00547229,0.122188
219.899,1485.1,GROUND,POWER,0.00547229,0.00545857,0.0159153
219.899,1485.1,POWER,BOTTOM_LAYER,0.00545857,0.00545795,0.0159153
224.899,1700.1,TOP_LAYER,GROUND,0.00435789,0.00435264,0.13434
224.899,1700.1,GROUND,POWER,0.00435264,0.0030169,1.55019
224.899,1700.1,POWER,BOTTOM_LAYER,0.0030169,0.00295634,1.55019
309.899,290.101,TOP_LAYER,GROUND,0.00546965,0.00547025,-0.0154479
309.899,290.101,GROUND,POWER,0.00547025,0.00547427,-0.00466457
309.899,290.101,POWER,BOTTOM_LAYER,0.00547427,0.00547445,-0.00466457
309.899,890.101,TOP_LAYER,GROUND,0.00555882,0.00556527,-0.165133
309.899,890.101,GROUND,POWER,0.00556527,0.00557713,-0.0137607
309.899,890.101,POWER,BOTTOM_LAYER,0.00557713,0.00557767,-0.0137607
309.899,2090.1,TOP_LAYER,GROUND,0.00269958,0.00274403,-1.13779
309.899,2090.1,GROUND,POWER,0.00274403,0.00225878,0.563156
309.899,2090.1,POWER,BOTTOM_LAYER,0.00225878,0.00223678,0.563156
309.899,2690.1,TOP_LAYER,GROUND,0.00157601,0.00158058,-0.116967
309.899,2690.1,GROUND,POWER,0.00158058,0.00150185,0.0913753
309.899,2690.1,POWER,BOTTOM_LAYER,0.00150185,0.00149828,0.0913753
309.899,3290.1,TOP_LAYER,GROUND,0.00106242,0.00106525,-0.0724898
309.899,3290.1,GROUND,POWER,0.00106525,0.00112326,-0.067316
309.899,3290.1,POWER,BOTTOM_LAYER,0.00112326,0.00112589,-0.067316
459.899,590.101,TOP_LAYER,GROUND,0.00551054,0.00551175,-0.0307404
459.899,590.101,GROUND,POWER,0.00551175,0.00551231,-0.000652834
459.899,590.101,POWER,BOTTOM_LAYER,0.00551231,0.00551233,-0.000652834
459.899,1190.1,TOP_LAYER,GROUND,0.00566855,0.0056912,-0.579851
459.899,1190.1,GROUND,POWER,0.0056912,0.00569261,-0.00163664
459.899,1190.1,POWER,BOTTOM_LAYER,0.00569261,0.00569268,-0.00163664
459.899,2390.1,TOP_LAYER,GROUND,0.00194621,0.00195867,-0.318819
459.899,2390.1,GROUND,POWER,0.00195867,0.00174259,0.250771
459.899,2390.1,POWER,BOTTOM_LAYER,0.00174259,0.00173279,0.250771
