vrefdes,vpin,refdes,pin
VCOMP0,0,J3,pdna_pin_2_1
VCOMP0,1,J3,pdna_pin_2_2
VCOMP0,2,J3,pdna_pin_2_3
VCOMP0,3,J3,pdna_pin_2_4
VCOMP0,4,J3,pdna_pin_1_1
VCOMP0,5,J3,pdna_pin_1_2
VCOMP0,6,J3,pdna_pin_1_3
VCOMP0,7,J3,pdna_pin_1_4
VCOMP1,0,J2,pdna_pin_1_1
VCOMP1,1,J2,pdna_pin_1_2
VCOMP1,2,J2,pdna_pin_1_3
VCOMP1,3,J2,pdna_pin_1_4
VCOMP1,4,J2,pdna_pin_2_1
VCOMP1,5,J2,pdna_pin_2_2
VCOMP1,6,J2,pdna_pin_2_3
VCOMP1,7,J2,pdna_pin_2_4
VCOMP2,0,Q4,3
VCOMP2,1,Q4,pdna_pin_1_1
VCOMP2,2,Q4,pdna_pin_1_2
VCOMP2,3,Q4,pdna_pin_1_3
VCOMP3,0,Q5,pdna_pin_1_1
VCOMP3,1,Q5,pdna_pin_1_2
VCOMP3,2,Q5,pdna_pin_1_3
VCOMP3,3,Q5,3
