refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,23.9735,6.625,0
VCOMP1,VCOMP1-1,23.9735,6.625,0
VCOMP1,VCOMP1-2,23.9735,6.625,0
VCOMP1,VCOMP1-3,23.9735,6.625,0
VCOMP1,VCOMP1-4,0,-6.625,0
VCOMP1,VCOMP1-5,0,-6.625,0
VCOMP1,VCOMP1-6,0,-6.625,0
VCOMP1,VCOMP1-7,0,-6.625,0
VCOMP0,VCOMP0-0,23.8332,-6.70561,0.0150943
VCOMP0,VCOMP0-1,23.833,-6.69293,0.0150943
VCOMP0,VCOMP0-2,23.8309,-6.55079,0.0150943
VCOMP0,VCOMP0-3,23.8309,-6.55075,0.0150943
VCOMP0,VCOMP0-4,0.114645,6.55695,0.0150943
VCOMP0,VCOMP0-5,0.112496,6.69937,0.0150943
VCOMP0,VCOMP0-6,0.112677,6.68735,0.0150943
VCOMP0,VCOMP0-7,0.114654,6.5564,0.0150943
VCOMP2,VCOMP2-0,23.9394,-26.5,0.0024
VCOMP2,VCOMP2-1,23.8555,8.42567,0.0024
VCOMP2,VCOMP2-2,23.8549,8.66039,0.0024
VCOMP2,VCOMP2-3,23.8531,9.41394,0.0024
VCOMP3,VCOMP3-0,0.0141222,8.86015,0.0024
VCOMP3,VCOMP3-1,0.0141537,8.84704,0.0024
VCOMP3,VCOMP3-2,0.0142838,8.79281,0.0024
VCOMP3,VCOMP3-3,0.0990131,-26.5,0.0024
