x,y,layer1,layer2,voltage1,voltage2,current
243.443,847.383,TOP_LAYER,GND,0.00427838,0.00427839,-0.000118624
243.443,847.383,GND,12V_FUSED,0.00427839,0.00427787,0.00450547
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.00427787,0.00427782,0.00231226
412.374,327.626,TOP_LAYER,GND,11.983,11.983,-0.392501
412.374,327.626,GND,12V_FUSED,11.983,11.983,-0.392501
412.374,327.626,12V_FUSED,BOTTOM_LAYER,11.983,11.983,-0.125611
452.374,207.626,TOP_LAYER,GND,11.983,11.9831,-0.22987
452.374,207.626,GND,12V_FUSED,11.9831,11.9831,-0.22987
452.374,207.626,12V_FUSED,BOTTOM_LAYER,11.9831,11.9831,-0.0348893
482.374,397.626,TOP_LAYER,GND,11.9828,11.9828,-1.0219
482.374,397.626,GND,12V_FUSED,11.9828,11.983,-1.0219
482.374,397.626,12V_FUSED,BOTTOM_LAYER,11.983,11.983,-0.189224
499.243,325.757,TOP_LAYER,GND,0.00401348,0.00401348,-9.18967e-15
499.243,325.757,GND,12V_FUSED,0.00401348,0.00401348,8.37824e-15
499.243,325.757,12V_FUSED,BOTTOM_LAYER,0.00401348,0.00401348,-0
569.899,170.101,TOP_LAYER,GND,0.00394742,0.0039428,0.118125
569.899,170.101,GND,12V_FUSED,0.0039428,0.0039428,4.04825e-15
569.899,170.101,12V_FUSED,BOTTOM_LAYER,0.0039428,0.0039428,-0
569.899,620.101,TOP_LAYER,GND,0.00456724,0.00454815,0.48842
569.899,620.101,GND,12V_FUSED,0.00454815,0.00454815,4.04825e-15
569.899,620.101,12V_FUSED,BOTTOM_LAYER,0.00454815,0.00454815,-0
609.899,230.101,TOP_LAYER,GND,0.003981,0.00396404,0.434347
609.899,230.101,GND,12V_FUSED,0.00396404,0.00396404,4.04825e-15
609.899,230.101,12V_FUSED,BOTTOM_LAYER,0.00396404,0.00396404,-0
639.899,170.101,TOP_LAYER,GND,0.0040362,0.00399031,1.17481
639.899,170.101,GND,12V_FUSED,0.00399031,0.00399031,4.04825e-15
639.899,170.101,12V_FUSED,BOTTOM_LAYER,0.00399031,0.00399031,-0
659.899,620.101,TOP_LAYER,GND,0.00472232,0.00467326,1.25577
659.899,620.101,GND,12V_FUSED,0.00467326,0.00464515,0.131215
659.899,620.101,12V_FUSED,BOTTOM_LAYER,0.00464515,0.00464002,0.131215
734.243,1075.76,TOP_LAYER,GND,0.00427904,0.00427909,-0.000552575
734.243,1075.76,GND,12V_FUSED,0.00427909,0.00427444,0.00899277
734.243,1075.76,12V_FUSED,BOTTOM_LAYER,0.00427444,0.00427405,0.00410534
734.243,1108.26,TOP_LAYER,GND,0.00427721,0.0042772,0.000160961
734.243,1108.26,GND,12V_FUSED,0.0042772,0.00427409,0.00600019
734.243,1108.26,12V_FUSED,BOTTOM_LAYER,0.00427409,0.00427381,0.00304505
734.243,1140.76,TOP_LAYER,GND,0.00427629,0.00427624,0.000510238
734.243,1140.76,GND,12V_FUSED,0.00427624,0.0042741,0.0041345
734.243,1140.76,12V_FUSED,BOTTOM_LAYER,0.0042741,0.00427389,0.00220276
792.374,387.626,TOP_LAYER,GND,11.9831,11.9832,-2.99618
792.374,387.626,GND,12V_FUSED,11.9832,11.9837,-2.99618
792.374,387.626,12V_FUSED,BOTTOM_LAYER,11.9837,11.9837,-0.551835
908.899,645.101,TOP_LAYER,GND,0.00444673,0.00441361,0.847884
908.899,645.101,GND,12V_FUSED,0.00441361,0.00436193,0.241208
908.899,645.101,12V_FUSED,BOTTOM_LAYER,0.00436193,0.00435832,0.0924397
914.198,80.8022,TOP_LAYER,GND,0,0.000189211,-7
