x,y,layer1,layer2,voltage1,voltage2,current
243.443,650.533,TOP_LAYER,GND,11.993,11.993,-1.43288e-10
243.443,650.533,GND,12V_FUSED,11.993,11.993,-1.19012e-10
243.443,650.533,12V_FUSED,BOTTOM_LAYER,11.993,11.993,-7.16441e-11
243.443,847.383,TOP_LAYER,GND,0,0.000322002,-6.49349
243.443,847.383,GND,12V_FUSED,0.000322002,0.00128553,-2.68975
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.00128553,0.0013699,-1.70138
545.899,625.101,TOP_LAYER,GND,0.00497784,0.00495014,0.296301
545.899,625.101,GND,12V_FUSED,0.00495014,0.00495014,1.15595e-14
545.899,625.101,12V_FUSED,BOTTOM_LAYER,0.00495014,0.00495014,1.85566e-14
546.899,169.101,TOP_LAYER,GND,0.00755657,0.00753586,0.221589
546.899,169.101,GND,12V_FUSED,0.00753586,0.00753586,1.79815e-14
546.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00753586,0.00753586,1.85566e-14
579.899,229.101,TOP_LAYER,GND,0.00756693,0.00755259,0.153449
579.899,229.101,GND,12V_FUSED,0.00755259,0.00755259,1.79815e-14
579.899,229.101,12V_FUSED,BOTTOM_LAYER,0.00755259,0.00755259,1.85566e-14
605.899,624.101,TOP_LAYER,GND,0.00509126,0.00511896,-0.296301
605.899,624.101,GND,12V_FUSED,0.00511896,0.00511896,1.28439e-14
605.899,624.101,12V_FUSED,BOTTOM_LAYER,0.00511896,0.00511896,9.27828e-15
610.899,169.101,TOP_LAYER,GND,0.00769058,0.00772564,-0.375038
610.899,169.101,GND,12V_FUSED,0.00772564,0.00772564,1.79815e-14
610.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00772564,0.00772564,2.78349e-14
734.243,1075.76,TOP_LAYER,GND,0.00380649,0.00384857,-0.186305
734.243,1075.76,GND,12V_FUSED,0.00384857,0.00371141,0.0840705
734.243,1075.76,12V_FUSED,BOTTOM_LAYER,0.00371141,0.0036852,0.116006
734.243,1108.26,TOP_LAYER,GND,0.00373945,0.00377731,-0.167644
734.243,1108.26,GND,12V_FUSED,0.00377731,0.00369803,0.0485934
734.243,1108.26,12V_FUSED,BOTTOM_LAYER,0.00369803,0.00368324,0.0654731
734.243,1140.76,TOP_LAYER,GND,0.00368498,0.00371944,-0.15256
734.243,1140.76,GND,12V_FUSED,0.00371944,0.00369028,0.0178704
734.243,1140.76,12V_FUSED,BOTTOM_LAYER,0.00369028,0.00368291,0.0326382
922.899,50.1005,TOP_LAYER,GND,0.0133262,0.013249,0.825498
922.899,50.1005,GND,12V_FUSED,0.013249,0.013249,3.33942e-14
922.899,50.1005,12V_FUSED,BOTTOM_LAYER,0.013249,0.013249,1.85566e-14
927.899,139.101,TOP_LAYER,GND,0.0130708,0.0129484,1.30936
927.899,139.101,GND,12V_FUSED,0.0129484,0.0129484,3.33942e-14
927.899,139.101,12V_FUSED,BOTTOM_LAYER,0.0129484,0.0129484,1.85566e-14
930.899,647.101,TOP_LAYER,GND,0.00582534,0.00581476,0.113185
930.899,647.101,GND,12V_FUSED,0.00581476,0.00558384,0.341949
930.899,647.101,12V_FUSED,BOTTOM_LAYER,0.00558384,0.00559578,-0.127713
991.899,647.101,TOP_LAYER,GND,0.00585768,0.00584339,0.152898
991.899,647.101,GND,12V_FUSED,0.00584339,0.00561761,0.334338
991.899,647.101,12V_FUSED,BOTTOM_LAYER,0.00561761,0.00562414,-0.069909
1010.9,215.101,TOP_LAYER,GND,0.012771,0.0126129,1.6908
1010.9,215.101,GND,12V_FUSED,0.0126129,0.0126129,3.08254e-14
1010.9,215.101,12V_FUSED,BOTTOM_LAYER,0.0126129,0.0126129,3.71131e-14
1028.2,79.8022,TOP_LAYER,GND,0.0145046,0.0142993,3.17435
1028.2,79.8022,GND,12V_FUSED,0.0142993,0.0142993,-5.94038e-14
1028.2,79.8022,12V_FUSED,BOTTOM_LAYER,0.0142993,0.0142993,-5.36407e-14
1025.9,596.101,TOP_LAYER,GND,0.00595934,0.00598421,-0.266084
1025.9,596.101,GND,12V_FUSED,0.00598421,0.00572166,0.388791
1025.9,596.101,12V_FUSED,BOTTOM_LAYER,0.00572166,0.00570318,0.197622
1059.24,1020.76,TOP_LAYER,GND,0.0048908,0.00488002,0.0477266
1059.24,1020.76,GND,12V_FUSED,0.00488002,0.00465322,0.13901
1059.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00465322,0.00460725,0.203542
1059.24,1067.02,TOP_LAYER,GND,0.00484841,0.00483421,0.06287
1059.24,1067.02,GND,12V_FUSED,0.00483421,0.00463045,0.124895
1059.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00463045,0.00460369,0.118468
1059.24,1115.76,TOP_LAYER,GND,0.0048302,0.00481505,0.0670621
1059.24,1115.76,GND,12V_FUSED,0.00481505,0.00462155,0.118603
1059.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00462155,0.00459628,0.111889
1129.24,950.757,TOP_LAYER,GND,0.00509733,0.00510989,-0.0555937
1129.24,950.757,GND,12V_FUSED,0.00510989,0.00478141,0.201337
1129.24,950.757,12V_FUSED,BOTTOM_LAYER,0.00478141,0.00472339,0.256862
1199.24,1020.76,TOP_LAYER,GND,0.00508532,0.00509696,-0.0515266
1199.24,1020.76,GND,12V_FUSED,0.00509696,0.00484835,0.152383
1199.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00484835,0.00481748,0.136672
1199.24,1067.02,TOP_LAYER,GND,0.00503686,0.00504481,-0.0351779
1199.24,1067.02,GND,12V_FUSED,0.00504481,0.00483976,0.125682
1199.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00483976,0.00482014,0.0868591
1199.24,1115.76,TOP_LAYER,GND,0.00502611,0.0050341,-0.0353605
1199.24,1115.76,GND,12V_FUSED,0.0050341,0.00483597,0.121441
1199.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00483597,0.00481741,0.0821744
1594.24,85.7574,TOP_LAYER,GND,0.00742035,0.00742035,2.30428e-14
1594.24,85.7574,GND,12V_FUSED,0.00742035,0.00742035,-2.65817e-15
1594.24,85.7574,12V_FUSED,BOTTOM_LAYER,0.00742035,0.00742035,-3.84046e-15
2046.25,1008.76,TOP_LAYER,GND,0.00591157,0.00591157,2.30428e-14
2046.25,1008.76,GND,12V_FUSED,0.00591157,0.00561612,0.181088
2046.25,1008.76,12V_FUSED,BOTTOM_LAYER,0.00561612,0.00557522,0.181088
2047.23,873.757,TOP_LAYER,GND,0.00604175,0.00604175,7.68092e-15
2047.23,873.757,GND,12V_FUSED,0.00604175,0.00604175,-1.91388e-14
2047.23,873.757,12V_FUSED,BOTTOM_LAYER,0.00604175,0.00604175,-1.92023e-14
2139.24,104.261,TOP_LAYER,GND,0.00638887,0.00638887,-7.68092e-15
2139.24,104.261,GND,12V_FUSED,0.00638887,0.00638887,-2.65817e-15
2139.24,104.261,12V_FUSED,BOTTOM_LAYER,0.00638887,0.00638887,-0
2254.24,220.757,TOP_LAYER,GND,0.00619232,0.0061974,-0.0225044
2254.24,220.757,GND,12V_FUSED,0.0061974,0.00612872,0.0420983
2254.24,220.757,12V_FUSED,BOTTOM_LAYER,0.00612872,0.00611921,0.0420983
2329.24,370.757,TOP_LAYER,GND,0.00612357,0.00612469,-0.00496171
2329.24,370.757,GND,12V_FUSED,0.00612469,0.00608774,0.0226489
2329.24,370.757,12V_FUSED,BOTTOM_LAYER,0.00608774,0.00608262,0.0226489
2344.24,582.675,TOP_LAYER,GND,0.0060753,0.00607567,-0.00165654
2344.24,582.675,GND,12V_FUSED,0.00607567,0.00604548,0.0185025
2344.24,582.675,12V_FUSED,BOTTOM_LAYER,0.00604548,0.00604131,0.0185025
2366.74,1045.76,TOP_LAYER,GND,0.00597225,0.0059681,0.018344
2366.74,1045.76,GND,12V_FUSED,0.0059681,0.00589599,0.0442003
2366.74,1045.76,12V_FUSED,BOTTOM_LAYER,0.00589599,0.00588601,0.0442003
2404.24,70.7574,TOP_LAYER,GND,0.00611829,0.00612005,-0.00777754
2404.24,70.7574,GND,12V_FUSED,0.00612005,0.00610306,0.0104121
2404.24,70.7574,12V_FUSED,BOTTOM_LAYER,0.00610306,0.00610071,0.0104121
2404.24,220.757,TOP_LAYER,GND,0.0061102,0.00611378,-0.0158712
2404.24,220.757,GND,12V_FUSED,0.00611378,0.00609658,0.0105439
2404.24,220.757,12V_FUSED,BOTTOM_LAYER,0.00609658,0.0060942,0.0105439
2441.74,145.757,TOP_LAYER,GND,0.00611003,0.00611048,-0.00201488
2441.74,145.757,GND,12V_FUSED,0.00611048,0.00609735,0.00805131
