x,y,layer1,layer2,voltage1,voltage2,current
243.443,847.383,TOP_LAYER,GND,0.00650437,0.00650516,-0.0159736
243.443,847.383,GND,12V_FUSED,0.00650516,0.00645489,0.140337
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.00645489,0.00645016,0.0952935
408.374,394.626,TOP_LAYER,GND,11.9821,11.9822,-0.232689
408.374,394.626,GND,12V_FUSED,11.9822,11.9823,-0.232689
408.374,394.626,12V_FUSED,BOTTOM_LAYER,11.9823,11.9823,-0.142459
437.374,201.626,TOP_LAYER,GND,11.9822,11.9822,-0.197148
437.374,201.626,GND,12V_FUSED,11.9822,11.9823,-0.197148
437.374,201.626,12V_FUSED,BOTTOM_LAYER,11.9823,11.9823,-0.130102
471.374,329.626,TOP_LAYER,GND,11.9821,11.9821,-0.346584
471.374,329.626,GND,12V_FUSED,11.9821,11.9823,-0.346584
471.374,329.626,12V_FUSED,BOTTOM_LAYER,11.9823,11.9823,-0.21045
524.374,489.626,TOP_LAYER,GND,11.982,11.982,-0.432177
524.374,489.626,GND,12V_FUSED,11.982,11.9822,-0.432177
524.374,489.626,12V_FUSED,BOTTOM_LAYER,11.9822,11.9823,-0.365484
545.899,625.101,TOP_LAYER,GND,0.0074029,0.00734021,0.670604
545.899,625.101,GND,12V_FUSED,0.00734021,0.00734021,1.79815e-14
545.899,625.101,12V_FUSED,BOTTOM_LAYER,0.00734021,0.00734021,1.85566e-14
546.899,169.101,TOP_LAYER,GND,0.00643132,0.00640898,0.238939
546.899,169.101,GND,12V_FUSED,0.00640898,0.00640898,1.54127e-14
546.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00640898,0.00640898,1.85566e-14
579.899,229.101,TOP_LAYER,GND,0.00646022,0.00641239,0.511681
579.899,229.101,GND,12V_FUSED,0.00641239,0.00641239,1.54127e-14
579.899,229.101,12V_FUSED,BOTTOM_LAYER,0.00641239,0.00641239,1.85566e-14
591.374,427.626,TOP_LAYER,GND,11.9817,11.9818,-0.992057
591.374,427.626,GND,12V_FUSED,11.9818,11.9823,-0.992057
591.374,427.626,12V_FUSED,BOTTOM_LAYER,11.9823,11.9824,-0.367195
605.899,624.101,TOP_LAYER,GND,0.00753594,0.00743898,1.03712
605.899,624.101,GND,12V_FUSED,0.00743898,0.00743898,1.79815e-14
605.899,624.101,12V_FUSED,BOTTOM_LAYER,0.00743898,0.00743898,1.85566e-14
610.899,169.101,TOP_LAYER,GND,0.00650668,0.00641639,0.965832
610.899,169.101,GND,12V_FUSED,0.00641639,0.00641639,1.54127e-14
610.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00641639,0.00641639,1.85566e-14
734.243,1075.76,TOP_LAYER,GND,0.00639218,0.00639149,0.00302078
734.243,1075.76,GND,12V_FUSED,0.00639149,0.00633847,0.0325007
734.243,1075.76,12V_FUSED,BOTTOM_LAYER,0.00633847,0.00633063,0.0347224
734.243,1108.26,TOP_LAYER,GND,0.00638527,0.00638401,0.00555129
734.243,1108.26,GND,12V_FUSED,0.00638401,0.00633968,0.0271721
734.243,1108.26,12V_FUSED,BOTTOM_LAYER,0.00633968,0.00633395,0.0253508
734.243,1140.76,TOP_LAYER,GND,0.00638041,0.00637874,0.00740153
734.243,1140.76,GND,12V_FUSED,0.00637874,0.00634122,0.0229997
734.243,1140.76,12V_FUSED,BOTTOM_LAYER,0.00634122,0.0063368,0.0195702
794.374,412.626,TOP_LAYER,GND,11.9824,11.9825,-1.31299
794.374,412.626,GND,12V_FUSED,11.9825,11.9832,-1.31299
794.374,412.626,12V_FUSED,BOTTOM_LAYER,11.9832,11.9832,-0.832102
802.374,339.626,TOP_LAYER,GND,11.9826,11.9827,-1.12695
802.374,339.626,GND,12V_FUSED,11.9827,11.9833,-1.12695
802.374,339.626,12V_FUSED,BOTTOM_LAYER,11.9833,11.9834,-0.823754
922.899,50.1005,TOP_LAYER,GND,0.0012041,0.00126346,-0.635017
922.899,50.1005,GND,12V_FUSED,0.00126346,0.00126346,3.21098e-15
922.899,50.1005,12V_FUSED,BOTTOM_LAYER,0.00126346,0.00126346,2.31957e-15
927.899,139.101,TOP_LAYER,GND,0.00155771,0.00162777,-0.749482
927.899,139.101,GND,12V_FUSED,0.00162777,0.00162777,3.85317e-15
927.899,139.101,12V_FUSED,BOTTOM_LAYER,0.00162777,0.00162777,4.63914e-15
930.899,647.101,TOP_LAYER,GND,0.00664062,0.00657415,0.711077
930.899,647.101,GND,12V_FUSED,0.00657415,0.00646277,0.164934
930.899,647.101,12V_FUSED,BOTTOM_LAYER,0.00646277,0.00645695,0.0622253
991.899,647.101,TOP_LAYER,GND,0.00651972,0.00648555,0.365461
991.899,647.101,GND,12V_FUSED,0.00648555,0.00643819,0.0701289
991.899,647.101,12V_FUSED,BOTTOM_LAYER,0.00643819,0.0064391,-0.00967635
1010.9,215.101,TOP_LAYER,GND,0.00178864,0.00187373,-0.910199
1010.9,215.101,GND,12V_FUSED,0.00187373,0.00187373,4.17427e-15
1010.9,215.101,12V_FUSED,BOTTOM_LAYER,0.00187373,0.00187373,6.95871e-15
1012.9,309.101,TOP_LAYER,GND,11.9854,11.9854,-0.00671567
1012.9,309.101,GND,12V_FUSED,11.9854,11.9854,-0.00671567
1012.9,309.101,12V_FUSED,BOTTOM_LAYER,11.9854,11.9854,-0.000801536
1028.2,79.8022,TOP_LAYER,GND,0,0.00018529,-2.86474
1028.2,79.8022,GND,12V_FUSED,0.00018529,0.00018529,-7.54149e-16
1028.2,79.8022,12V_FUSED,BOTTOM_LAYER,0.00018529,0.00018529,-8.38136e-16
1025.9,596.101,TOP_LAYER,GND,0.00644605,0.00638447,0.658732
1025.9,596.101,GND,12V_FUSED,0.00638447,0.00641577,-0.0463519
1025.9,596.101,12V_FUSED,BOTTOM_LAYER,0.00641577,0.00642069,-0.0525489
1059.24,1020.76,TOP_LAYER,GND,0.00618694,0.00619166,-0.0209236
1059.24,1020.76,GND,12V_FUSED,0.00619166,0.00622459,-0.020185
1059.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00622459,0.00622116,0.0151768
1059.24,1067.02,TOP_LAYER,GND,0.00618825,0.00619275,-0.0199504
1059.24,1067.02,GND,12V_FUSED,0.00619275,0.00621911,-0.0161548
1059.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00621911,0.00621928,-0.000755781
1059.24,1115.76,TOP_LAYER,GND,0.00618937,0.00619383,-0.0197747
1059.24,1115.76,GND,12V_FUSED,0.00619383,0.00621806,-0.0148501
1059.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00621806,0.00621853,-0.00209939
1109.9,290.101,TOP_LAYER,GND,11.9861,11.9861,0.115379
1109.9,290.101,GND,12V_FUSED,11.9861,11.986,0.115379
1109.9,290.101,12V_FUSED,BOTTOM_LAYER,11.986,11.986,0.141672
1129.24,950.757,TOP_LAYER,GND,0.00613228,0.00613056,0.00760412
1129.24,950.757,GND,12V_FUSED,0.00613056,0.00620088,-0.0430992
1129.24,950.757,12V_FUSED,BOTTOM_LAYER,0.00620088,0.00619742,0.0153015
1159.9,190.101,TOP_LAYER,GND,11.9864,11.9864,0.086889
1159.9,190.101,GND,12V_FUSED,11.9864,11.9864,0.086889
1159.9,190.101,12V_FUSED,BOTTOM_LAYER,11.9864,11.9864,-0.0704749
1159.9,390.101,TOP_LAYER,GND,11.9862,11.9862,-0.0166606
1159.9,390.101,GND,12V_FUSED,11.9862,11.9862,-0.0166606
1159.9,390.101,12V_FUSED,BOTTOM_LAYER,11.9862,11.9862,-0.0898373
1199.24,1020.76,TOP_LAYER,GND,0.00610775,0.00610318,0.0202586
1199.24,1020.76,GND,12V_FUSED,0.00610318,0.00617635,-0.0448526
1199.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00617635,0.00617353,0.0125257
1199.24,1067.02,TOP_LAYER,GND,0.00611852,0.00611485,0.0162802
1199.24,1067.02,GND,12V_FUSED,0.00611485,0.00616979,-0.0336738
1199.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00616979,0.00617062,-0.00367093
1199.24,1115.76,TOP_LAYER,GND,0.00611917,0.00611545,0.0165057
1199.24,1115.76,GND,12V_FUSED,0.00611545,0.00616832,-0.0324092
1199.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00616832,0.00616943,-0.0049186
1209.9,290.101,TOP_LAYER,GND,11.9864,11.9864,-0.04787
1209.9,290.101,GND,12V_FUSED,11.9864,11.9865,-0.04787
1209.9,290.101,12V_FUSED,BOTTOM_LAYER,11.9865,11.9865,0.033722
1259.9,190.101,TOP_LAYER,GND,11.9867,11.9867,-0.00792553
1259.9,190.101,GND,12V_FUSED,11.9867,11.9867,-0.00792553
1259.9,190.101,12V_FUSED,BOTTOM_LAYER,11.9867,11.9867,0.0588638
1259.9,390.101,TOP_LAYER,GND,11.9866,11.9866,-0.0680231
1259.9,390.101,GND,12V_FUSED,11.9866,11.9866,-0.0680231
1259.9,390.101,12V_FUSED,BOTTOM_LAYER,11.9866,11.9866,0.119241
1279.2,80.8022,TOP_LAYER,GND,11.9868,11.9868,0.114783
1279.2,80.8022,GND,12V_FUSED,11.9868,11.9867,0.114783
1279.2,80.8022,12V_FUSED,BOTTOM_LAYER,11.9867,11.9867,0.121525
1309.9,290.101,TOP_LAYER,GND,11.9869,11.9869,0.0792788
1309.9,290.101,GND,12V_FUSED,11.9869,11.9868,0.0792788
1309.9,290.101,12V_FUSED,BOTTOM_LAYER,11.9868,11.9868,0.105031
1359.9,190.101,TOP_LAYER,GND,11.987,11.987,0.018693
1359.9,190.101,GND,12V_FUSED,11.987,11.987,0.018693
1359.9,190.101,12V_FUSED,BOTTOM_LAYER,11.987,11.987,-0.109471
1359.9,390.101,TOP_LAYER,GND,11.987,11.987,-0.00724542
1359.9,390.101,GND,12V_FUSED,11.987,11.987,-0.00724542
1359.9,390.101,12V_FUSED,BOTTOM_LAYER,11.987,11.987,-0.0674196
1409.9,290.101,TOP_LAYER,GND,11.9872,11.9872,-0.0366105
1409.9,290.101,GND,12V_FUSED,11.9872,11.9872,-0.0366105
1409.9,290.101,12V_FUSED,BOTTOM_LAYER,11.9872,11.9872,0.0560669
1459.9,190.101,TOP_LAYER,GND,11.9873,11.9873,-0.0292915
1459.9,190.101,GND,12V_FUSED,11.9873,11.9873,-0.0292915
1459.9,190.101,12V_FUSED,BOTTOM_LAYER,11.9873,11.9873,0.054136
1459.9,390.101,TOP_LAYER,GND,11.9873,11.9873,-0.0523906
1459.9,390.101,GND,12V_FUSED,11.9873,11.9873,-0.0523906
1459.9,390.101,12V_FUSED,BOTTOM_LAYER,11.9873,11.9873,0.109745
1509.9,90.1005,TOP_LAYER,GND,11.9875,11.9875,-0.00971746
1509.9,90.1005,GND,12V_FUSED,11.9875,11.9875,-0.00971746
1509.9,90.1005,12V_FUSED,BOTTOM_LAYER,11.9875,11.9875,-0.0695049
1509.9,290.101,TOP_LAYER,GND,11.9876,11.9876,0.032206
1509.9,290.101,GND,12V_FUSED,11.9876,11.9875,0.032206
1509.9,290.101,12V_FUSED,BOTTOM_LAYER,11.9875,11.9876,-0.109496
1559.9,190.101,TOP_LAYER,GND,11.9877,11.9877,-0.022089
1559.9,190.101,GND,12V_FUSED,11.9877,11.9877,-0.022089
1559.9,190.101,12V_FUSED,BOTTOM_LAYER,11.9877,11.9877,0.0331552
1559.9,390.101,TOP_LAYER,GND,11.9877,11.9877,-0.0293472
1559.9,390.101,GND,12V_FUSED,11.9877,11.9878,-0.0293472
1559.9,390.101,12V_FUSED,BOTTOM_LAYER,11.9878,11.9878,0.078098
1594.24,85.7574,TOP_LAYER,GND,0.00487635,0.00487635,3.84046e-15
1594.24,85.7574,GND,12V_FUSED,0.00487635,0.00487635,-2.12654e-15
1594.24,85.7574,12V_FUSED,BOTTOM_LAYER,0.00487635,0.00487635,-0
1609.9,290.101,TOP_LAYER,GND,11.9878,11.9878,-0.00114901
1609.9,290.101,GND,12V_FUSED,11.9878,11.9878,-0.00114901
1609.9,290.101,12V_FUSED,BOTTOM_LAYER,11.9878,11.9878,0.0590562
