x,y,layer1,layer2,voltage1,voltage2,current
243.443,453.683,TOP_LAYER,GND,11.9823,11.9823,0.211641
243.443,453.683,GND,12V_FUSED,11.9823,11.9822,0.211641
243.443,453.683,12V_FUSED,BOTTOM_LAYER,11.9822,11.9822,0.137369
243.443,847.383,TOP_LAYER,GND,0.0145057,0.0141836,6.49532
243.443,847.383,GND,12V_FUSED,0.0141836,0.0132198,2.69069
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.0132198,0.0131354,1.70197
545.899,625.101,TOP_LAYER,GND,0.00952689,0.00955459,-0.296356
545.899,625.101,GND,12V_FUSED,0.00955459,0.00955459,2.3119e-14
545.899,625.101,12V_FUSED,BOTTOM_LAYER,0.00955459,0.00955459,1.85566e-14
546.899,169.101,TOP_LAYER,GND,0.00694815,0.00696887,-0.221606
546.899,169.101,GND,12V_FUSED,0.00696887,0.00696887,1.66971e-14
546.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00696887,0.00696887,1.85566e-14
579.899,229.101,TOP_LAYER,GND,0.00693778,0.00695213,-0.153446
579.899,229.101,GND,12V_FUSED,0.00695213,0.00695213,1.66971e-14
579.899,229.101,12V_FUSED,BOTTOM_LAYER,0.00695213,0.00695213,1.85566e-14
609.198,735.802,TOP_LAYER,GND,11.9818,11.9818,-0.211641
609.198,735.802,GND,12V_FUSED,11.9818,11.9819,-0.211641
609.198,735.802,12V_FUSED,BOTTOM_LAYER,11.9819,11.9819,-0.137369
605.899,624.101,TOP_LAYER,GND,0.00941345,0.00938574,0.296356
605.899,624.101,GND,12V_FUSED,0.00938574,0.00938574,2.3119e-14
605.899,624.101,12V_FUSED,BOTTOM_LAYER,0.00938574,0.00938574,1.85566e-14
610.899,169.101,TOP_LAYER,GND,0.00681413,0.00677907,0.375052
610.899,169.101,GND,12V_FUSED,0.00677907,0.00677907,1.66971e-14
610.899,169.101,12V_FUSED,BOTTOM_LAYER,0.00677907,0.00677907,1.85566e-14
734.243,1075.76,TOP_LAYER,GND,0.0106973,0.0106553,0.185657
734.243,1075.76,GND,12V_FUSED,0.0106553,0.010793,-0.084349
734.243,1075.76,12V_FUSED,BOTTOM_LAYER,0.010793,0.0108192,-0.116174
734.243,1108.26,TOP_LAYER,GND,0.0107643,0.0107265,0.167031
734.243,1108.26,GND,12V_FUSED,0.0107265,0.0108063,-0.0488922
734.243,1108.26,12V_FUSED,BOTTOM_LAYER,0.0108063,0.0108211,-0.0656603
734.243,1140.76,TOP_LAYER,GND,0.0108187,0.0107843,0.151989
734.243,1140.76,GND,12V_FUSED,0.0107843,0.010814,-0.0181886
734.243,1140.76,12V_FUSED,BOTTOM_LAYER,0.010814,0.0108214,-0.032841
922.899,50.1005,TOP_LAYER,GND,0.00117845,0.00125562,-0.825505
922.899,50.1005,GND,12V_FUSED,0.00125562,0.00125562,3.21098e-15
922.899,50.1005,12V_FUSED,BOTTOM_LAYER,0.00125562,0.00125562,2.31957e-15
927.899,139.101,TOP_LAYER,GND,0.00143377,0.00155617,-1.30937
927.899,139.101,GND,12V_FUSED,0.00155617,0.00155617,4.17427e-15
927.899,139.101,12V_FUSED,BOTTOM_LAYER,0.00155617,0.00155617,2.31957e-15
