x,y,layer1,layer2,voltage1,voltage2,current
243.443,256.832,TOP_LAYER,GND,11.9774,11.9774,-4.24028
243.443,256.832,GND,12V_FUSED,11.9774,11.9779,-4.24028
243.443,256.832,12V_FUSED,BOTTOM_LAYER,11.9779,11.978,-2.18307
243.443,847.383,TOP_LAYER,GND,0.00834258,0.00820349,6.71169
243.443,847.383,GND,12V_FUSED,0.00820349,0.00791842,2.50826
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.00791842,0.00789368,1.19372
499.243,325.757,TOP_LAYER,GND,0.00464507,0.00464507,-9.18967e-15
499.243,325.757,GND,12V_FUSED,0.00464507,0.00464507,1.00539e-14
499.243,325.757,12V_FUSED,BOTTOM_LAYER,0.00464507,0.00464507,-0
569.899,170.101,TOP_LAYER,GND,0.00417497,0.00418031,-0.136639
569.899,170.101,GND,12V_FUSED,0.00418031,0.00418031,4.04825e-15
569.899,170.101,12V_FUSED,BOTTOM_LAYER,0.00418031,0.00418031,-0
569.899,620.101,TOP_LAYER,GND,0.00551698,0.00552094,-0.101211
569.899,620.101,GND,12V_FUSED,0.00552094,0.00552094,8.09649e-15
569.899,620.101,12V_FUSED,BOTTOM_LAYER,0.00552094,0.00552094,-2.22016e-14
609.899,230.101,TOP_LAYER,GND,0.00413721,0.00414348,-0.160513
609.899,230.101,GND,12V_FUSED,0.00414348,0.00414348,4.04825e-15
609.899,230.101,12V_FUSED,BOTTOM_LAYER,0.00414348,0.00414348,-0
639.899,170.101,TOP_LAYER,GND,0.00400588,0.00399427,0.297152
639.899,170.101,GND,12V_FUSED,0.00399427,0.00399427,4.04825e-15
639.899,170.101,12V_FUSED,BOTTOM_LAYER,0.00399427,0.00399427,-0
659.899,620.101,TOP_LAYER,GND,0.00542791,0.00542395,0.101211
659.899,620.101,GND,12V_FUSED,0.00542395,0.00545572,-0.148267
659.899,620.101,12V_FUSED,BOTTOM_LAYER,0.00545572,0.00546151,-0.148267
744.198,80.8022,TOP_LAYER,GND,11.9839,11.9838,4.24028
744.198,80.8022,GND,12V_FUSED,11.9838,11.9832,4.24028
744.198,80.8022,12V_FUSED,BOTTOM_LAYER,11.9832,11.9831,2.18307
734.243,1075.76,TOP_LAYER,GND,0.00618797,0.00617809,0.104688
734.243,1075.76,GND,12V_FUSED,0.00617809,0.00625438,-0.147381
734.243,1075.76,12V_FUSED,BOTTOM_LAYER,0.00625438,0.00626462,-0.10853
734.243,1108.26,TOP_LAYER,GND,0.00621836,0.00620905,0.0985514
734.243,1108.26,GND,12V_FUSED,0.00620905,0.00625809,-0.0947288
734.243,1108.26,12V_FUSED,BOTTOM_LAYER,0.00625809,0.00626432,-0.0660559
734.243,1140.76,TOP_LAYER,GND,0.00623929,0.00623126,0.0850708
734.243,1140.76,GND,12V_FUSED,0.00623126,0.00625905,-0.0536779
734.243,1140.76,12V_FUSED,BOTTOM_LAYER,0.00625905,0.00626266,-0.038304
908.899,645.101,TOP_LAYER,GND,0.0051912,0.00519566,-0.114273
908.899,645.101,GND,12V_FUSED,0.00519566,0.00526737,-0.334674
908.899,645.101,12V_FUSED,BOTTOM_LAYER,0.00526737,0.00526094,0.164546
914.198,80.8022,TOP_LAYER,GND,0,0.000189211,-7
914.198,80.8022,GND,12V_FUSED,0.000189211,0.000189211,1.46276e-15
914.198,80.8022,12V_FUSED,BOTTOM_LAYER,0.000189211,0.000189211,1.00277e-15
959.899,180.101,TOP_LAYER,GND,0.00245315,0.00243884,0.366277
959.899,180.101,GND,12V_FUSED,0.00243884,0.00243884,2.02412e-15
959.899,180.101,12V_FUSED,BOTTOM_LAYER,0.00243884,0.00243884,-0
979.899,575.101,TOP_LAYER,GND,0.00511316,0.00510592,0.185422
979.899,575.101,GND,12V_FUSED,0.00510592,0.00513612,-0.140953
979.899,575.101,12V_FUSED,BOTTOM_LAYER,0.00513612,0.00514163,-0.140953
1012.9,644.101,TOP_LAYER,GND,0.00516423,0.00516701,-0.0711494
1012.9,644.101,GND,12V_FUSED,0.00516701,0.00525414,-0.406683
1012.9,644.101,12V_FUSED,BOTTOM_LAYER,0.00525414,0.00524957,0.116959
1019.9,220.101,TOP_LAYER,GND,0.00269195,0.00270626,-0.366277
1019.9,220.101,GND,12V_FUSED,0.00270626,0.00270626,2.02412e-15
1019.9,220.101,12V_FUSED,BOTTOM_LAYER,0.00270626,0.00270626,-0
1024.24,505.757,TOP_LAYER,GND,0.00467928,0.00467928,-9.18967e-15
1024.24,505.757,GND,12V_FUSED,0.00467928,0.00475203,-0.140552
1024.24,505.757,12V_FUSED,BOTTOM_LAYER,0.00475203,0.0047653,-0.140552
1059.24,1020.76,TOP_LAYER,GND,0.00562809,0.00563067,-0.0274048
1059.24,1020.76,GND,12V_FUSED,0.00563067,0.00568546,-0.105843
1059.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00568546,0.00569726,-0.124986
1059.24,1067.02,TOP_LAYER,GND,0.00564714,0.00565101,-0.0410582
1059.24,1067.02,GND,12V_FUSED,0.00565101,0.00569811,-0.0909896
1059.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00569811,0.00570389,-0.0612255
1059.24,1115.76,TOP_LAYER,GND,0.00565618,0.00566014,-0.0419939
1059.24,1115.76,GND,12V_FUSED,0.00566014,0.00570376,-0.0842601
1059.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00570376,0.00570953,-0.061163
1129.24,950.757,TOP_LAYER,GND,0.00551574,0.00551323,0.0266199
1129.24,950.757,GND,12V_FUSED,0.00551323,0.00560763,-0.182382
1129.24,950.757,12V_FUSED,BOTTOM_LAYER,0.00560763,0.00562335,-0.166479
1199.24,1020.76,TOP_LAYER,GND,0.00551055,0.00550725,0.0349851
1199.24,1020.76,GND,12V_FUSED,0.00550725,0.00557361,-0.128209
1199.24,1020.76,12V_FUSED,BOTTOM_LAYER,0.00557361,0.00558077,-0.075799
1199.24,1067.02,TOP_LAYER,GND,0.00553058,0.00552807,0.0266506
1199.24,1067.02,GND,12V_FUSED,0.00552807,0.00557795,-0.0963725
1199.24,1067.02,12V_FUSED,BOTTOM_LAYER,0.00557795,0.00558186,-0.041411
1199.24,1115.76,TOP_LAYER,GND,0.00553431,0.00553222,0.0222013
1199.24,1115.76,GND,12V_FUSED,0.00553222,0.00558019,-0.0926852
1199.24,1115.76,12V_FUSED,BOTTOM_LAYER,0.00558019,0.00558405,-0.0409017
1594.24,85.7574,TOP_LAYER,GND,0.00451836,0.00451836,-0
1594.24,85.7574,GND,12V_FUSED,0.00451836,0.00451836,1.00539e-14
1594.24,85.7574,12V_FUSED,BOTTOM_LAYER,0.00451836,0.00451836,-0
2046.25,1008.76,TOP_LAYER,GND,0.00508855,0.00508855,1.83793e-14
2046.25,1008.76,GND,12V_FUSED,0.00508855,0.00515817,-0.134492
2046.25,1008.76,12V_FUSED,BOTTOM_LAYER,0.00515817,0.00517086,-0.134492
2047.23,873.757,TOP_LAYER,GND,0.00503774,0.00503774,9.18967e-15
2047.23,873.757,GND,12V_FUSED,0.00503774,0.00503774,-0
2047.23,873.757,12V_FUSED,BOTTOM_LAYER,0.00503774,0.00503774,-0
2139.24,104.261,TOP_LAYER,GND,0.00488478,0.00488478,9.18967e-15
2139.24,104.261,GND,12V_FUSED,0.00488478,0.00488478,1.00539e-14
2139.24,104.261,12V_FUSED,BOTTOM_LAYER,0.00488478,0.00488478,-0
2254.24,220.757,TOP_LAYER,GND,0.00494608,0.00494533,0.0078618
2254.24,220.757,GND,12V_FUSED,0.00494533,0.00495777,-0.024017
2254.24,220.757,12V_FUSED,BOTTOM_LAYER,0.00495777,0.00496003,-0.024017
2329.24,370.757,TOP_LAYER,GND,0.0049724,0.00497243,-0.00033595
2329.24,370.757,GND,12V_FUSED,0.00497243,0.00497839,-0.0115005
2329.24,370.757,12V_FUSED,BOTTOM_LAYER,0.00497839,0.00497947,-0.0115005
2344.24,582.675,TOP_LAYER,GND,0.0049949,0.00499509,-0.00197901
2344.24,582.675,GND,12V_FUSED,0.00499509,0.00499783,-0.00530096
2344.24,582.675,12V_FUSED,BOTTOM_LAYER,0.00499783,0.00499833,-0.00530096
2366.74,1045.76,TOP_LAYER,GND,0.00503743,0.0050386,-0.0124291
2366.74,1045.76,GND,12V_FUSED,0.0050386,0.00505016,-0.0223404
2366.74,1045.76,12V_FUSED,BOTTOM_LAYER,0.00505016,0.00505227,-0.0223404
2404.24,70.7574,TOP_LAYER,GND,0.0049698,0.00496939,0.00441492
