x,y,layer1,layer2,voltage1,voltage2,current
243.443,256.832,TOP_LAYER,GND,0.00838436,0.0083892,-0.233373
243.443,256.832,GND,12V_FUSED,0.0083892,0.00841572,-0.233373
243.443,256.832,12V_FUSED,BOTTOM_LAYER,0.00841572,0.0084182,-0.119558
243.443,453.683,TOP_LAYER,GND,11.9822,11.9822,0.273818
243.443,453.683,GND,12V_FUSED,11.9822,11.9821,0.273818
243.443,453.683,12V_FUSED,BOTTOM_LAYER,11.9821,11.9821,0.134996
243.443,847.383,TOP_LAYER,GND,0.775716,0.775716,-0.0100563
243.443,847.383,GND,12V_FUSED,0.775716,0.775703,0.120634
243.443,847.383,12V_FUSED,BOTTOM_LAYER,0.775703,0.775701,0.0618563
408.374,394.626,TOP_LAYER,GND,12.7564,12.7564,-0.150721
408.374,394.626,GND,12V_FUSED,12.7564,12.7564,-0.150721
408.374,394.626,12V_FUSED,BOTTOM_LAYER,12.7564,12.7564,-0.0540883
437.374,201.626,TOP_LAYER,GND,12.7564,12.7564,-0.129165
437.374,201.626,GND,12V_FUSED,12.7564,12.7565,-0.129165
437.374,201.626,12V_FUSED,BOTTOM_LAYER,12.7565,12.7565,-0.0622025
471.374,329.626,TOP_LAYER,GND,12.7564,12.7564,-0.305442
471.374,329.626,GND,12V_FUSED,12.7564,12.7565,-0.305442
471.374,329.626,12V_FUSED,BOTTOM_LAYER,12.7565,12.7565,-0.131608
524.374,489.626,TOP_LAYER,GND,12.7563,12.7563,-0.367623
524.374,489.626,GND,12V_FUSED,12.7563,12.7564,-0.367623
524.374,489.626,12V_FUSED,BOTTOM_LAYER,12.7564,12.7564,-0.273891
545.899,625.101,TOP_LAYER,GND,0.776138,0.776115,0.602167
545.899,625.101,GND,12V_FUSED,0.776115,0.776115,1.03635e-12
545.899,625.101,12V_FUSED,BOTTOM_LAYER,0.776115,0.776115,-0
546.899,169.101,TOP_LAYER,GND,0.775651,0.775643,0.199139
546.899,169.101,GND,12V_FUSED,0.775643,0.775643,1.03635e-12
546.899,169.101,12V_FUSED,BOTTOM_LAYER,0.775643,0.775643,-0
579.899,229.101,TOP_LAYER,GND,0.775673,0.775653,0.507892
579.899,229.101,GND,12V_FUSED,0.775653,0.775653,1.03635e-12
