refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.993,3.5,0
VCOMP0,VCOMP0-1,11.993,3.5,0
VCOMP0,VCOMP0-2,0,-3.5,0
VCOMP0,VCOMP0-3,0,-3.5,0
VCOMP2,VCOMP2-0,12.7651,7,0
VCOMP2,VCOMP2-1,0.772057,-7,0
VCOMP1,VCOMP1-0,11.9818,-7.00001,0.0142857
VCOMP1,VCOMP1-1,0.0087401,7.00001,0.0142857
VCOMP3,VCOMP3-0,12.7552,-2.32894,0.0489796
VCOMP3,VCOMP3-1,12.7552,-2.32836,0.0489796
VCOMP3,VCOMP3-2,12.7559,-2.3427,0.0489796
VCOMP3,VCOMP3-3,0.777439,1.72737,0.0489796
VCOMP3,VCOMP3-4,0.777499,1.72614,0.0489796
VCOMP3,VCOMP3-5,0.77652,1.74612,0.0489796
VCOMP3,VCOMP3-6,0.773864,1.80037,0.0489796
