refdes;pin;voltage;current
J1;2;23.9951;4.93645
J1;1;0.0;-4.93645
U1;A';4.9582;4.02143
U1;C';4.95846;3.97857
U1;E;0.00574369;-1.31932
U1;B';0.00644822;-1.4541399999999998
U1;D';0.00680761;-1.52291
U2;8;16.996;1.65
U2;9;0.00606337;-0.253425
U2;7;0.00577342;-0.1637559999999999
J9;1;4.83654;-8.0
J2;2;0.0171341;8.0
J5;1;16.9671;-1.65
J5;2;0.014211;1.65
U1;A;23.8669;-3.70363
U2;2;23.8698;-1.23282
Q1;2;23.9708;-4.93645
Q1;3;23.915;4.93645
F1;1;23.8995;-4.93645
F1;2;23.8745;4.93645
L1;1;23.8711;-3.70363
L1;2;23.8706;3.70363
L2;1;4.95165;-8.0
L2;2;4.84764;8.0
L3;1;16.9917;-1.65
L3;2;16.9702;1.65
