x;y;layer1;layer2;voltage1;voltage2;current
81.8731;3300.73;TOP_LAYER;INT1__GND_;23.8995;23.8995;-1.14081e-10
81.8731;3300.73;INT1__GND_;INT2__PWR_;23.8995;23.8995;-7.40604e-11
81.8731;3300.73;INT2__PWR_;BOTTOM_LAYER;23.8995;23.8995;-1.14284e-10
163.198;2094.8;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.0019243
163.198;2094.8;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.0019243
163.198;2094.8;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.00201475
209.899;2363.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.00200005
209.899;2363.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.00200005
209.899;2363.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.00202976
269.443;3645.13;TOP_LAYER;INT1__GND_;23.9951;23.9951;-9.41206e-11
269.443;3645.13;INT1__GND_;INT2__PWR_;23.9951;23.9951;-6.11025e-11
269.443;3645.13;INT2__PWR_;BOTTOM_LAYER;23.9951;23.9951;1.71434e-11
269.443;3841.98;TOP_LAYER;INT1__GND_;0;0.000186333;-4.93645
269.443;3841.98;INT1__GND_;INT2__PWR_;0.000186333;0.000186333;-0
269.443;3841.98;INT2__PWR_;BOTTOM_LAYER;0.000186333;0.000186333;2.61588e-16
309.899;763.101;TOP_LAYER;INT1__GND_;0.00563248;0.00563007;0.0338095
309.899;763.101;INT1__GND_;INT2__PWR_;0.00563007;0.00563681;-0.0614696
309.899;763.101;INT2__PWR_;BOTTOM_LAYER;0.00563681;0.0056483;-0.0294261
309.899;2863.1;TOP_LAYER;INT1__GND_;23.8736;23.8736;0.0013438
309.899;2863.1;INT1__GND_;INT2__PWR_;23.8736;23.8736;0.0013438
309.899;2863.1;INT2__PWR_;BOTTOM_LAYER;23.8736;23.8736;0.00756479
359.899;2063.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.00292982
359.899;2063.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.00292982
359.899;2063.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.00272429
484.899;413.101;TOP_LAYER;INT1__GND_;0.00565959;0.00565918;0.00577004
484.899;413.101;INT1__GND_;INT2__PWR_;0.00565918;0.00566156;-0.0216886
484.899;413.101;INT2__PWR_;BOTTOM_LAYER;0.00566156;0.00566695;-0.0138013
505.198;1110.8;TOP_LAYER;INT1__GND_;0.00560255;0.00559864;0.0793925
505.198;1110.8;INT1__GND_;INT2__PWR_;0.00559864;0.00560925;-0.139853
505.198;1110.8;INT2__PWR_;BOTTOM_LAYER;0.00560925;0.00562693;-0.0654287
509.899;2363.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.00369125
509.899;2363.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.00369125
509.899;2363.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.0034959
544.105;3915.89;TOP_LAYER;INT1__GND_;0.00257822;0.00257822;6.54105e-15
544.105;3915.89;INT1__GND_;INT2__PWR_;0.00257822;0.00257822;-4.2464e-15
544.105;3915.89;INT2__PWR_;BOTTOM_LAYER;0.00257822;0.00257822;-3.57421e-15
659.899;763.101;TOP_LAYER;INT1__GND_;0.00564863;0.00564745;0.0166134
659.899;763.101;INT1__GND_;INT2__PWR_;0.00564745;0.00565182;-0.0398663
659.899;763.101;INT2__PWR_;BOTTOM_LAYER;0.00565182;0.00566042;-0.0220071
659.899;2063.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.00636085
659.899;2063.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.00636085
659.899;2063.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.0055383
659.899;2863.1;TOP_LAYER;INT1__GND_;23.8736;23.8736;0.00446101
659.899;2863.1;INT1__GND_;INT2__PWR_;23.8736;23.8736;0.00446101
659.899;2863.1;INT2__PWR_;BOTTOM_LAYER;23.8736;23.8736;0.0108401
809.899;2363.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.00879624
809.899;2363.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.00879624
809.899;2363.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.00759508
834.899;413.101;TOP_LAYER;INT1__GND_;0.00567901;0.00567871;0.00433689
834.899;413.101;INT1__GND_;INT2__PWR_;0.00567871;0.00568058;-0.0170979
834.899;413.101;INT2__PWR_;BOTTOM_LAYER;0.00568058;0.00568487;-0.0109915
834.899;1113.1;TOP_LAYER;INT1__GND_;0.00562905;0.00562365;0.0759626
834.899;1113.1;INT1__GND_;INT2__PWR_;0.00562365;0.00563647;-0.117019
834.899;1113.1;INT2__PWR_;BOTTOM_LAYER;0.00563647;0.00565586;-0.0496114
959.899;2063.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.0146839
959.899;2063.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.0146839
959.899;2063.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.0117154
1009.9;763.101;TOP_LAYER;INT1__GND_;0.00567456;0.00567378;0.0108691
1009.9;763.101;INT1__GND_;INT2__PWR_;0.00567378;0.00567714;-0.0306582
