refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,23.9951,4.93645,0
VCOMP0,VCOMP0-1,0,-4.93645,0
VCOMP3,VCOMP3-0,4.9582,4.02143,0.006
VCOMP3,VCOMP3-1,4.95846,3.97857,0.006
VCOMP3,VCOMP3-2,0.00574369,-2.56842,0.006
VCOMP3,VCOMP3-3,0.00644822,-2.68584,0.006
VCOMP3,VCOMP3-4,0.00680761,-2.74574,0.006
VCOMP5,VCOMP5-0,16.996,1.65,0.00333333
VCOMP5,VCOMP5-1,0.00606337,-0.868495,0.00333333
VCOMP5,VCOMP5-2,0.00577342,-0.781507,0.00333333
VCOMP1,VCOMP1-0,4.83654,-8,0.0125
VCOMP1,VCOMP1-1,0.0171341,8,0.0125
VCOMP2,VCOMP2-0,16.9671,-1.65,0.0606061
VCOMP2,VCOMP2-1,0.014211,1.65,0.0606061
VCOMP4,VCOMP4-0,23.8669,-3.70363,0.0405008
VCOMP4,VCOMP4-1,0.00574369,1.2491,0.0405008
VCOMP4,VCOMP4-2,0.00644822,1.2317,0.0405008
VCOMP4,VCOMP4-3,0.00680761,1.22283,0.0405008
VCOMP6,VCOMP6-0,23.8698,-1.23282,0.108153
VCOMP6,VCOMP6-1,0.00606337,0.61507,0.108153
VCOMP6,VCOMP6-2,0.00577342,0.617751,0.108153
VCOMP7,VCOMP7-0,23.9708,-4.93645,0.00565
VCOMP7,VCOMP7-1,23.915,4.93645,0.00565
VCOMP8,VCOMP8-0,23.8995,-4.93645,0.002525
VCOMP8,VCOMP8-1,23.8745,4.93645,0.002525
VCOMP9,VCOMP9-0,23.8711,-3.70363,7.8e-05
VCOMP9,VCOMP9-1,23.8706,3.70363,7.8e-05
VCOMP10,VCOMP10-0,4.95165,-8,0.0065
VCOMP10,VCOMP10-1,4.84764,8,0.0065
VCOMP11,VCOMP11-0,16.9917,-1.65,0.0065
VCOMP11,VCOMP11-1,16.9702,1.65,0.0065
