refdes,pin,voltage,current
J1,2,23.995,4.96524
J1,1,0.0,-4.96524
U1,A',4.95824,4.02143
U1,C',4.9585,3.97857
U1,E,0.00578096,-1.3115599999999998
U1,B',0.00648978,-1.4472900000000002
U1,D',0.00684745,-1.5158
U2,8,16.9961,1.65
U2,9,0.00610011,-0.24914499999999995
U2,7,0.00581501,-0.16096100000000002
J9,1,4.83658,-8.0
J2,2,0.017172,8.0
J5,1,16.9672,-1.65
J5,2,0.0142489,1.65
U1,A,23.8664,-3.72535
U2,2,23.8692,-1.23989
Q1,2,23.9708,-4.96524
Q1,3,23.9147,4.96524
F1,1,23.8991,-4.96524
F1,2,23.874,4.96524
L1,1,23.8706,-3.72535
L1,2,23.87,3.72535
L2,1,4.95169,-8.0
L2,2,4.84768,8.0
L3,1,16.9917,-1.65
L3,2,16.9703,1.65
