x,y,layer1,layer2,voltage1,voltage2,current
81.8731,3300.73,TOP_LAYER,INT1__GND_,23.8991,23.8991,-1.14081e-10
81.8731,3300.73,INT1__GND_,INT2__PWR_,23.8991,23.8991,-1.11091e-10
81.8731,3300.73,INT2__PWR_,BOTTOM_LAYER,23.8991,23.8991,-1.03895e-10
163.198,2094.8,TOP_LAYER,INT1__GND_,23.8686,23.8686,0.00193558
163.198,2094.8,INT1__GND_,INT2__PWR_,23.8686,23.8686,0.00193558
163.198,2094.8,INT2__PWR_,BOTTOM_LAYER,23.8686,23.8686,0.00202656
209.899,2363.1,TOP_LAYER,INT1__GND_,23.8686,23.8686,0.00201177
209.899,2363.1,INT1__GND_,INT2__PWR_,23.8686,23.8686,0.00201177
209.899,2363.1,INT2__PWR_,BOTTOM_LAYER,23.8686,23.8686,0.00204166
269.443,3645.13,TOP_LAYER,INT1__GND_,23.995,23.995,-9.41206e-11
269.443,3645.13,INT1__GND_,INT2__PWR_,23.995,23.995,-6.11025e-11
269.443,3645.13,INT2__PWR_,BOTTOM_LAYER,23.995,23.995,1.71434e-11
269.443,3841.98,TOP_LAYER,INT1__GND_,0,0.00018742,-4.96524
269.443,3841.98,INT1__GND_,INT2__PWR_,0.00018742,0.00018742,-0
269.443,3841.98,INT2__PWR_,BOTTOM_LAYER,0.00018742,0.00018742,-0
309.899,763.101,TOP_LAYER,INT1__GND_,0.00566573,0.00566331,0.0340145
309.899,763.101,INT1__GND_,INT2__PWR_,0.00566331,0.00567009,-0.0618428
309.899,763.101,INT2__PWR_,BOTTOM_LAYER,0.00567009,0.00568165,-0.0296051
309.899,2863.1,TOP_LAYER,INT1__GND_,23.8731,23.8731,0.0013515
309.899,2863.1,INT1__GND_,INT2__PWR_,23.8731,23.8731,0.0013515
309.899,2863.1,INT2__PWR_,BOTTOM_LAYER,23.8731,23.8731,0.00760876
359.899,2063.1,TOP_LAYER,INT1__GND_,23.8686,23.8686,0.002947
359.899,2063.1,INT1__GND_,INT2__PWR_,23.8686,23.8686,0.002947
359.899,2063.1,INT2__PWR_,BOTTOM_LAYER,23.8686,23.8686,0.00274026
484.899,413.101,TOP_LAYER,INT1__GND_,0.00569301,0.00569259,0.00580488
484.899,413.101,INT1__GND_,INT2__PWR_,0.00569259,0.00569498,-0.0218209
484.899,413.101,INT2__PWR_,BOTTOM_LAYER,0.00569498,0.00570041,-0.0138858
505.198,1110.8,TOP_LAYER,INT1__GND_,0.00563563,0.00563169,0.0798743
505.198,1110.8,INT1__GND_,INT2__PWR_,0.00563169,0.00564236,-0.140702
505.198,1110.8,INT2__PWR_,BOTTOM_LAYER,0.00564236,0.00566016,-0.0658263
509.899,2363.1,TOP_LAYER,INT1__GND_,23.8686,23.8686,0.00371289
509.899,2363.1,INT1__GND_,INT2__PWR_,23.8686,23.8686,0.00371289
509.899,2363.1,INT2__PWR_,BOTTOM_LAYER,23.8686,23.8686,0.0035164
544.105,3915.89,TOP_LAYER,INT1__GND_,0.00259324,0.00259324,6.54105e-15
544.105,3915.89,INT1__GND_,INT2__PWR_,0.00259324,0.00259324,-8.4928e-15
544.105,3915.89,INT2__PWR_,BOTTOM_LAYER,0.00259324,0.00259324,-3.57421e-15
659.899,763.101,TOP_LAYER,INT1__GND_,0.00568198,0.0056808,0.0167142
659.899,763.101,INT1__GND_,INT2__PWR_,0.0056808,0.00568519,-0.040109
659.899,763.101,INT2__PWR_,BOTTOM_LAYER,0.00568519,0.00569384,-0.0221414
659.899,2063.1,TOP_LAYER,INT1__GND_,23.8686,23.8686,0.00639814
659.899,2063.1,INT1__GND_,INT2__PWR_,23.8686,23.8686,0.00639814
659.899,2063.1,INT2__PWR_,BOTTOM_LAYER,23.8686,23.8686,0.00557076
659.899,2863.1,TOP_LAYER,INT1__GND_,23.8731,23.8731,0.00448678
659.899,2863.1,INT1__GND_,INT2__PWR_,23.8731,23.8731,0.00448678
