x;y;layer1;layer2;voltage1;voltage2;current
81.8731;3300.73;TOP_LAYER;INT1__GND_;24;24;-5.70403e-11
81.8731;3300.73;INT1__GND_;INT2__PWR_;24;24;-1.11091e-10
81.8731;3300.73;INT2__PWR_;BOTTOM_LAYER;24;24;-1.14284e-10
163.198;2094.8;TOP_LAYER;INT1__GND_;24;24;5.25328e-08
163.198;2094.8;INT1__GND_;INT2__PWR_;24;24;5.24676e-08
163.198;2094.8;INT2__PWR_;BOTTOM_LAYER;24;24;5.57679e-08
209.899;2363.1;TOP_LAYER;INT1__GND_;24;24;5.45199e-08
209.899;2363.1;INT1__GND_;INT2__PWR_;24;24;5.44846e-08
209.899;2363.1;INT2__PWR_;BOTTOM_LAYER;24;24;5.61995e-08
269.443;3645.13;TOP_LAYER;INT1__GND_;24;24;-9.41206e-11
269.443;3645.13;INT1__GND_;INT2__PWR_;24;24;-6.11025e-11
269.443;3645.13;INT2__PWR_;BOTTOM_LAYER;24;24;-0
269.443;3841.98;TOP_LAYER;INT1__GND_;0;7.54892e-09;-0.000199991
269.443;3841.98;INT1__GND_;INT2__PWR_;7.54892e-09;7.54892e-09;-0
269.443;3841.98;INT2__PWR_;BOTTOM_LAYER;7.54892e-09;7.54892e-09;7.98302e-21
309.899;763.101;TOP_LAYER;INT1__GND_;-6.77757e-05;-6.76835e-05;-0.00129546
309.899;763.101;INT1__GND_;INT2__PWR_;-6.76835e-05;-6.79506e-05;0.00243635
309.899;763.101;INT2__PWR_;BOTTOM_LAYER;-6.79506e-05;-6.84299e-05;0.00122682
309.899;2863.1;TOP_LAYER;INT1__GND_;24;24;1.1548e-07
309.899;2863.1;INT1__GND_;INT2__PWR_;24;24;1.15419e-07
309.899;2863.1;INT2__PWR_;BOTTOM_LAYER;24;24;3.65588e-07
359.899;2063.1;TOP_LAYER;INT1__GND_;24;24;7.94832e-08
359.899;2063.1;INT1__GND_;INT2__PWR_;24;24;7.94094e-08
359.899;2063.1;INT2__PWR_;BOTTOM_LAYER;24;24;7.51419e-08
