refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,24,0.000200004,0
VCOMP0,VCOMP0-1,0,-0.000200004,0
VCOMP3,VCOMP3-0,4.95142,4.02143,0.006
VCOMP3,VCOMP3-1,4.95168,3.97857,0.006
VCOMP3,VCOMP3-2,-0.00064239,-2.63413,0.006
VCOMP3,VCOMP3-3,-0.000678017,-2.62819,0.006
VCOMP3,VCOMP3-4,-2.10856e-05,-2.73768,0.006
VCOMP5,VCOMP5-0,16.9893,1.65,0.00333333
VCOMP5,VCOMP5-1,-0.000243426,-0.996136,0.00333333
VCOMP5,VCOMP5-2,-0.00138433,-0.653865,0.00333333
VCOMP1,VCOMP1-0,4.82976,-8,0.0125
VCOMP1,VCOMP1-1,0.0106374,8,0.0125
VCOMP2,VCOMP2-0,16.9604,-1.65,0.0606061
VCOMP2,VCOMP2-1,0.00772179,1.65,0.0606061
VCOMP4,VCOMP4-0,24,-0.0001,150000
VCOMP4,VCOMP4-1,-0.00064239,3.33346e-05,150000
VCOMP4,VCOMP4-2,-0.000678017,3.33349e-05,150000
VCOMP4,VCOMP4-3,-2.10856e-05,3.33305e-05,150000
VCOMP6,VCOMP6-0,24,-0.0001,133333
VCOMP6,VCOMP6-1,-0.000243426,4.99958e-05,133333
VCOMP6,VCOMP6-2,-0.00138433,5.00044e-05,133333
VCOMP7,VCOMP7-0,24,-0.000200004,0.00565
VCOMP7,VCOMP7-1,24,0.000200004,0.00565
VCOMP8,VCOMP8-0,24,-0.000200004,0.002525
VCOMP8,VCOMP8-1,24,0.000200004,0.002525
VCOMP9,VCOMP9-0,24,-0.000100033,7.8e-05
VCOMP9,VCOMP9-1,24,0.000100033,7.8e-05
VCOMP10,VCOMP10-0,4.94487,-8,0.0065
VCOMP10,VCOMP10-1,4.84086,8,0.0065
VCOMP11,VCOMP11-0,16.9849,-1.65,0.0065
VCOMP11,VCOMP11-1,16.9635,1.65,0.0065
