Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Css,MuRata,GRM155R71C822KA01D,1,0.01,3,Cap: 8.2 nF  Total Derated Cap: 8.2 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Rfbb,Vishay-Dale,CRCW040210K2FKED,1,0.01,3,Resistance: 10.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cout,Panasonic,25SVPF47M,2,0.44,73.96,Cap: 47 µF  Total Derated Cap: 94 µF  VDC: 25 V  ESR: 30 mΩ  Package: 6.3x6  
L1,TDK,VLP8040T-2R2N,1,0.22,113.42,L: 2.2 µH  DCR: 15 mΩ  IDC: 6.7 A  
Cboot,MuRata,GRM21BR71H224MA01L,1,0.07,6.75,Cap: 220 nF  Total Derated Cap: 150 nF  VDC: 50 V  ESR: 1 mΩ  Package: 0805  
Cin,MuRata,GRM31CR71H475KA12L,1,0.22,10.92,Cap: 4.7 µF  Total Derated Cap: 2.7 µF  VDC: 50 V  ESR: 3 mΩ  Package: 2220  
U1,Texas Instruments,LMR14050SDDAR,1,1.06,55.2,
Rt,Vishay-Dale,CRCW040213K7FKED,1,0.01,3,Resistance: 13.7 kΩ  Tolerance: 1.0%  Power: 63 mW  
D1,Diodes Inc.,B540C-13-F,1,0.17,83.27,Type: Schottky  VRRM: 40 V  Io: 5 A  
Rfbt,Vishay-Dale,CRCW0402221KFKED,1,0.01,3,Resistance: 221 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cff,MuRata,GRM155R71H471KA01D,1,0.01,3,Cap: 470 pF  Total Derated Cap: 440 pF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  
