x,y,layer1,layer2,voltage1,voltage2,current
158.485,3291.51,SIGNAL,GROUND_1,23.9932,23.9932,-0.215881
158.485,3291.51,GROUND_1,POWER,23.9932,23.9933,-0.215881
158.485,3291.51,POWER,GROUND_2,23.9933,23.9933,-7.76136e-11
158.485,3591.51,SIGNAL,GROUND_1,23.9939,23.9939,0.011471
158.485,3591.51,GROUND_1,POWER,23.9939,23.9939,0.011471
158.485,3591.51,POWER,GROUND_2,23.9939,23.9939,-7.76136e-11
215.126,3317.47,SIGNAL,GROUND_1,23.9926,23.9926,-1.92032
215.126,3317.47,GROUND_1,POWER,23.9926,23.993,-1.92032
215.126,3317.47,POWER,GROUND_2,23.993,23.993,-0
233.485,3441.51,SIGNAL,GROUND_1,23.9936,23.9936,-0.104201
233.485,3441.51,GROUND_1,POWER,23.9936,23.9936,-0.104201
233.485,3441.51,POWER,GROUND_2,23.9936,23.9936,7.76136e-11
258.485,2241.51,SIGNAL,GROUND_1,0.000392382,0.00040626,-0.303177
258.485,2241.51,GROUND_1,POWER,0.00040626,0.000434184,-0.111233
258.485,2241.51,POWER,GROUND_2,0.000434184,0.000439275,-0.111233
258.485,2741.51,SIGNAL,GROUND_1,0.000353345,0.000354232,-0.0193728
258.485,2741.51,GROUND_1,POWER,0.000354232,0.000354623,-0.00156027
258.485,2741.51,POWER,GROUND_2,0.000354623,0.000354695,-0.00156027
308.485,591.515,SIGNAL,GROUND_1,23.995,23.995,-0.0317285
308.485,591.515,GROUND_1,POWER,23.995,23.995,-0.0317285
308.485,591.515,POWER,GROUND_2,23.995,23.995,7.76136e-11
308.485,3291.51,SIGNAL,GROUND_1,23.9933,23.9933,-0.172821
308.485,3291.51,GROUND_1,POWER,23.9933,23.9934,-0.172821
308.485,3291.51,POWER,GROUND_2,23.9934,23.9934,-0
308.485,3591.51,SIGNAL,GROUND_1,23.9942,23.9942,0.0100246
308.485,3591.51,GROUND_1,POWER,23.9942,23.9942,0.0100246
308.485,3591.51,POWER,GROUND_2,23.9942,23.9942,7.76136e-11
324.198,495.802,SIGNAL,GROUND_1,23.9949,23.9949,-0.0287047
324.198,495.802,GROUND_1,POWER,23.9949,23.9949,-0.0287047
324.198,495.802,POWER,GROUND_2,23.9949,23.9949,-0
368.443,3643.13,SIGNAL,GROUND_1,23.995,23.9949,2.2607
368.443,3643.13,GROUND_1,POWER,23.9949,23.9947,2.2607
368.443,3643.13,POWER,GROUND_2,23.9947,23.9947,-1.71434e-10
368.443,3839.98,SIGNAL,GROUND_1,0,1.50067e-06,-0.0724141
368.443,3839.98,GROUND_1,POWER,1.50067e-06,4.12272e-06,-0.0230706
368.443,3839.98,POWER,GROUND_2,4.12272e-06,4.60082e-06,-0.0230706
383.485,441.515,SIGNAL,GROUND_1,23.9948,23.9948,-0.0206455
383.485,441.515,GROUND_1,POWER,23.9948,23.9948,-0.0206455
383.485,441.515,POWER,GROUND_2,23.9948,23.9948,-0
383.485,741.515,SIGNAL,GROUND_1,23.9951,23.9951,-0.00751538
383.485,741.515,GROUND_1,POWER,23.9951,23.9951,-0.00751538
383.485,741.515,POWER,GROUND_2,23.9951,23.9951,-0
383.485,1041.51,SIGNAL,GROUND_1,23.9954,23.9954,0.01728
383.485,1041.51,GROUND_1,POWER,23.9954,23.9954,0.01728
383.485,1041.51,POWER,GROUND_2,23.9954,23.9954,7.76136e-11
383.485,1341.51,SIGNAL,GROUND_1,23.9958,23.9958,0.151073
383.485,1341.51,GROUND_1,POWER,23.9958,23.9957,0.151073
383.485,1341.51,POWER,GROUND_2,23.9957,23.9957,-0
383.485,1641.51,SIGNAL,GROUND_1,23.9961,23.9961,0.330458
383.485,1641.51,GROUND_1,POWER,23.9961,23.996,0.330458
383.485,1641.51,POWER,GROUND_2,23.996,23.996,-7.76136e-11
383.485,1991.51,SIGNAL,GROUND_1,0.000348577,0.000392225,-0.953533
383.485,1991.51,GROUND_1,POWER,0.000392225,0.000469436,-0.307566
383.485,1991.51,POWER,GROUND_2,0.000469436,0.000483514,-0.307566
383.485,2491.51,SIGNAL,GROUND_1,0.000386873,0.000392568,-0.124428
383.485,2491.51,GROUND_1,POWER,0.000392568,0.000402121,-0.0380517
383.485,2491.51,POWER,GROUND_2,0.000402121,0.000403863,-0.0380517
383.485,2991.51,SIGNAL,GROUND_1,0.000313754,0.000310683,0.0670859
383.485,2991.51,GROUND_1,POWER,0.000310683,0.000299397,0.0449576
383.485,2991.51,POWER,GROUND_2,0.000299397,0.000297339,0.0449576
383.485,3441.51,SIGNAL,GROUND_1,23.9938,23.9938,-0.0359921
383.485,3441.51,GROUND_1,POWER,23.9938,23.9938,-0.0359921
383.485,3441.51,POWER,GROUND_2,23.9938,23.9938,-7.76136e-11
383.485,3991.51,SIGNAL,GROUND_1,-1.37509e-05,-1.13376e-05,-0.0527196
383.485,3991.51,GROUND_1,POWER,-1.13376e-05,-7.3299e-06,-0.0159647
383.485,3991.51,POWER,GROUND_2,-7.3299e-06,-6.59912e-06,-0.0159647
458.485,291.515,SIGNAL,GROUND_1,23.9947,23.9947,-0.0580827
458.485,291.515,GROUND_1,POWER,23.9947,23.9947,-0.0580827
458.485,291.515,POWER,GROUND_2,23.9947,23.9947,7.76136e-11
458.485,591.515,SIGNAL,GROUND_1,23.995,23.995,-0.0137883
458.485,591.515,GROUND_1,POWER,23.995,23.995,-0.0137883
458.485,591.515,POWER,GROUND_2,23.995,23.995,7.76136e-11
458.485,891.515,SIGNAL,GROUND_1,23.9953,23.9953,0.0019966
458.485,891.515,GROUND_1,POWER,23.9953,23.9953,0.0019966
458.485,891.515,POWER,GROUND_2,23.9953,23.9953,-0
458.485,3291.51,SIGNAL,GROUND_1,23.9937,23.9937,0.00953326
458.485,3291.51,GROUND_1,POWER,23.9937,23.9937,0.00953326
458.485,3291.51,POWER,GROUND_2,23.9937,23.9937,-7.76136e-11
458.485,3591.51,SIGNAL,GROUND_1,23.9941,23.9941,0.0579539
458.485,3591.51,GROUND_1,POWER,23.9941,23.9941,0.0579539
458.485,3591.51,POWER,GROUND_2,23.9941,23.9941,-0
508.485,2741.51,SIGNAL,GROUND_1,0.000361187,0.000362859,-0.0365222
508.485,2741.51,GROUND_1,POWER,0.000362859,0.000361794,0.00424159
508.485,2741.51,POWER,GROUND_2,0.000361794,0.0003616,0.00424159
533.485,441.515,SIGNAL,GROUND_1,23.9948,23.9948,-0.0513951
533.485,441.515,GROUND_1,POWER,23.9948,23.9948,-0.0513951
533.485,441.515,POWER,GROUND_2,23.9948,23.9948,-0
533.485,741.515,SIGNAL,GROUND_1,23.9951,23.9951,-0.00259463
533.485,741.515,GROUND_1,POWER,23.9951,23.9951,-0.00259463
533.485,741.515,POWER,GROUND_2,23.9951,23.9951,7.76136e-11
533.485,1041.51,SIGNAL,GROUND_1,23.9954,23.9954,-0.000520829
533.485,1041.51,GROUND_1,POWER,23.9954,23.9954,-0.000520829
533.485,1041.51,POWER,GROUND_2,23.9954,23.9954,-0
533.485,3441.51,SIGNAL,GROUND_1,23.9939,23.9939,-0.00119918
533.485,3441.51,GROUND_1,POWER,23.9939,23.9939,-0.00119918
533.485,3441.51,POWER,GROUND_2,23.9939,23.9939,-0
601.593,321.557,SIGNAL,GROUND_1,23.9944,23.9945,-0.807476
601.593,321.557,GROUND_1,POWER,23.9945,23.9946,-0.807476
601.593,321.557,POWER,GROUND_2,23.9946,23.9946,-0
608.485,591.515,SIGNAL,GROUND_1,23.9949,23.9949,-0.133322
608.485,591.515,GROUND_1,POWER,23.9949,23.9949,-0.133322
608.485,591.515,POWER,GROUND_2,23.9949,23.9949,-0
608.485,3291.51,SIGNAL,GROUND_1,23.9938,23.9938,0.00897099
608.485,3291.51,GROUND_1,POWER,23.9938,23.9938,0.00897099
608.485,3291.51,POWER,GROUND_2,23.9938,23.9938,-7.76136e-11
608.485,3591.51,SIGNAL,GROUND_1,23.994,23.994,0.04796
608.485,3591.51,GROUND_1,POWER,23.994,23.994,0.04796
608.485,3591.51,POWER,GROUND_2,23.994,23.994,7.76136e-11
633.485,2991.51,SIGNAL,GROUND_1,0.000311641,0.000308907,0.0597245
633.485,2991.51,GROUND_1,POWER,0.000308907,0.00028947,0.0774263
633.485,2991.51,POWER,GROUND_2,0.00028947,0.000285926,0.0774263
633.485,3991.51,SIGNAL,GROUND_1,-4.38791e-05,-4.12303e-05,-0.0578673
633.485,3991.51,GROUND_1,POWER,-4.12303e-05,-3.81736e-05,-0.0121761
633.485,3991.51,POWER,GROUND_2,-3.81736e-05,-3.76163e-05,-0.0121761
683.485,1641.51,SIGNAL,GROUND_1,23.9963,23.9963,0.654965
683.485,1641.51,GROUND_1,POWER,23.9963,23.9961,0.654965
683.485,1641.51,POWER,GROUND_2,23.9961,23.9961,-7.76136e-11
683.485,3441.51,SIGNAL,GROUND_1,23.9939,23.9939,-0.000151408
683.485,3441.51,GROUND_1,POWER,23.9939,23.9939,-0.000151408
683.485,3441.51,POWER,GROUND_2,23.9939,23.9939,7.76136e-11
694.243,2820.76,SIGNAL,GROUND_1,23.9959,23.9959,3.76409e-11
694.243,2820.76,GROUND_1,POWER,23.9959,23.9959,-0
694.243,2820.76,POWER,GROUND_2,23.9959,23.9959,3.76409e-11
758.485,3291.51,SIGNAL,GROUND_1,23.9939,23.9939,0.023564
758.485,3291.51,GROUND_1,POWER,23.9939,23.9938,0.023564
758.485,3291.51,POWER,GROUND_2,23.9938,23.9938,-7.76136e-11
778.485,2526.51,SIGNAL,GROUND_1,0.000457857,0.000459045,-0.0259601
778.485,2526.51,GROUND_1,POWER,0.000459045,0.000455107,0.0156876
778.485,2526.51,POWER,GROUND_2,0.000455107,0.000454389,0.0156876
778.485,2591.51,SIGNAL,GROUND_1,0.000445034,0.000444339,0.0151848
778.485,2591.51,GROUND_1,POWER,0.000444339,0.000439998,0.0172896
778.485,2591.51,POWER,GROUND_2,0.000439998,0.000439207,0.0172896
798.443,321.557,SIGNAL,GROUND_1,0.00185346,0.00182855,1.20233
798.443,321.557,GROUND_1,POWER,0.00182855,0.0017722,0.495748
798.443,321.557,POWER,GROUND_2,0.0017722,0.00176193,0.495748
833.485,3441.51,SIGNAL,GROUND_1,23.9939,23.9939,0.001375
833.485,3441.51,GROUND_1,POWER,23.9939,23.9939,0.001375
833.485,3441.51,POWER,GROUND_2,23.9939,23.9939,-7.76136e-11
853.485,2526.51,SIGNAL,GROUND_1,0.000473547,0.000474306,-0.0165906
853.485,2526.51,GROUND_1,POWER,0.000474306,0.000469127,0.0206304
853.485,2526.51,POWER,GROUND_2,0.000469127,0.000468183,0.0206304
853.485,2591.51,SIGNAL,GROUND_1,0.000459863,0.000458847,0.0221999
853.485,2591.51,GROUND_1,POWER,0.000458847,0.000452938,0.0235399
853.485,2591.51,POWER,GROUND_2,0.000452938,0.00045186,0.0235399
883.485,491.515,SIGNAL,GROUND_1,0.00163242,0.00162222,0.222767
