vrefdes,vpin,refdes,pin
VCOMP0,0,J1,2
VCOMP0,1,J1,1
VCOMP1,0,F1,1
VCOMP1,1,J1,1
VCOMP2,0,Q1,8
VCOMP2,1,C1,2
VCOMP3,0,Q2,1
VCOMP3,1,C6,2
VCOMP4,0,U3,2
VCOMP4,1,U3,7
VCOMP4,2,U3,9
VCOMP5,0,J2,1
VCOMP5,1,J2,2
VCOMP6,0,U4,A
VCOMP6,1,U4,E
VCOMP6,2,U4,B'
VCOMP6,3,U4,D'
VCOMP7,0,Q3,1
VCOMP7,1,C3,2
VCOMP8,0,J5,1
VCOMP8,1,J5,2
VCOMP9,0,L2,2
VCOMP9,1,C30,1
VCOMP10,0,U15,1
VCOMP10,1,U15,8
VCOMP10,2,U15,6
VCOMP10,3,U15,9
VCOMP11,0,L3,2
VCOMP11,1,C40,1
VCOMP12,0,U6,1
VCOMP12,1,U6,8
VCOMP12,2,U6,6
VCOMP12,3,U6,9
VCOMP13,0,U8,1
VCOMP13,1,U8,8
VCOMP13,2,U8,6
VCOMP13,3,U8,9
VCOMP14,0,U10,1
VCOMP14,1,U10,8
VCOMP14,2,U10,6
VCOMP14,3,U10,9
VCOMP15,0,U7,1
VCOMP15,1,U7,8
VCOMP15,2,U7,6
VCOMP15,3,U7,9
