refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,23.995,5,0
VCOMP0,VCOMP0-1,0,-5,0
VCOMP2,VCOMP2-0,23.9896,6.85,0
VCOMP2,VCOMP2-1,-0.003539,-6.85,0
VCOMP7,VCOMP7-0,23.9971,1.65,0
VCOMP7,VCOMP7-1,-0.00120476,-1.65,0
VCOMP9,VCOMP9-0,16.9981,1.65,0
VCOMP9,VCOMP9-1,-0.000265436,-1.65,0
VCOMP11,VCOMP11-0,4.99211,3.985,0
VCOMP11,VCOMP11-1,-0.00390612,-3.985,0
VCOMP1,VCOMP1-0,23.9926,-5,0.02
VCOMP1,VCOMP1-1,0,5,0.02
VCOMP3,VCOMP3-0,23.9841,-0.2,0.5
VCOMP3,VCOMP3-1,0.000872776,0.2,0.5
VCOMP4,VCOMP4-0,23.9821,-1.65,0.0808081
VCOMP4,VCOMP4-1,0.00195792,0.821269,0.0808081
VCOMP4,VCOMP4-2,0.00135495,0.828731,0.0808081
VCOMP5,VCOMP5-0,23.9766,-1,0.1
VCOMP5,VCOMP5-1,0.00238438,1,0.1
VCOMP6,VCOMP6-0,23.9838,-4,0.0375
VCOMP6,VCOMP6-1,0.00147481,1.33775,0.0375
VCOMP6,VCOMP6-2,0.00172236,1.33115,0.0375
VCOMP6,VCOMP6-3,0.00172459,1.33109,0.0375
VCOMP8,VCOMP8-0,23.9944,-1.65,0.0606061
VCOMP8,VCOMP8-1,0.00185346,1.65,0.0606061
VCOMP10,VCOMP10-0,16.9926,-0.825476,0.121212
VCOMP10,VCOMP10-1,16.9925,-0.824525,0.121212
VCOMP10,VCOMP10-2,0.00363563,0.817909,0.121212
VCOMP10,VCOMP10-3,0.00191635,0.832093,0.121212
VCOMP12,VCOMP12-0,4.98942,-0.493408,0.203046
VCOMP12,VCOMP12-1,4.98905,-0.49159,0.203046
VCOMP12,VCOMP12-2,0.00325023,0.489962,0.203046
VCOMP12,VCOMP12-3,0.00222001,0.495036,0.203046
VCOMP13,VCOMP13-0,4.98865,-0.500007,0.2
VCOMP13,VCOMP13-1,4.98865,-0.499993,0.2
VCOMP13,VCOMP13-2,0.00332029,0.497385,0.2
VCOMP13,VCOMP13-3,0.00227432,0.502615,0.2
VCOMP14,VCOMP14-0,4.98796,-0.499984,0.2
VCOMP14,VCOMP14-1,4.98797,-0.500016,0.2
VCOMP14,VCOMP14-2,0.00337926,0.497386,0.2
VCOMP14,VCOMP14-3,0.00233349,0.502614,0.2
VCOMP15,VCOMP15-0,4.98779,-0.500377,0.2
VCOMP15,VCOMP15-1,4.98764,-0.499623,0.2
VCOMP15,VCOMP15-2,0.00341026,0.497384,0.2
VCOMP15,VCOMP15-3,0.00236392,0.502616,0.2
