x,y,layer1,layer2,voltage1,voltage2,current
3502.7,2973.68,TOP_LAYER,MID_LAYER_1,0.0106324,0.0106324,-2.97666e-14
3502.7,2973.68,MID_LAYER_1,MID_LAYER_2,0.0106324,0.0106324,1.08242e-14
3502.7,2973.68,MID_LAYER_2,BOTTOM_LAYER,0.0106324,0.0106324,2.97666e-14
3502.7,3859.51,TOP_LAYER,MID_LAYER_1,0.0102898,0.0102898,-0
3502.7,3859.51,MID_LAYER_1,MID_LAYER_2,0.0102898,0.0102898,-2.70606e-14
3502.7,3859.51,MID_LAYER_2,BOTTOM_LAYER,0.0102898,0.0102898,-0
4585.37,3367.38,TOP_LAYER,MID_LAYER_1,0.0184545,0.0181631,5
4585.37,3367.38,MID_LAYER_1,MID_LAYER_2,0.0181631,0.0181631,2.16485e-14
4585.37,3367.38,MID_LAYER_2,BOTTOM_LAYER,0.0181631,0.0181631,5.95333e-14
4605.06,3869.35,TOP_LAYER,MID_LAYER_1,0,0.000291387,-5
4605.06,3869.35,MID_LAYER_1,MID_LAYER_2,0.000291387,0.000291387,3.38258e-16
4605.06,3869.35,MID_LAYER_2,BOTTOM_LAYER,0.000291387,0.000291387,9.30207e-16
4782.22,3367.38,TOP_LAYER,MID_LAYER_1,4.98049,4.98078,-5
4782.22,3367.38,MID_LAYER_1,MID_LAYER_2,4.98078,4.98238,-5
4782.22,3367.38,MID_LAYER_2,BOTTOM_LAYER,4.98238,4.98238,1.52405e-11
4801.91,3869.35,TOP_LAYER,MID_LAYER_1,4.995,4.99471,5
4801.91,3869.35,MID_LAYER_1,MID_LAYER_2,4.99471,4.99311,5
4801.91,3869.35,MID_LAYER_2,BOTTOM_LAYER,4.99311,4.99311,1.52405e-11
