refdes,pin,voltage,current
C78,1,4.99488,5.12161
C78,2,0.0,-5.12161
C79,1,4.99455,4.87839
C79,2,-0.000575268,-4.87839
J10,1,4.80213,-2.5
J10,2,0.0106886,2.5
J11,1,4.79761,-2.5
J11,2,0.0105824,2.5
J12,1,4.79508,-2.5
J12,2,0.0106411,2.5
J14,1,4.79348,-2.5
J14,2,0.0102143,2.5
U6,3,4.9828,-1.25033
U6,2,4.98274,-1.24967
U6,7,4.80776,0.833483
U6,6,4.80771,0.834001
U6,5,4.80784,0.832516
U7,3,4.97824,-1.24895
U7,2,4.97842,-1.25105
U7,7,4.80336,0.832918
U7,6,4.80325,0.834291
U7,5,4.80337,0.832791
U8,3,4.9755,-1.2487
U8,2,4.97572,-1.2513
U8,7,4.80068,0.832451
U8,6,4.80057,0.833775
U8,5,4.80057,0.833775
U10,3,4.97391,-1.24743
U10,2,4.97434,-1.25257
U10,7,4.79923,0.832036
U10,6,4.79906,0.833982
U10,5,4.79906,0.833982
