x,y,layer1,layer2,voltage1,voltage2,current
-45.7574,345.757,TOP_LAYER,L2_-_GND,0.00503697,0.00503693,0.000444059
-45.7574,345.757,L2_-_GND,L3_-_POWER,0.00503693,0.00503686,0.000125071
-45.7574,345.757,L3_-_POWER,BOTTOM_LAYER,0.00503686,0.00503685,0.000125071
-45.7574,745.757,TOP_LAYER,L2_-_GND,0.00502717,0.00502718,-0.000161377
-45.7574,745.757,L2_-_GND,L3_-_POWER,0.00502718,0.00502723,-8.39357e-05
-45.7574,745.757,L3_-_POWER,BOTTOM_LAYER,0.00502723,0.00502724,-8.39357e-05
-45.7574,1145.76,TOP_LAYER,L2_-_GND,0.00501392,0.00501393,-8.16038e-05
-45.7574,1145.76,L2_-_GND,L3_-_POWER,0.00501393,0.00501397,-7.4127e-05
-45.7574,1145.76,L3_-_POWER,BOTTOM_LAYER,0.00501397,0.00501398,-7.4127e-05
-45.7574,1545.76,TOP_LAYER,L2_-_GND,0.00499828,0.00499829,-0.000102334
-45.7574,1545.76,L2_-_GND,L3_-_POWER,0.00499829,0.00499826,5.72569e-05
-45.7574,1545.76,L3_-_POWER,BOTTOM_LAYER,0.00499826,0.00499826,5.72569e-05
-45.7574,1945.76,TOP_LAYER,L2_-_GND,0.0049807,0.00498038,0.00339812
-45.7574,1945.76,L2_-_GND,L3_-_POWER,0.00498038,0.00497955,0.00159541
-45.7574,1945.76,L3_-_POWER,BOTTOM_LAYER,0.00497955,0.0049794,0.00159541
54.2426,145.757,TOP_LAYER,L2_-_GND,0.00504092,0.00504091,8.91463e-05
54.2426,145.757,L2_-_GND,L3_-_POWER,0.00504091,0.00504089,4.12315e-05
54.2426,145.757,L3_-_POWER,BOTTOM_LAYER,0.00504089,0.00504088,4.12315e-05
54.2426,545.757,TOP_LAYER,L2_-_GND,0.00503321,0.00503325,-0.00037987
54.2426,545.757,L2_-_GND,L3_-_POWER,0.00503325,0.00503331,-0.000113578
54.2426,545.757,L3_-_POWER,BOTTOM_LAYER,0.00503331,0.00503332,-0.000113578
54.2426,945.757,TOP_LAYER,L2_-_GND,0.00502146,0.00502147,-0.000106974
54.2426,945.757,L2_-_GND,L3_-_POWER,0.00502147,0.00502153,-0.000105805
54.2426,945.757,L3_-_POWER,BOTTOM_LAYER,0.00502153,0.00502154,-0.000105805
54.2426,1345.76,TOP_LAYER,L2_-_GND,0.00500662,0.00500664,-0.000118601
54.2426,1345.76,L2_-_GND,L3_-_POWER,0.00500664,0.00500669,-9.61921e-05
54.2426,1345.76,L3_-_POWER,BOTTOM_LAYER,0.00500669,0.00500669,-9.61921e-05
54.2426,1745.76,TOP_LAYER,L2_-_GND,0.00499004,0.00499007,-0.000363478
54.2426,1745.76,L2_-_GND,L3_-_POWER,0.00499007,0.00498997,0.000191723
54.2426,1745.76,L3_-_POWER,BOTTOM_LAYER,0.00498997,0.00498995,0.000191723
54.2426,2145.76,TOP_LAYER,L2_-_GND,0.00497241,0.00497177,0.00676216
54.2426,2145.76,L2_-_GND,L3_-_POWER,0.00497177,0.00497032,0.00279744
54.2426,2145.76,L3_-_POWER,BOTTOM_LAYER,0.00497032,0.00497006,0.00279744
103.443,2443.13,TOP_LAYER,L2_-_GND,0.00495898,0.00495841,0.0276419
103.443,2443.13,L2_-_GND,L3_-_POWER,0.00495841,0.00495694,0.0128833
103.443,2443.13,L3_-_POWER,BOTTOM_LAYER,0.00495694,0.00495668,0.0128833
154.243,-54.2426,TOP_LAYER,L2_-_GND,0.00504455,0.00504457,-0.000239414
154.243,-54.2426,L2_-_GND,L3_-_POWER,0.00504457,0.00504461,-8.1374e-05
154.243,-54.2426,L3_-_POWER,BOTTOM_LAYER,0.00504461,0.00504462,-8.1374e-05
154.243,345.757,TOP_LAYER,L2_-_GND,0.00503872,0.00503867,0.00050057
154.243,345.757,L2_-_GND,L3_-_POWER,0.00503867,0.0050386,0.000136248
154.243,345.757,L3_-_POWER,BOTTOM_LAYER,0.0050386,0.00503859,0.000136248
154.243,745.757,TOP_LAYER,L2_-_GND,0.00502845,0.00502846,-0.0001376
154.243,745.757,L2_-_GND,L3_-_POWER,0.00502846,0.00502852,-0.00010404
154.243,745.757,L3_-_POWER,BOTTOM_LAYER,0.00502852,0.00502853,-0.00010404
154.243,1145.76,TOP_LAYER,L2_-_GND,0.00501471,0.00501472,-0.000184201
154.243,1145.76,L2_-_GND,L3_-_POWER,0.00501472,0.00501482,-0.000178705
154.243,1145.76,L3_-_POWER,BOTTOM_LAYER,0.00501482,0.00501483,-0.000178705
154.243,1545.76,TOP_LAYER,L2_-_GND,0.0049987,0.00499872,-0.000175325
154.243,1545.76,L2_-_GND,L3_-_POWER,0.00499872,0.00499875,-6.65455e-05
154.243,1545.76,L3_-_POWER,BOTTOM_LAYER,0.00499875,0.00499876,-6.65455e-05
154.243,1945.76,TOP_LAYER,L2_-_GND,0.00498065,0.00498039,0.00277068
154.243,1945.76,L2_-_GND,L3_-_POWER,0.00498039,0.0049796,0.00151684
154.243,1945.76,L3_-_POWER,BOTTOM_LAYER,0.0049796,0.00497946,0.00151684
254.243,145.757,TOP_LAYER,L2_-_GND,0.00504369,0.00504367,0.000226686
254.243,145.757,L2_-_GND,L3_-_POWER,0.00504367,0.00504363,6.5109e-05
254.243,145.757,L3_-_POWER,BOTTOM_LAYER,0.00504363,0.00504363,6.5109e-05
254.243,545.757,TOP_LAYER,L2_-_GND,0.00503537,0.0050354,-0.000365428
254.243,545.757,L2_-_GND,L3_-_POWER,0.0050354,0.00503547,-0.000128449
254.243,545.757,L3_-_POWER,BOTTOM_LAYER,0.00503547,0.00503548,-0.000128449
254.243,945.757,TOP_LAYER,L2_-_GND,0.00502294,0.00502297,-0.000255655
254.243,945.757,L2_-_GND,L3_-_POWER,0.00502297,0.00502309,-0.000231754
254.243,945.757,L3_-_POWER,BOTTOM_LAYER,0.00502309,0.00502311,-0.000231754
254.243,1345.76,TOP_LAYER,L2_-_GND,0.00500743,0.00500746,-0.000397188
254.243,1345.76,L2_-_GND,L3_-_POWER,0.00500746,0.00500764,-0.000336396
254.243,1345.76,L3_-_POWER,BOTTOM_LAYER,0.00500764,0.00500767,-0.000336396
254.243,1745.76,TOP_LAYER,L2_-_GND,0.00499042,0.00499047,-0.000501447
254.243,1745.76,L2_-_GND,L3_-_POWER,0.00499047,0.00499044,5.37388e-05
254.243,1745.76,L3_-_POWER,BOTTOM_LAYER,0.00499044,0.00499044,5.37388e-05
254.243,2145.76,TOP_LAYER,L2_-_GND,0.00497219,0.00497144,0.00801231
254.243,2145.76,L2_-_GND,L3_-_POWER,0.00497144,0.00496969,0.00336672
254.243,2145.76,L3_-_POWER,BOTTOM_LAYER,0.00496969,0.00496938,0.00336672
269.243,2945.76,TOP_LAYER,L2_-_GND,0.00492005,0.00492066,-0.00645739
269.243,2945.76,L2_-_GND,L3_-_POWER,0.00492066,0.00492173,-0.00207802
269.243,2945.76,L3_-_POWER,BOTTOM_LAYER,0.00492173,0.00492193,-0.00207802
329.243,3110.76,TOP_LAYER,L2_-_GND,0.00491428,0.0049142,0.000839254
329.243,3110.76,L2_-_GND,L3_-_POWER,0.0049142,0.00491434,-0.000266709
329.243,3110.76,L3_-_POWER,BOTTOM_LAYER,0.00491434,0.00491436,-0.000266709
339.243,2990.76,TOP_LAYER,L2_-_GND,0.0049175,0.00491784,-0.00357663
339.243,2990.76,L2_-_GND,L3_-_POWER,0.00491784,0.00491865,-0.00155972
339.243,2990.76,L3_-_POWER,BOTTOM_LAYER,0.00491865,0.00491879,-0.00155972
339.243,3060.76,TOP_LAYER,L2_-_GND,0.00491516,0.00491511,0.000565468
339.243,3060.76,L2_-_GND,L3_-_POWER,0.00491511,0.00491534,-0.000444333
339.243,3060.76,L3_-_POWER,BOTTOM_LAYER,0.00491534,0.00491538,-0.000444333
354.243,-54.2426,TOP_LAYER,L2_-_GND,0.00504734,0.00504737,-0.00030411
354.243,-54.2426,L2_-_GND,L3_-_POWER,0.00504737,0.00504742,-0.000109516
354.243,-54.2426,L3_-_POWER,BOTTOM_LAYER,0.00504742,0.00504743,-0.000109516
354.243,345.757,TOP_LAYER,L2_-_GND,0.00504162,0.00504157,0.000551057
354.243,345.757,L2_-_GND,L3_-_POWER,0.00504157,0.0050415,0.000135771
354.243,345.757,L3_-_POWER,BOTTOM_LAYER,0.0050415,0.00504149,0.000135771
354.243,745.757,TOP_LAYER,L2_-_GND,0.00503071,0.00503073,-0.000159622
354.243,745.757,L2_-_GND,L3_-_POWER,0.00503073,0.00503081,-0.000157404
354.243,745.757,L3_-_POWER,BOTTOM_LAYER,0.00503081,0.00503082,-0.000157404
354.243,1145.76,TOP_LAYER,L2_-_GND,0.00501595,0.00501602,-0.000750641
354.243,1145.76,L2_-_GND,L3_-_POWER,0.00501602,0.0050163,-0.00053385
354.243,1145.76,L3_-_POWER,BOTTOM_LAYER,0.0050163,0.00501635,-0.00053385
354.243,1545.76,TOP_LAYER,L2_-_GND,0.00499942,0.00499947,-0.000476488
354.243,1545.76,L2_-_GND,L3_-_POWER,0.00499947,0.00499965,-0.000357453
