refdes,pin,voltage,current,rpin
VCOMP4,VCOMP4-0,5.19483,5.16662,0
VCOMP4,VCOMP4-1,0,-5.16662,0
VCOMP5,VCOMP5-0,5.19444,4.83338,0
VCOMP5,VCOMP5-1,-0.000723062,-4.83338,0
VCOMP0,VCOMP0-0,5.00248,-2.5,0.04
VCOMP0,VCOMP0-1,0.00773255,2.5,0.04
VCOMP1,VCOMP1-0,4.99918,-2.5,0.04
VCOMP1,VCOMP1-1,0.00766449,2.5,0.04
VCOMP2,VCOMP2-0,4.99768,-2.5,0.04
VCOMP2,VCOMP2-1,0.00765439,2.5,0.04
VCOMP3,VCOMP3-0,4.99678,-2.5,0.04
VCOMP3,VCOMP3-1,0.00737294,2.5,0.04
VCOMP6,VCOMP6-0,5.18306,-1.25034,0.084
VCOMP6,VCOMP6-1,5.183,-1.24966,0.084
VCOMP6,VCOMP6-2,5.00801,0.833481,0.084
VCOMP6,VCOMP6-3,5.00797,0.833991,0.084
VCOMP6,VCOMP6-4,5.00809,0.832528,0.084
VCOMP7,VCOMP7-0,5.17974,-1.24924,0.084
VCOMP7,VCOMP7-1,5.17987,-1.25076,0.084
VCOMP7,VCOMP7-2,5.00483,0.832925,0.084
VCOMP7,VCOMP7-3,5.00472,0.834276,0.084
VCOMP7,VCOMP7-4,5.00484,0.832799,0.084
VCOMP8,VCOMP8-0,5.17804,-1.24902,0.084
VCOMP8,VCOMP8-1,5.1782,-1.25098,0.084
VCOMP8,VCOMP8-2,5.00319,0.832464,0.084
VCOMP8,VCOMP8-3,5.00308,0.833768,0.084
VCOMP8,VCOMP8-4,5.00308,0.833768,0.084
VCOMP9,VCOMP9-0,5.17712,-1.24745,0.084
VCOMP9,VCOMP9-1,5.17754,-1.25255,0.084
VCOMP9,VCOMP9-2,5.00243,0.832056,0.084
VCOMP9,VCOMP9-3,5.00227,0.833972,0.084
VCOMP9,VCOMP9-4,5.00227,0.833972,0.084
