x,y,layer1,layer2,voltage1,voltage2,current
-45.7574,345.757,TOP_LAYER,MID_LAYER_1,0.0017748,0.00177659,-0.00670986
-45.7574,345.757,MID_LAYER_1,MID_LAYER_2,0.00177659,0.0017888,-0.00836912
-45.7574,345.757,MID_LAYER_2,BOTTOM_LAYER,0.0017888,0.00179102,-0.00836912
-45.7574,745.757,TOP_LAYER,MID_LAYER_1,0.00178005,0.00178185,-0.0067702
-45.7574,745.757,MID_LAYER_1,MID_LAYER_2,0.00178185,0.00179434,-0.00856153
-45.7574,745.757,MID_LAYER_2,BOTTOM_LAYER,0.00179434,0.00179662,-0.00856153
-45.7574,1145.76,TOP_LAYER,MID_LAYER_1,0.00181627,0.00181743,-0.00434554
-45.7574,1145.76,MID_LAYER_1,MID_LAYER_2,0.00181743,0.00182591,-0.00580944
-45.7574,1145.76,MID_LAYER_2,BOTTOM_LAYER,0.00182591,0.00182745,-0.00580944
-45.7574,1545.76,TOP_LAYER,MID_LAYER_1,0.00186218,0.00186277,-0.00222932
-45.7574,1545.76,MID_LAYER_1,MID_LAYER_2,0.00186277,0.00186742,-0.00318473
-45.7574,1545.76,MID_LAYER_2,BOTTOM_LAYER,0.00186742,0.00186826,-0.00318473
-45.7574,1945.76,TOP_LAYER,MID_LAYER_1,0.00190099,0.00190242,-0.00536737
-45.7574,1945.76,MID_LAYER_1,MID_LAYER_2,0.00190242,0.00190725,-0.00331155
-45.7574,1945.76,MID_LAYER_2,BOTTOM_LAYER,0.00190725,0.00190813,-0.00331155
54.2426,145.757,TOP_LAYER,MID_LAYER_1,0.00178029,0.00178197,-0.00631857
54.2426,145.757,MID_LAYER_1,MID_LAYER_2,0.00178197,0.00179432,-0.0084585
54.2426,145.757,MID_LAYER_2,BOTTOM_LAYER,0.00179432,0.00179656,-0.0084585
54.2426,545.757,TOP_LAYER,MID_LAYER_1,0.00176673,0.00176918,-0.00924367
54.2426,545.757,MID_LAYER_1,MID_LAYER_2,0.00176918,0.0017849,-0.0107681
54.2426,545.757,MID_LAYER_2,BOTTOM_LAYER,0.0017849,0.00178776,-0.0107681
54.2426,945.757,TOP_LAYER,MID_LAYER_1,0.00179017,0.00179202,-0.00695536
