x,y,layer1,layer2,voltage1,voltage2,current
3305.84,3859.51,TOP_LAYER,MID_LAYER_1,11.998,11.998,-6.09621e-11
3305.84,3859.51,MID_LAYER_1,MID_LAYER_2,11.998,11.998,-5.54201e-12
3305.84,3859.51,MID_LAYER_2,BOTTOM_LAYER,11.998,11.998,3.0481e-11
3502.7,2973.68,TOP_LAYER,MID_LAYER_1,0.0079455,0.00782894,2
3502.7,2973.68,MID_LAYER_1,MID_LAYER_2,0.00782894,0.00782894,1.08242e-14
3502.7,2973.68,MID_LAYER_2,BOTTOM_LAYER,0.00782894,0.00782894,2.97666e-14
3502.7,3859.51,TOP_LAYER,MID_LAYER_1,0,0.000116555,-2
3502.7,3859.51,MID_LAYER_1,MID_LAYER_2,0.000116555,0.000116555,1.26847e-16
3502.7,3859.51,MID_LAYER_2,BOTTOM_LAYER,0.000116555,0.000116555,4.65104e-16
4605.06,2973.68,TOP_LAYER,MID_LAYER_1,0.00385938,0.00385938,-1.48833e-14
4605.06,2973.68,MID_LAYER_1,MID_LAYER_2,0.00385938,0.00385938,4.05909e-15
4605.06,2973.68,MID_LAYER_2,BOTTOM_LAYER,0.00385938,0.00385938,1.48833e-14
4605.06,3869.35,TOP_LAYER,MID_LAYER_1,0.00361756,0.00361756,-1.48833e-14
4605.06,3869.35,MID_LAYER_1,MID_LAYER_2,0.00361756,0.00361756,4.05909e-15
4605.06,3869.35,MID_LAYER_2,BOTTOM_LAYER,0.00361756,0.00361756,1.48833e-14
3305.84,2973.68,TOP_LAYER,MID_LAYER_1,11.076,11.076,-6.09621e-11
3305.84,2973.68,MID_LAYER_1,MID_LAYER_2,11.076,11.076,-2.21681e-11
3305.84,2973.68,MID_LAYER_2,BOTTOM_LAYER,11.076,11.076,-0
