refdes,pin,voltage,current,rpin
VCOMP4,VCOMP4-0,4.99488,5.12161,0
VCOMP4,VCOMP4-1,0,-5.12161,0
VCOMP5,VCOMP5-0,4.99455,4.87839,0
VCOMP5,VCOMP5-1,-0.000575268,-4.87839,0
VCOMP0,VCOMP0-0,4.80213,-2.5,0.04
VCOMP0,VCOMP0-1,0.0106886,2.5,0.04
VCOMP1,VCOMP1-0,4.79761,-2.5,0.04
VCOMP1,VCOMP1-1,0.0105824,2.5,0.04
VCOMP2,VCOMP2-0,4.79508,-2.5,0.04
VCOMP2,VCOMP2-1,0.0106411,2.5,0.04
VCOMP3,VCOMP3-0,4.79348,-2.5,0.04
VCOMP3,VCOMP3-1,0.0102143,2.5,0.04
VCOMP6,VCOMP6-0,4.9828,-1.25033,0.084
VCOMP6,VCOMP6-1,4.98274,-1.24967,0.084
VCOMP6,VCOMP6-2,4.80776,0.833483,0.084
VCOMP6,VCOMP6-3,4.80771,0.834001,0.084
VCOMP6,VCOMP6-4,4.80784,0.832516,0.084
VCOMP7,VCOMP7-0,4.97824,-1.24895,0.084
VCOMP7,VCOMP7-1,4.97842,-1.25105,0.084
VCOMP7,VCOMP7-2,4.80336,0.832918,0.084
VCOMP7,VCOMP7-3,4.80325,0.834291,0.084
VCOMP7,VCOMP7-4,4.80337,0.832791,0.084
VCOMP8,VCOMP8-0,4.9755,-1.2487,0.084
VCOMP8,VCOMP8-1,4.97572,-1.2513,0.084
VCOMP8,VCOMP8-2,4.80068,0.832451,0.084
VCOMP8,VCOMP8-3,4.80057,0.833775,0.084
VCOMP8,VCOMP8-4,4.80057,0.833775,0.084
VCOMP9,VCOMP9-0,4.97391,-1.24743,0.084
VCOMP9,VCOMP9-1,4.97434,-1.25257,0.084
VCOMP9,VCOMP9-2,4.79923,0.832036,0.084
VCOMP9,VCOMP9-3,4.79906,0.833982,0.084
VCOMP9,VCOMP9-4,4.79906,0.833982,0.084
