Altium Designer Pick and Place Locations
C:\Users\lance\Github\MarsRover2020-PCB\Projects\Power Distribution Board\Rev2\Project Outputs for Free Documents\Pick Place\Pick Place for Power Distribution Board.csv

========================================================================================================================
File Design Information:

Date:       05-12-20
Time:       07:35
Revision:   6e10efac8d8532a21b3f1ac86223be38382a477a
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"L1","TopLayer","20.4470","17.0180","360"
"SW1","TopLayer","65.9120","95.7580","180"
"R9","TopLayer","66.8020","88.9000","360"
"C17","TopLayer","74.6760","91.6940","270"
"J4","TopLayer","35.6580","2.2860","0"
"J2","TopLayer","164.8460","10.4140","90"
"J19","TopLayer","96.7850","2.1621","180"
"J18","TopLayer","111.7230","2.1621","180"
"J17","TopLayer","127.1800","2.1559","180"
"J16","TopLayer","142.5680","2.1559","180"
"J15","TopLayer","165.1000","39.1160","90"
"C63","TopLayer","109.7280","16.6370","180"
"Q4","TopLayer","23.7490","30.9095","270"
"Q5","TopLayer","17.3990","30.9095","270"
"Q3","TopLayer","11.4300","30.1745","90"
"Q2","TopLayer","32.2580","30.4285","90"
"GND","TopLayer","118.6180","61.9760","180"
"TP9","TopLayer","71.2355","57.4294","0"
"5V","TopLayer","146.3040","97.5360","0"
"+OUT","TopLayer","120.6500","91.1860","0"
"VBAT","TopLayer","61.4680","81.0260","0"
"GND","TopLayer","62.1030","56.2610","0"
"17V","TopLayer","37.4650","19.8120","0"
"GND","TopLayer","11.6840","98.5520","0"
"24V","TopLayer","1.5240","6.6040","0"
"VBAT","TopLayer","35.5600","69.8500","0"
"U12","TopLayer","108.9660","47.2440","0"
"MH4","TopLayer","152.4000","0.0000","0"
"MH3","TopLayer","0.0000","0.0000","0"
"MH2","TopLayer","152.4000","97.2820","0"
"MH1","TopLayer","0.0000","97.2820","0"
"D15","TopLayer","105.6640","47.3710","90"
"C60","TopLayer","112.2680","49.1490","270"
"C16","TopLayer","-0.2540","12.9540","0"
"C12","TopLayer","-0.2540","29.3793","180"
"H3","TopLayer","127.7620","18.0340","90"
"R3","TopLayer","66.1555","44.5808","180"
"D5","TopLayer","70.7275","44.6278","360"
"U16","TopLayer","112.0140","19.8120","180"
"Y1","TopLayer","108.7120","33.6550","180"
"U17","TopLayer","120.3960","17.7800","360"
"U15","TopLayer","45.2120","21.0820","270"
"U14","TopLayer","61.9760","21.0820","270"
"U13","TopLayer","80.5180","21.3360","270"
"U11","TopLayer","98.0440","36.5760","180"
"U10","TopLayer","151.8920","63.7540","0"
"U9","TopLayer","151.7650","36.3220","0"
"U8","TopLayer","151.8920","76.7080","0"
"U7","TopLayer","151.8920","50.0380","0"
"U6","TopLayer","151.8920","89.6620","0"
"U5","TopLayer","134.6200","61.7220","180"
"U4","TopLayer","91.4400","73.1520","360"
"U3","TopLayer","54.8640","61.2140","180"
"U2","TopLayer","17.0180","58.9280","270"
"U1","TopLayer","44.4500","77.7240","360"
"RS-485 TX","TopLayer","102.8700","17.0180","180"
"RS-485 RX","TopLayer","102.8700","20.5740","360"
"GND","TopLayer","156.3370","3.9370","180"
"3.3V","TopLayer","131.5720","54.6100","180"
"SW3","TopLayer","86.1060","95.7580","180"
"SW2","TopLayer","106.4260","95.7580","180"
"S1","TopLayer","123.4440","34.1630","90"
"R92","TopLayer","130.8100","18.8720","90"
"R91","TopLayer","88.3920","57.1500","360"
"R90","TopLayer","94.9960","57.1500","360"
"R89","TopLayer","103.2000","57.1500","180"
"R88","TopLayer","109.7280","57.1500","180"
"R87","TopLayer","88.3920","54.8640","180"
"R86","TopLayer","94.9960","54.8640","180"
"R84","TopLayer","103.2510","54.8640","360"
"R85","TopLayer","109.7280","54.8640","360"
"R83","TopLayer","47.8790","27.6860","360"
"R82","TopLayer","42.4180","22.7330","90"
"R81","TopLayer","42.4180","19.4310","270"
"R80","TopLayer","47.8790","25.4000","180"
"R79","TopLayer","43.9420","27.6860","180"
"R78","TopLayer","43.9420","25.4000","180"
"R77","TopLayer","41.5290","16.6370","180"
"R76","TopLayer","46.3550","16.5100","360"
"R75","TopLayer","66.1670","20.3200","270"
"R74","TopLayer","62.7380","10.4140","360"
"R73","TopLayer","85.0900","21.0820","270"
"R72","TopLayer","81.5340","10.6680","360"
"R71","TopLayer","116.9670","35.0520","270"
"R70","TopLayer","98.2980","26.1620","270"
"R69","TopLayer","124.8410","45.4660","270"
"R68","TopLayer","115.6970","45.4660","90"
"R67","TopLayer","119.3800","42.5450","180"
"R66","TopLayer","146.8120","67.3100","180"
"R65","TopLayer","150.3680","60.5790","180"
"R64","TopLayer","153.5430","60.5790","360"
"R63","TopLayer","146.8120","65.0240","360"
"R62","TopLayer","146.8120","60.5790","180"
"R61","TopLayer","146.8120","62.8650","180"
"R60","TopLayer","156.4640","61.0870","90"
"R59","TopLayer","156.4640","64.8970","90"
"R58","TopLayer","146.5580","40.0050","180"
"R57","TopLayer","146.8120","80.5180","180"
"R56","TopLayer","150.1140","33.2740","180"
"R55","TopLayer","153.2890","33.2740","360"
"R54","TopLayer","150.3680","73.7870","180"
"R53","TopLayer","153.5430","73.7870","360"
"R52","TopLayer","146.5580","37.7190","360"
"R51","TopLayer","146.8120","78.2320","360"
"R50","TopLayer","146.5580","33.2740","180"
"R49","TopLayer","146.8120","73.7870","180"
"R48","TopLayer","146.5580","35.5600","180"
"R47","TopLayer","156.3370","33.9090","90"
"R46","TopLayer","156.3370","37.4650","90"
"R45","TopLayer","146.8120","75.9460","180"
"R44","TopLayer","156.4640","74.2950","90"
"R43","TopLayer","156.4640","77.8510","90"
"R42","TopLayer","146.6850","53.7210","180"
"R41","TopLayer","146.8120","93.3450","180"
"R40","TopLayer","150.2410","47.1170","180"
"R39","TopLayer","153.5430","47.1170","360"
"R38","TopLayer","150.2410","86.7410","180"
"R37","TopLayer","153.4160","86.7410","360"
"R36","TopLayer","146.6850","51.4350","360"
"R35","TopLayer","146.8120","91.1860","360"
"R34","TopLayer","146.6850","47.1170","180"
"R33","TopLayer","146.8120","86.7410","180"
"R32","TopLayer","146.6850","49.2760","180"
"R31","TopLayer","156.4640","47.8790","90"
"R30","TopLayer","156.4640","51.1810","90"
"R29","TopLayer","146.8120","89.0270","180"
"R28","TopLayer","156.3370","87.2490","90"
"R27","TopLayer","156.3370","90.8050","90"
"R26","TopLayer","66.1935","32.2834","180"
"R25","TopLayer","66.1555","52.8574","180"
"R24","TopLayer","67.3100","56.8960","360"
"R23","TopLayer","87.1220","88.1380","360"
"R22","TopLayer","66.1555","36.4744","180"
"R21","TopLayer","107.4420","88.6460","360"
"R20","TopLayer","96.9010","91.5670","180"
"R19","TopLayer","46.4820","61.4680","90"
"R18","TopLayer","56.1340","65.2780","360"
"R17","TopLayer","41.1480","61.4680","270"
"R16","TopLayer","66.1555","40.5060","180"
"R15","TopLayer","18.4150","69.8500","270"
"R14","TopLayer","17.9070","38.7350","180"
"R13","TopLayer","20.4470","69.8500","270"
"R12","TopLayer","10.2870","60.3250","90"
"R11","TopLayer","11.9380","51.3080","270"
"R10","TopLayer","17.9070","36.4490","180"
"R8","TopLayer","21.8440","37.5920","270"
"R7","TopLayer","56.8960","95.2500","270"
"R6","TopLayer","13.3350","67.5640","360"
"R5","TopLayer","23.8760","66.9290","360"
"R4","TopLayer","56.8960","91.4400","270"
"R2","TopLayer","13.2842","65.4050","180"
"R1","TopLayer","66.1555","48.7934","180"
"Q1","TopLayer","42.5715","85.2020","360"
"L3","TopLayer","132.5880","94.4880","0"
"L2","TopLayer","45.3390","46.3550","270"
"J13","TopLayer","48.0060","2.2860","360"
"J9","TopLayer","62.7730","2.1621","180"
"J8","TopLayer","80.7590","2.1621","180"
"J7","TopLayer","92.2020","18.5420","360"
"J5","TopLayer","10.9620","2.2860","0"
"J14","TopLayer","165.1000","52.8720","90"
"J12","TopLayer","165.1000","66.5480","90"
"J11","TopLayer","165.1000","79.5420","90"
"J10","TopLayer","165.3540","92.4560","90"
"J6","TopLayer","164.2079","24.9150","270"
"J3","TopLayer","23.3100","2.2860","360"
"J1","TopLayer","2.5400","89.1540","270"
"H2","TopLayer","62.2238","13.6421","180"
"H1","TopLayer","81.0260","13.7160","180"
"F5","TopLayer","93.2180","9.1440","180"
"F4","TopLayer","108.0770","9.1440","180"
"F3","TopLayer","123.5710","9.1440","180"
"F2","TopLayer","139.0650","9.1440","180"
"F1","TopLayer","25.7810","76.8350","360"
"D19","TopLayer","88.3920","52.9590","180"
"D18","TopLayer","94.9960","52.9590","180"
"D17","TopLayer","103.2510","52.9590","360"
"D16","TopLayer","109.7280","52.9590","360"
"D14","TopLayer","120.2690","45.5930","270"
"D13","TopLayer","70.7275","32.2834","360"
"D12","TopLayer","70.7275","52.8574","360"
"D11","TopLayer","70.7275","36.4744","360"
"D10","TopLayer","70.7275","40.5130","360"
"D9","TopLayer","52.4510","54.4830","180"
"D8","TopLayer","14.8590","44.5770","180"
"D7","TopLayer","21.7170","44.5770","360"
"D6","TopLayer","27.9400","29.9720","270"
"D4","TopLayer","6.6040","30.7340","90"
"D3","TopLayer","25.9080","69.4690","180"
"D2","TopLayer","70.7275","48.7426","360"
"D1","TopLayer","11.6840","89.4080","270"
"C64","TopLayer","115.3160","17.5260","90"
"C62","TopLayer","62.1030","26.6700","360"
"C61","TopLayer","80.5180","26.6700","360"
"C59","TopLayer","91.9480","48.2600","360"
"C58","TopLayer","119.8880","34.9250","90"
"C57","TopLayer","108.7120","31.1150","180"
"C56","TopLayer","111.5060","33.6550","90"
"C51","TopLayer","113.2840","28.3210","90"
"C50","TopLayer","102.1080","26.4160","360"
"C49","TopLayer","89.5350","32.2580","270"
"C48","TopLayer","91.9480","44.1960","180"
"C47","TopLayer","102.3620","45.2120","180"
"C53","TopLayer","107.6960","28.3210","90"
"C52","TopLayer","110.4900","28.3210","90"
"C55","TopLayer","107.5690","38.1000","90"
"C54","TopLayer","110.1090","38.1000","90"
"C46","TopLayer","130.3020","61.4680","270"
"C45","TopLayer","139.0650","61.7220","270"
"C44","TopLayer","91.1860","88.1380","180"
"C43","TopLayer","136.9060","68.5800","360"
"C42","TopLayer","136.9060","73.6600","360"
"C41","TopLayer","136.9060","78.9940","360"
"C40","TopLayer","136.9060","84.0740","360"
"C39","TopLayer","65.5320","65.0240","180"
"C38","TopLayer","65.5320","70.1040","180"
"C37","TopLayer","65.5320","74.9300","180"
"C36","TopLayer","123.1900","76.7680","270"
"C35","TopLayer","111.7600","88.6460","180"
"C34","TopLayer","49.1490","60.8330","90"
"C29","TopLayer","55.6260","68.3260","180"
"C28","TopLayer","43.6880","61.4680","270"
"C33","TopLayer","62.7380","46.1723","270"
"C32","TopLayer","59.0973","46.1723","270"
"C31","TopLayer","55.4567","46.1723","270"
"C30","TopLayer","51.8160","46.1723","270"
"C27","TopLayer","61.4680","59.3090","180"
"C26","TopLayer","14.9860","69.5960","360"
"C25","TopLayer","14.9860","72.1360","360"
"C24","TopLayer","15.2400","50.9270","360"
"C23","TopLayer","24.3840","53.8480","270"
"C22","TopLayer","9.3980","57.4040","360"
"C21","TopLayer","22.4790","50.0380","180"
"C20","TopLayer","18.5420","48.1330","360"
"C18","TopLayer","14.8590","37.5920","90"
"C19","TopLayer","9.3980","63.1190","360"
"C15","TopLayer","-0.2540","17.0603","180"
"C14","TopLayer","-0.2540","21.1667","180"
"C13","TopLayer","-0.2540","25.2730","360"
"C10","TopLayer","23.7490","64.5160","180"
"C11","TopLayer","-0.2540","33.4857","180"
"C9","TopLayer","32.0040","37.5920","360"
"C8","TopLayer","32.0040","41.6560","360"
"C7","TopLayer","32.0040","45.7200","360"
"C6","TopLayer","32.0080","53.8480","90"
"C5","TopLayer","-0.2540","37.5920","360"
"C4","TopLayer","4.8260","39.3700","90"
"C3","TopLayer","8.8900","39.3700","90"
"C2","TopLayer","44.4500","81.2800","360"
"C1","TopLayer","51.3080","91.1820","360"
