Net Status Report
Filename     : D:\GitHub Desktop\MarsRover2021-hardware\Projects\Power Distribution Board\Rev3\Power Distribution Board.PcbDoc
Date         : 2021-12-29
Time         : 9:10:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    17V, Signal Layers Only, 2106.811mils
    17V_FB, Signal Layers Only, 2107.995mils
    17V_LOAD, Signal Layers Only, 0mils
    17V_VCC, Signal Layers Only, 319.824mils
    3V3, Signal Layers Only, 4725.803mils
    5V, Signal Layers Only, 3559.13mils
    5V_FB, Signal Layers Only, 793.85mils
    5V_LOAD1, Signal Layers Only, 0mils
    5V_LOAD2, Signal Layers Only, 0mils
    5V_LOAD3, Signal Layers Only, 0mils
    5V_LOAD4, Signal Layers Only, 0mils
    5V_RT, Signal Layers Only, 211.252mils
    5V_VCC, Signal Layers Only, 871.595mils
    ADJ, Signal Layers Only, 323.968mils
    CANA_N, Signal Layers Only, 1039.435mils
    CANA_P, Signal Layers Only, 1045.829mils
    CANB_N, Signal Layers Only, 1024.725mils
    CANB_P, Signal Layers Only, 1024.778mils
    COMP, Signal Layers Only, 268.002mils
    CS, Signal Layers Only, 590.095mils
    CSG, Signal Layers Only, 491.616mils
    EN_17V, Signal Layers Only, 4746.114mils
    EN_5V, Signal Layers Only, 854.268mils
    GND, Signal Layers Only, 1026.609mils
    HB, Signal Layers Only, 1027.038mils
    HO, Signal Layers Only, 191.919mils
    ISEN, Signal Layers Only, 639.185mils
    JTDI, Signal Layers Only, 423.212mils
    JTDO/TRACESWO, Signal Layers Only, 529.404mils
    LED_B_n, Signal Layers Only, 593.848mils
    LED_G_n, Signal Layers Only, 884.783mils
    LED_MATRIX_B_PWM, Signal Layers Only, 3131.71mils
    LED_MATRIX_G_PWM, Signal Layers Only, 3141.893mils
    LED_MATRIX_R_PWM, Signal Layers Only, 3139.054mils
    LED_R_n, Signal Layers Only, 536.709mils
    LO, Signal Layers Only, 167.911mils
    NRST, Signal Layers Only, 1791.576mils
    NetBZ1_2, Signal Layers Only, 1032.502mils
    NetC10_1, Signal Layers Only, 210.62mils
    NetC10_2, Signal Layers Only, 139.474mils
    NetC11_1, Signal Layers Only, 345.433mils
    NetC11_2, Signal Layers Only, 148.28mils
    NetC12_2, Signal Layers Only, 627.894mils
    NetC13_1, Signal Layers Only, 218.67mils
    NetC13_2, Signal Layers Only, 143.038mils
    NetC14_1, Signal Layers Only, 142.907mils
    NetC14_2, Signal Layers Only, 218.8mils
    NetC2_1, Signal Layers Only, 100.06mils
    NetC2_2, Signal Layers Only, 171.206mils
    NetC3_1, Signal Layers Only, 90.101mils
    NetC3_2, Signal Layers Only, 173.496mils
    NetC4_1, Signal Layers Only, 98.756mils
    NetC4_2, Signal Layers Only, 184.14mils
    NetC56_2, Signal Layers Only, 346.315mils
    NetC57_2, Signal Layers Only, 263.11mils
    NetC59_2, Signal Layers Only, 264.734mils
    NetC5_1, Signal Layers Only, 103.42mils
    NetC5_2, Signal Layers Only, 188.347mils
    NetC6_1, Signal Layers Only, 129.879mils
    NetC6_2, Signal Layers Only, 201.025mils
    NetC71_1, Signal Layers Only, 80.039mils
    NetC8_1, Signal Layers Only, 8155.534mils
    NetC8_2, Signal Layers Only, 123.779mils
    NetC9_1, Signal Layers Only, 201.814mils
    NetC9_2, Signal Layers Only, 125.373mils
    NetD10_1, Signal Layers Only, 106.181mils
    NetD11_1, Signal Layers Only, 106.181mils
    NetD13_1, Signal Layers Only, 104.685mils
    NetD14_1, Signal Layers Only, 121.793mils
    NetD14_2, Signal Layers Only, 121.793mils
    NetD14_3, Signal Layers Only, 124.049mils
    NetD16_1, Signal Layers Only, 851.102mils
    NetD17_1, Signal Layers Only, 704.798mils
    NetD19_1, Signal Layers Only, 636.406mils
    NetD20_1, Signal Layers Only, 106.181mils
    NetD2_1, Signal Layers Only, 356.151mils
    NetD2_3, Signal Layers Only, 0mils
    NetD3_1, Signal Layers Only, 70mils
    NetD9_2, Signal Layers Only, 0mils
    NetF2_1, Signal Layers Only, 181.15mils
    NetF3_1, Signal Layers Only, 181.069mils
    NetF4_1, Signal Layers Only, 181.427mils
    NetF5_1, Signal Layers Only, 184.004mils
    NetH1_1, Signal Layers Only, 121.027mils
    NetH2_1, Signal Layers Only, 128.219mils
    NetH3_2, Signal Layers Only, 126.409mils
    NetJ2_10, Signal Layers Only, 2429.868mils
    NetJ2_11, Signal Layers Only, 2592.806mils
    NetJ2_12, Signal Layers Only, 2393.81mils
    NetJ2_13, Signal Layers Only, 1180.055mils
