Altium Designer Pick and Place Locations
D:\Users\Logan\Documents\GitHub\MarsRoverHardware\Projects\Power Distribution Board\Rev5\Power Distribution Board\Project Outputs for Power Distribution Board\Pick Place for Power Distribution Board Rev5.txt

========================================================================================================================
File Design Information:

Date:       09-06-23
Time:       14:34
Revision:   219f0510273dcd2be48ce253a5d38bb38902fadd
Variant:    No variations
Units used: mil

Designator  Comment              Layer    Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                 
R46         RES_3.3kO_0805_1%    TopLayer RES0805                     3151.000      2845.000      90       "RES 3.3K OHM 1% 1/8W 0805"                                 
R45         RES_510O_0603_5%     TopLayer RES0603                     348.000       2609.496      90       "RES 510 OHM 5% 1/10W 0603"                                 
R44         RES_510O_0603_5%     TopLayer RES0603                     396.504       1974.000      180      "RES 510 OHM 5% 1/10W 0603"                                 
D17         LED_GREEN            TopLayer LED_0805_GREEN              3111.000      2742.000      180      "LED GREEN DIFFUSED 0805 SMD"                               
D16         LED_GREEN            TopLayer LED_0805_GREEN              389.000       2508.000      0        "LED GREEN DIFFUSED 0805 SMD"                               
D15         LED_GREEN            TopLayer LED_0805_GREEN              494.000       2058.000      0        "LED GREEN DIFFUSED 0805 SMD"                               
"TP 14"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1417.119      1841.150      90       "TESTPOINT 1MM CIRCLE"                                      
3V3         TESTPOINT_LOOP       TopLayer TESTPOINT_LOOP              1948.599      2250.149      0        "TESTPOINT THRUHOLE"                                        
"TP  NRST1" TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1274.044      1953.666      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 22"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2921.968      541.221       90       "TESTPOINT 1MM CIRCLE"                                      
"TP 21"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1635.000      1774.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 20"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2811.599      1241.149      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 19"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2083.531      1651.506      90       "TESTPOINT 1MM CIRCLE"                                      
