Altium Designer Pick and Place Locations
D:\Documents\GitHub\MarsRoverHardware\Projects\Power Distribution Board\Rev6\Power Distribution Board\Project Outputs for Power Distribution Board\Pick Place for Power Distribution Board Rev6.txt

========================================================================================================================
File Design Information:

Date:       10/08/23
Time:       20:55
Revision:   51447a8fe3c4a768aa66deb410ce0348d579a143
Variant:    No variations
Units used: mil

Designator  Comment              Layer    Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                 
C37         CAP_1uF_100V_0805    TopLayer CAP0805                     -868.702      817.000       90       "CAP CER 1UF 100V X7S 0805"                                 
C11         CAP_1uF_100V_0805    TopLayer CAP0805                     1042.268      1953.666      135      "CAP CER 1UF 100V X7S 0805"                                 
"TP 25"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2190.298      3559.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 24"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1531.298      3563.000      90       "TESTPOINT 1MM CIRCLE"                                      
TP5         TESTPOINT_LOOP       TopLayer TESTPOINT_LOOP              2685.298      3040.000      0        "TESTPOINT THRUHOLE"                                        
TP4         TESTPOINT_LOOP       TopLayer TESTPOINT_LOOP              407.298       787.000       0        "TESTPOINT THRUHOLE"                                        
TP3         TESTPOINT_LOOP       TopLayer TESTPOINT_LOOP              150.000       2078.000      0        "TESTPOINT THRUHOLE"                                        
R59         RES_10kO_0805_5%     TopLayer RES0805                     1406.298      2910.000      0        "RES 10K OHM 5% 1/8W 0805"                                  
R58         RES_10kO_0805_5%     TopLayer RES0805                     1561.298      2910.000      0        "RES 10K OHM 5% 1/8W 0805"                                  
R57         RES_10kO_0805_5%     TopLayer RES0805                     1711.298      2910.000      0        "RES 10K OHM 5% 1/8W 0805"                                  
R56         RES_191O_0805_1%     TopLayer RES0805                     1406.298      3140.000      0        "RES 402 OHM 1% 1/8W 0805"                                  
R55         RES_191O_0805_1%     TopLayer RES0805                     1561.298      3140.000      0        "RES 402 OHM 1% 1/8W 0805"                                  
R54         RES_294O_0805_1%     TopLayer RES0805                     1711.298      3140.000      180      "RES 402 OHM 1% 1/8W 0805"                                  
R48         RES_6.04kO_0805_1%   TopLayer RES0805                     2897.991      3250.544      180      "RES 6.04K OHM 1% 1/8W 0805"                                
R47         RES_6.04kO_0805_1%   TopLayer RES0805                     2465.818      811.000       180      "RES 6.04K OHM 1% 1/8W 0805"                                
Q14         NMOS_60V_340mS       TopLayer SOT23-3                     1406.298      3020.000      90       "N-Channel 60 V 340mA (Ta) 350mW (Ta) Surface Mount SOT-23" 
Q13         NMOS_60V_340mS       TopLayer SOT23-3                     1561.298      3020.000      90       "N-Channel 60 V 340mA (Ta) 350mW (Ta) Surface Mount SOT-23" 
Q12         NMOS_60V_340mS       TopLayer SOT23-3                     1711.298      3020.000      90       "N-Channel 60 V 340mA (Ta) 350mW (Ta) Surface Mount SOT-23" 
R46         RES_3.3kO_0805_1%    TopLayer RES0805                     2771.298      2891.000      90       "RES 3.3K OHM 1% 1/8W 0805"                                 
R45         RES_510kO_0805_1%    TopLayer RES0805                     -364.702      2560.000      180      "RES 510K OHM 5% 1/8W 0805"                                 
R44         RES_510kO_0805_1%    TopLayer RES0805                     -315.702      1659.000      180      "RES 510K OHM 5% 1/8W 0805"                                 
D17         LED_GREEN            TopLayer LED_0805_GREEN              2697.298      2812.000      270      "LED GREEN DIFFUSED 0805 SMD"                               
D16         LED_GREEN            TopLayer LED_0805_GREEN              -364.702      2490.000      0        "LED GREEN DIFFUSED 0805 SMD"                               
D15         LED_GREEN            TopLayer LED_0805_GREEN              -316.702      1734.000      0        "LED GREEN DIFFUSED 0805 SMD"                               
"TP 14"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1023.417      1841.150      90       "TESTPOINT 1MM CIRCLE"                                      
3V3         TESTPOINT_LOOP       TopLayer TESTPOINT_LOOP              1554.897      2250.149      0        "TESTPOINT THRUHOLE"                                        
"TP  NRST1" TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        880.342       1953.666      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 22"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2374.432      1011.807      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 21"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1241.298      1774.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 20"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2391.431      1186.855      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 19"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1689.829      1651.506      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 18"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2320.996      1873.380      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 17"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        916.298       1020.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 16"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1026.897      1570.149      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 15"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -633.702      1015.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 13"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        2649.001      3420.297      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 12"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1929.897      2730.149      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 11"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1596.897      2342.149      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 10"     TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        419.712       3008.148      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 9"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        1128.149      1437.599      180      "TESTPOINT 1MM CIRCLE"                                      
"TP 8"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        457.897       1644.118      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 7"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        896.897       2892.167      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 6"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -584.702      2260.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 5"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        312.298       2272.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 4"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -376.000      3037.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 3"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -393.000      3615.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 2"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -432.702      2285.000      90       "TESTPOINT 1MM CIRCLE"                                      
"TP 1"      TESTPOINT_1MM_CIRCLE TopLayer TESTPOINT_CIRCLE_1MM        -439.832      1667.000      90       "TESTPOINT 1MM CIRCLE"                                      
R53         RES_10kO_0805_5%     TopLayer RES0805                     1195.897      1841.150      180      "RES 10K OHM 5% 1/8W 0805"                                  
R52         RES_10kO_0805_5%     TopLayer RES0805                     2383.521      1909.000      90       "RES 10K OHM 5% 1/8W 0805"                                  
