Altium Designer Pick and Place Locations
C:\Users\lance\Github\MarsRover2020-PCB\Projects\Science\Rev2\Project Outputs for Free Documents\Pick Place\Pick Place for Science.csv

========================================================================================================================
File Design Information:

Date:       07-12-20
Time:       07:33
Revision:   435c708c3bff37f61b7cf43314254f7195ba8198
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation"
"J5","62.9560","1.4600","180"
"D18","23.6220","23.8834","270"
"D17","19.8099","20.5793","360"
"D16","36.8955","47.1170","360"
"D15","33.8475","47.1170","360"
"D14","30.8589","47.1170","360"
"D13","27.8109","47.1170","360"
"D12","24.8264","47.1170","360"
"D11","64.0101","7.1120","180"
"D10","60.9579","6.9850","360"
"D9","8.2550","9.2689","90"
"D8","8.6280","12.1941","270"
"D7","55.5890","45.8470","360"
"D3","58.6760","45.8470","180"
"Y1","30.7490","36.1123","90"
"U5","41.9100","17.2720","270"
"U4","5.0800","27.6913","270"
"U3","41.4020","33.9143","360"
"U2","52.4510","23.8760","270"
"U1","54.3613","34.0360","360"
"TP16","21.6535","9.1440","270"
"TP15","23.8125","9.1493","270"
"TP14","25.9715","9.1440","270"
"TP13","39.6240","9.0170","270"
"TP12","45.9740","9.0170","270"
"TP11","69.2150","8.6360","270"
"TP10","67.6910","8.6360","270"
"TP9","22.7330","33.4010","90"
"TP8","32.2580","16.7640","90"
"TP7","51.5620","13.6525","90"
"TP6","12.0650","34.9250","360"
"TP4","2.4130","18.7960","360"
"TP3","-0.8890","36.3220","360"
"TP2","56.3490","42.0370","180"
"TP1","57.9067","42.0370","180"
"S2","26.1620","24.3893","270"
"S1","19.6850","18.1663","180"
"R26","70.2818","19.2406","90"
"R25","69.9665","36.9190","90"
"R24","36.9190","20.0660","360"
"R23","9.9060","29.0450","90"
"R22","11.8110","29.0450","270"
"R21","10.2870","19.9063","90"
"R20","26.1620","20.2873","270"
"R19","23.2410","17.3610","270"
"R18","40.0050","43.1420","90"
"R17","18.0340","28.7963","270"
"R16","18.0340","36.9950","270"
"R15","16.5100","28.7963","270"
"R13","36.8555","44.8310","180"
"R12","33.8075","44.8310","180"
"R11","30.8230","44.8310","180"
"R10","27.7750","44.8363","180"
"R9","24.7905","44.8310","180"
"R8","60.9220","8.6360","360"
"R7","12.1920","8.9843","90"
"R6","55.5490","44.0690","180"
"R5","58.7067","44.0690","360"
"R4","56.1340","22.2630","270"
"R2","57.5565","37.9730","180"
"Q3","20.1770","25.7810","90"
"Q2","21.0820","37.8460","90"
"Q1","14.3510","25.7863","270"
"L1","0.5080","27.8130","90"
"J10","8.6360","52.5780","180"
"J9","46.2280","46.4820","180"
"J8","33.8540","54.2666","360"
"J7","75.3141","17.7300","270"
"J6","75.4349","35.3960","270"
"J4","2.4161","9.2840","90"
"J3","59.3740","53.5463","360"
"J2","39.5330","1.4600","180"
"J1","22.3150","2.4161","180"
"H4","0.0000","0.0000","0"
"H3","78.2320","0.0000","0"
"H2","78.2320","55.8800","0"
"H1","0.0000","55.8800","0"
"F6","6.0960","44.8310","270"
"F5","72.5045","9.1440","360"
"F4","36.1315","7.4983","360"
"F3","43.4340","8.1915","270"
"F2","63.8810","46.2280","360"
"F1","17.2720","8.3820","180"
"D6","8.5090","40.0050","360"
"D5","12.0650","19.9783","90"
"D4","17.2720","32.7713","180"
"D2","68.1355","14.6050","180"
"D1","68.5292","32.4358","180"
"CMC2","61.2140","19.3040","360"
"CMC1","61.9660","33.8890","360"
"C30","71.9710","6.8580","180"
"C29","41.2750","8.7250","90"
"C28","32.3470","7.4930","360"
"C27","60.1980","48.3235","180"
"C26","14.6050","7.5820","90"
"C25","46.2280","13.2460","270"
"C24","46.9010","21.8440","180"
"C23","4.5720","36.4490","180"
"C22","5.7660","30.3530","180"
"C21","4.9530","22.6060","180"
"C20","4.4230","33.0200","180"
"C19","33.1470","30.8610","270"
"C18","37.5920","26.1620","360"
"C17","46.2280","25.0445","90"
"C16","37.5920","24.7650","360"
"C15","49.4665","39.8162","270"
"C14","36.9653","41.7023","180"
"C13","28.8925","24.0665","270"
"C12","31.6230","30.8610","270"
"C11","33.9090","38.4810","270"
"C10","44.5770","25.0623","90"
"C9","19.7699","15.3670","360"
"C8","30.8230","38.7403","180"
"C7","30.8230","33.5333","360"
"C6","65.7098","21.3614","270"
"C5","65.7098","17.2720","90"
"C4","52.4510","28.3210","360"
"C3","66.3956","35.9410","270"
"C2","64.5160","30.4546","90"
"C1","49.5935","34.2520","90"
